# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	અ્યાસસેનશન આઇલ્યાન્ડ
এ্যান্ডোরা	એ્યાન્ડોરા
সংযুক্ত আরব আমিরাত	સંયુક્ત આરબ આમિરાત
আফগানিস্তান	આફગાનિસ્તાન
এন্টিগুয়া ও বারবুডা	એન્ટિગુય઼ા ઓ બારબુડા
এ্যাঙ্গুইলা	એ્યાઙ્ગુઇલા
আলব্যানিয়া	આલબ્યાનિય઼ા
আর্মেনিয়া	આર્મેનિય઼ા
অ্যাঙ্গোলা	અ્યાઙ્ગોલા
অ্যান্টার্কটিকা	અ્યાન્ટાર્કટિકા
আর্জেন্টিনা	આર્જેન્ટિના
আমেরিকান সামোয়া	આમેરિકાન સામોય઼ા
অস্ট্রিয়া	અસ્ટ્રિય઼ા
অস্ট্রেলিয়া	અસ્ટ્રેલિય઼ા
আরুবা	આરુબા
আলান্ড দ্বীপপুঞ্জ	આલાન્ડ દ્બીપપુઞ્જ
আজারবাইজান	આજારબાઇજાન
বসনিয়া ও হার্জেগোভিনা	બસનિય઼ા ઓ હાર્જેગોભિના
বারবাদোস	બારબાદોસ
বাংলাদেশ	બાંલાદેશ
বেলজিয়াম	બેલજિય઼ામ
বুরকিনা ফাসো	બુરકિના ફાસો
বুলগেরিয়া	બુલગેરિય઼ા
বাহরাইন	બાહરાઇન
বুরুন্ডি	બુરુન્ડિ
বেনিন	બેનિન
সেন্ট বারথেলিমি	સેન્ટ બારથેલિમિ
বারমুডা	બારમુડા
ব্রুনেই	બ્રુનેઇ
বোলিভিয়া	બોલિભિય઼ા
ক্যারিবিয়ান নেদারল্যান্ডস	ક્યારિબિય઼ાન નેદારલ્યાન્ડસ
ব্রাজিল	બ્રાજિલ
বাহামা দ্বীপপুঞ্জ	બાહામા દ્બીપપુઞ્જ
ভুটান	ભુટાન
বোভেট দ্বীপ	બોભેટ દ્બીપ
বতসোয়ানা	બતસોય઼ાના
বেলোরুশিয়া	બેલોરુશિય઼ા
বেলিজ	બેલિજ
কানাডা	કાનાડા
কোকোস (কিলিং)দ্বীপপুঞ্জ	કોકોસ (કિલિં)દ્બીપપુઞ્જ
কঙ্গো-কিনশাসা	કઙ્ગો-કિનશાસા
কঙ্গো(DRC)	કઙ્ગો(DRC)
মধ্য আফ্রিকার প্রজাতন্ত্র	મધ્ય આફ્રિકાર પ્રજાતન્ત્ર
কঙ্গো - ব্রাজাভিল	કઙ્ગો - બ્રાજાભિલ
কঙ্গো (প্রজাতন্ত্র)	કઙ્ગો (પ્રજાતન્ત્ર)
সুইজারল্যান্ড	સુઇજારલ્યાન્ડ
আইভরি কোস্ট	આઇભરિ કોસ્ટ
কুক দ্বীপপুঞ্জ	કુક દ્બીપપુઞ્જ
চিলি	ચિલિ
ক্যামেরুন	ક્યામેરુન
চীন	ચીન
কোলোম্বিয়া	કોલોમ્બિય઼ા
ক্লিপারটন আইল্যান্ড	ક્લિપારટન આઇલ્યાન્ડ
কোস্টারিকা	કોસ્ટારિકા
কিউবা	કિઉબા
কেপভার্দে	કેપભાર્દે
কিউরাসাও	કિઉરાસાઓ
ক্রিসমাস দ্বীপ	ક્રિસમાસ દ્બીપ
সাইপ্রাস	સાઇપ્રાસ
চেক প্রজাতন্ত্র	ચેક પ્રજાતન્ત્ર
জার্মানি	જાર્માનિ
দিয়েগো গার্সিয়া	દિય઼ેગો ગાર્સિય઼ા
জিবুতি	જિબુતિ
ডেনমার্ক	ડેનમાર્ક
ডোমিনিকা	ડોમિનિકા
ডোমেনিকান প্রজাতন্ত্র	ડોમેનિકાન પ્રજાતન્ત્ર
আলজেরিয়া	આલજેરિય઼ા
কুউটা এবং মেলিলা	કુઉટા એબં મેલિલા
ইকুয়েডর	ઇકુય઼ેડર
এস্তোনিয়া	એસ્તોનિય઼ા
মিশর	મિશર
পশ্চিম সাহারা	પશ્ચિમ સાહારા
ইরিত্রিয়া	ઇરિત્રિય઼ા
স্পেন	સ્પેન
ইফিওপিয়া	ઇફિઓપિય઼ા
ইউরোপীয় ইউনিয়ন	ઇઉરોપીય઼ ઇઉનિય઼ન
ফিনল্যান্ড	ફિનલ્યાન્ડ
ফিজি	ફિજિ
ফকল্যান্ড দ্বীপপুঞ্জ	ફકલ્યાન્ડ દ્બીપપુઞ્જ
ফকল্যান্ড আইল্যান্ড ( ইসল্যাস মাসভেনিস)	ફકલ્યાન્ડ આઇલ્યાન્ડ ( ઇસલ્યાસ માસભેનિસ)
মাইক্রোনেশিয়া	માઇક્રોનેશિય઼ા
ফ্যারও দ্বীপপুঞ্জ	ફ્યારઓ દ્બીપપુઞ્જ
ফ্রান্স	ફ્રાન્સ
গ্যাবন	ગ્યાબન
যুক্তরাজ্য	યુક્તરાજ્ય
গ্রেনেডা	ગ્રેનેડા
জর্জিয়া	જર્જિય઼ા
ফরাসী গায়ানা	ફરાસી ગાય઼ાના
গ্রাঞ্জি	ગ્રાઞ્જિ
ঘানা	ઘાના
জিব্রাল্টার	જિબ્રાલ્ટાર
গ্রীনল্যান্ড	ગ્રીનલ્યાન્ડ
গাম্বিয়া	ગામ્બિય઼ા
গিনি	ગિનિ
গুয়াদেলৌপ	ગુય઼ાદેલૌપ
নিরক্ষীয় গিনি	નિરક્ષીય઼ ગિનિ
