# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ēsēnśana ā'ilēnḍa
ઍંડોરા	ĕṇḍōrā
યુનાઇટેડ આરબ અમીરાત	yunā'iṭēḍa āraba amīrāta
અફઘાનિસ્તાન	aphaghānistāna
એન્ટીગુઆ અને બર્મુડા	ēnṭīgu'ā anē barmuḍā
ઍંગ્વિલા	ĕṅgvilā
અલ્બેનિયા	albēniyā
આર્મેનિયા	ārmēniyā
અંગોલા	aṅgōlā
એન્ટાર્કટિકા	ēnṭārkaṭikā
આર્જેન્ટીના	ārjēnṭīnā
અમેરીકન સમોઆ	amērīkana samō'ā
ઑસ્ટ્રિયા	ŏsṭriyā
ઑસ્ટ્રેલિયા	ŏsṭrēliyā
અરુબા	arubā
એલેંડ ટાપુઓ	ēlēṇḍa ṭāpu'ō
અઝરબૈજાન	ajharabaijāna
બોસ્નિયા અને હર્ઝેગોવિના	bōsniyā anē harjhēgōvinā
બાર્બાડોસ	bārbāḍōsa
બાંગ્લાદેશ	bāṅglādēśa
બેલ્જીયમ	bēljīyama
બુર્કિના ફાસો	burkinā phāsō
બલ્ગેરિયા	balgēriyā
બેહરીન	bēharīna
બુરુંડી	buruṇḍī
બેનિન	bēnina
સેન્ટ બાર્થેલેમી	sēnṭa bārthēlēmī
બર્મુડા	barmuḍā
બ્રુનેઇ	brunē'i
બોલિવિયા	bōliviyā
કેરેબિયન નેધરલેન્ડ્ઝ	kērēbiyana nēdharalēnḍjha
બ્રાઝિલ	brājhila
બહામાસ	bahāmāsa
ભૂટાન	bhūṭāna
બૌવેત આઇલેન્ડ	bauvēta ā'ilēnḍa
બોત્સ્વાના	bōtsvānā
બેલારુસ	bēlārusa
બેલીઝ	bēlījha
કેનેડા	kēnēḍā
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	kōkōjha (kīlīṅga) ā'ilēnḍsa
કોંગો - કિંશાસા	kōṅgō - kinśāsā
કોંગો (ડીઆરસી)	kōṅgō (ḍī'ārasī)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	sēnṭrala āphrikana rīpablika
કોંગો - બ્રાઝાવિલે	kōṅgō - brājhāvilē
કોંગો (પ્રજાસત્તાક)	kōṅgō (prajāsattāka)
સ્વિટ્ઝર્લૅન્ડ	sviṭjharlĕnḍa
કોટ ડી આઇવરી	kōṭa ḍī ā'ivarī
આઇવરી કોસ્ટ	ā'ivarī kōsṭa
કુક આઇલેન્ડ્સ	kuka ā'ilēnḍsa
ચિલી	cilī
કૅમરૂન	kĕmarūna
ચીન	cīna
કોલમ્બિયા	kōlambiyā
ક્લિપરટન આઇલેન્ડ	kliparaṭana ā'ilēnḍa
કોસ્ટા રિકા	kōsṭā rikā
ક્યુબા	kyubā
કૅપ વર્ડે	kĕpa varḍē
કુરાકાઓ	kurākā'ō
ક્રિસમસ આઇલેન્ડ	krisamasa ā'ilēnḍa
સાયપ્રસ	sāyaprasa
ચેક રીપબ્લિક	cēka rīpablika
જર્મની	jarmanī
ડિએગો ગારસિઆ	ḍi'ēgō gārasi'ā
જીબૌટી	jībauṭī
ડેનમાર્ક	ḍēnamārka
ડોમિનિકા	ḍōminikā
ડોમિનિકન રીપબ્લિક	ḍōminikana rīpablika
અલ્જીરિયા	aljīriyā
સ્યુટા અને મેલિલા	syuṭā anē mēlilā
એક્વાડોર	ēkvāḍōra
એસ્ટોનિયા	ēsṭōniyā
ઇજિપ્ત	ijipta
પશ્ચિમી સહારા	paścimī sahārā
એરિટ્રિયા	ēriṭriyā
સ્પેન	spēna
ઇથિઓપિયા	ithi'ōpiyā
યુરોપિયન સંઘ	yurōpiyana saṅgha
ફિનલેન્ડ	phinalēnḍa
ફીજી	phījī
ફૉકલેન્ડ ટાપુઓ	phŏkalēnḍa ṭāpu'ō
ફૉકલેન્ડ ટાપુઓ (ઇસ્લાસ માલવિનસ)	phŏkalēnḍa ṭāpu'ō (islāsa mālavinasa)
માઇક્રોનેશિયા	mā'ikrōnēśiyā
ફૅરો ટાપુઓ	phĕrō ṭāpu'ō
ફ્રાંસ	phrānsa
ગેબન	gēbana
યુનાઇટેડ કિંગડમ	yunā'iṭēḍa kiṅgaḍama
ગ્રેનેડા	grēnēḍā
જ્યોર્જીયા	jyōrjīyā
ફ્રેંચ ગયાના	phrēn̄ca gayānā
ગ્વેર્નસે	gvērnasē
ઘાના	ghānā
જીબ્રાલ્ટર	jībrālṭara
ગ્રીનલેન્ડ	grīnalēnḍa
ગેમ્બિયા	gēmbiyā
ગિની	ginī
ગ્વાડેલોપ	gvāḍēlōpa
ઇક્વેટોરિયલ ગિની	ikvēṭōriyala ginī
ગ્રીસ	grīsa
દક્ષિણ જ્યોર્જીયા અને દક્ષિણ સેન્ડવિચ આઇલેન્ડ્સ	dakṣiṇa jyōrjīyā anē dakṣiṇa sēnḍavica ā'ilēnḍsa
ગ્વાટેમાલા	gvāṭēmālā
ગ્વામ	gvāma
ગિની-બિસાઉ	ginī-bisā'u
ગયાના	gayānā
હોંગકોંગ SAR ચીન	hōṅgakōṅga SAR cīna
હોંગ કોંગ	hōṅga kōṅga
હર્ડ અને મેકડોનાલ્ડ આઇલેન્ડ્સ	harḍa anē mēkaḍōnālḍa ā'ilēnḍsa
હોન્ડુરસ	hōnḍurasa
ક્રોએશિયા	krō'ēśiyā
હૈતિ	haiti
હંગેરી	haṅgērī
કૅનેરી ટાપુઓ	kĕnērī ṭāpu'ō
ઇન્ડોનેશિયા	inḍōnēśiyā
આયર્લેન્ડ	āyarlēnḍa
ઇઝરાઇલ	ijharā'ila
આઈલ ઓફ મૅન	ā'īla ōpha mĕna
ભારત	bhārata
બ્રિટિશ ઇન્ડિયન ઓશન ટેરિટરી	briṭiśa inḍiyana ōśana ṭēriṭarī
ઇરાક	irāka
ઈરાન	īrāna
આઇસલેન્ડ	ā'isalēnḍa
ઇટાલી	iṭālī
જર્સી	jarsī
જમૈકા	jamaikā
જોર્ડન	jōrḍana
જાપાન	jāpāna
કેન્યા	kēn'yā
કિર્ગિઝ્સ્તાન	kirgijhstāna
કંબોડિયા	kambōḍiyā
કિરિબાટી	kiribāṭī
કોમોરસ	kōmōrasa
સેન્ટ કિટ્સ અને નેવિસ	sēnṭa kiṭsa anē nēvisa
ઉત્તર કોરિયા	uttara kōriyā
દક્ષિણ કોરિયા	dakṣiṇa kōriyā
કુવૈત	kuvaita
કેમેન ટાપુઓ	kēmēna ṭāpu'ō
કઝાકિસ્તાન	kajhākistāna
લાઓસ	lā'ōsa
લેબનોન	lēbanōna
સેન્ટ લુસિયા	sēnṭa lusiyā
લૈચટેંસ્ટેઇન	laicaṭēnsṭē'ina
શ્રીલંકા	śrīlaṅkā
લાઇબેરિયા	lā'ibēriyā
લેસોથો	lēsōthō
લિથુઆનિયા	lithu'āniyā
લક્ઝમબર્ગ	lakjhamabarga
લાત્વિયા	lātviyā
લિબિયા	libiyā
મોરોક્કો	mōrōkkō
મોનાકો	mōnākō
મોલડોવા	mōlaḍōvā
મૉન્ટેંનેગ્રો	mŏnṭēnnēgrō
સેન્ટ માર્ટિન	sēnṭa mārṭina
મેડાગાસ્કર	mēḍāgāskara
માર્શલ આઇલેન્ડ્સ	mārśala ā'ilēnḍsa
મેસેડોનિયા	mēsēḍōniyā
મેસેડોનિયા (FYROM)	mēsēḍōniyā (FYROM)
માલી	mālī
મ્યાંમાર (બર્મા)	myāmmāra (barmā)
મંગોલિયા	maṅgōliyā
મકાઉ SAR ચીન	makā'u SAR cīna
મકાઉ	makā'u
ઉત્તરીય મારિયાના આઇલેન્ડ્સ	uttarīya māriyānā ā'ilēnḍsa
માર્ટીનીક	mārṭīnīka
મૌરિટાનિયા	mauriṭāniyā
મોંટસેરાત	mōṇṭasērāta
માલ્ટા	mālṭā
મોરિશિયસ	mōriśiyasa
માલદિવ્સ	māladivsa
માલાવી	mālāvī
મેક્સિકો	mēksikō
મલેશિયા	malēśiyā
મોઝામ્બિક	mōjhāmbika
નામિબિયા	nāmibiyā
ન્યુ સેલેડોનિયા	n'yu sēlēḍōniyā
નાઇજર	nā'ijara
નોરફૉક ટાપુ	nōraphŏka ṭāpu
નાઇજીરીયા	nā'ijīrīyā
નિકારાગુઆ	nikārāgu'ā
નેધરલેન્ડ	nēdharalēnḍa
નૉર્વે	nŏrvē
નેપાળ	nēpāḷa
નૌરુ	nauru
નીયુ	nīyu
ન્યુઝીલેન્ડ	n'yujhīlēnḍa
ઓમાન	ōmāna
પનામા	panāmā
પેરુ	pēru
ફ્રેંચ પોલિનેશિયા	phrēn̄ca pōlinēśiyā
પાપુઆ ન્યૂ ગિની	pāpu'ā n'yū ginī
ફિલીપાઇન્સ	philīpā'insa
પાકિસ્તાન	pākistāna
પોલેંડ	pōlēṇḍa
સેન્ટ પિયર અને મીક્વેલન	sēnṭa piyara anē mīkvēlana
પીટકૈર્ન આઇલેન્ડ્સ	pīṭakairna ā'ilēnḍsa
પ્યુઅર્ટો રિકો	pyu'arṭō rikō
પેલેસ્ટિનિયન ટેરિટરી	pēlēsṭiniyana ṭēriṭarī
પેલેસ્ટાઇન	pēlēsṭā'ina
પોર્ટુગલ	pōrṭugala
પલાઉ	palā'u
પેરાગ્વે	pērāgvē
કતાર	katāra
આઉટલાઈન્ગ ઓશનિયા	ā'uṭalā'īn'ga ōśaniyā
રીયુનિયન	rīyuniyana
રોમાનિયા	rōmāniyā
સર્બિયા	sarbiyā
રશિયા	raśiyā
રવાંડા	ravāṇḍā
સાઉદી અરેબિયા	sā'udī arēbiyā
સોલોમન આઇલેન્ડ્સ	sōlōmana ā'ilēnḍsa
સેશેલ્સ	sēśēlsa
સુદાન	sudāna
સ્વીડન	svīḍana
સિંગાપુર	siṅgāpura
સેન્ટ હેલેના	sēnṭa hēlēnā
સ્લોવેનિયા	slōvēniyā
સ્વાલબર્ડ અને જેન મેયન	svālabarḍa anē jēna mēyana
સ્લોવેકિયા	slōvēkiyā
સીએરા લેઓન	sī'ērā lē'ōna
સૅન મેરિનો	sĕna mērinō
સેનેગલ	sēnēgala
સોમાલિયા	sōmāliyā
સુરીનામ	surīnāma
દક્ષિણ સુદાન	dakṣiṇa sudāna
સાઓ ટૉમ અને પ્રિંસિપે	sā'ō ṭŏma anē prinsipē
એલ સેલ્વાડોર	ēla sēlvāḍōra
સિંટ માર્ટેન	siṇṭa mārṭēna
સીરિયા	sīriyā
સ્વાઝિલેન્ડ	svājhilēnḍa
ત્રિસ્તાન દા કુન્હા	tristāna dā kunhā
તુર્ક્સ અને કાઇકોસ ટાપુઓ	turksa anē kā'ikōsa ṭāpu'ō
ચાડ	cāḍa
ફ્રેંચ સદર્ન ટેરિટરીઝ	phrēn̄ca sadarna ṭēriṭarījha
ટોગો	ṭōgō
થાઇલેંડ	thā'ilēṇḍa
તાજીકિસ્તાન	tājīkistāna
ટોકેલાઉ	ṭōkēlā'u
તિમોર-લેસ્તે	timōra-lēstē
પૂર્વ તિમોર	pūrva timōra
તુર્કમેનિસ્તાન	turkamēnistāna
ટ્યુનિશિયા	ṭyuniśiyā
ટોંગા	ṭōṅgā
તુર્કી	turkī
ટ્રિનીદાદ અને ટોબેગો	ṭrinīdāda anē ṭōbēgō
તુવાલુ	tuvālu
તાઇવાન	tā'ivāna
તાંઝાનિયા	tān̄jhāniyā
