# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	ayāsasēnaśana ā'ilyānḍa
এ্যান্ডোরা	ēyānḍōrā
সংযুক্ত আরব আমিরাত	sanyukta āraba āmirāta
আফগানিস্তান	āphagānistāna
এন্টিগুয়া ও বারবুডা	ēnṭiguẏā ō bārabuḍā
এ্যাঙ্গুইলা	ēyāṅgu'ilā
আলব্যানিয়া	ālabyāniẏā
আর্মেনিয়া	ārmēniẏā
অ্যাঙ্গোলা	ayāṅgōlā
অ্যান্টার্কটিকা	ayānṭārkaṭikā
আর্জেন্টিনা	ārjēnṭinā
আমেরিকান সামোয়া	āmērikāna sāmōẏā
অস্ট্রিয়া	asṭriẏā
অস্ট্রেলিয়া	asṭrēliẏā
আরুবা	ārubā
আলান্ড দ্বীপপুঞ্জ	ālānḍa dbīpapuñja
আজারবাইজান	ājārabā'ijāna
বসনিয়া ও হার্জেগোভিনা	basaniẏā ō hārjēgōbhinā
বারবাদোস	bārabādōsa
বাংলাদেশ	bānlādēśa
বেলজিয়াম	bēlajiẏāma
বুরকিনা ফাসো	burakinā phāsō
বুলগেরিয়া	bulagēriẏā
বাহরাইন	bāharā'ina
বুরুন্ডি	burunḍi
বেনিন	bēnina
সেন্ট বারথেলিমি	sēnṭa bārathēlimi
বারমুডা	bāramuḍā
ব্রুনেই	brunē'i
বোলিভিয়া	bōlibhiẏā
ক্যারিবিয়ান নেদারল্যান্ডস	kyāribiẏāna nēdāralyānḍasa
ব্রাজিল	brājila
বাহামা দ্বীপপুঞ্জ	bāhāmā dbīpapuñja
ভুটান	bhuṭāna
বোভেট দ্বীপ	bōbhēṭa dbīpa
বতসোয়ানা	batasōẏānā
বেলোরুশিয়া	bēlōruśiẏā
বেলিজ	bēlija
কানাডা	kānāḍā
কোকোস (কিলিং)দ্বীপপুঞ্জ	kōkōsa (kiliṁ)dbīpapuñja
কঙ্গো-কিনশাসা	kaṅgō-kinaśāsā
কঙ্গো(DRC)	kaṅgō(DRC)
মধ্য আফ্রিকার প্রজাতন্ত্র	madhya āphrikāra prajātantra
কঙ্গো - ব্রাজাভিল	kaṅgō - brājābhila
কঙ্গো (প্রজাতন্ত্র)	kaṅgō (prajātantra)
সুইজারল্যান্ড	su'ijāralyānḍa
আইভরি কোস্ট	ā'ibhari kōsṭa
কুক দ্বীপপুঞ্জ	kuka dbīpapuñja
চিলি	cili
ক্যামেরুন	kyāmēruna
চীন	cīna
কোলোম্বিয়া	kōlōmbiẏā
ক্লিপারটন আইল্যান্ড	klipāraṭana ā'ilyānḍa
কোস্টারিকা	kōsṭārikā
কিউবা	ki'ubā
কেপভার্দে	kēpabhārdē
কিউরাসাও	ki'urāsā'ō
ক্রিসমাস দ্বীপ	krisamāsa dbīpa
সাইপ্রাস	sā'iprāsa
চেক প্রজাতন্ত্র	cēka prajātantra
জার্মানি	jārmāni
দিয়েগো গার্সিয়া	diẏēgō gārsiẏā
জিবুতি	jibuti
ডেনমার্ক	ḍēnamārka
ডোমিনিকা	ḍōminikā
ডোমেনিকান প্রজাতন্ত্র	ḍōmēnikāna prajātantra
আলজেরিয়া	ālajēriẏā
কুউটা এবং মেলিলা	ku'uṭā ēbaṁ mēlilā
ইকুয়েডর	ikuẏēḍara
এস্তোনিয়া	ēstōniẏā
মিশর	miśara
পশ্চিম সাহারা	paścima sāhārā
ইরিত্রিয়া	iritriẏā
স্পেন	spēna
ইফিওপিয়া	iphi'ōpiẏā
ইউরোপীয় ইউনিয়ন	i'urōpīẏa i'uniẏana
ফিনল্যান্ড	phinalyānḍa
ফিজি	phiji
ফকল্যান্ড দ্বীপপুঞ্জ	phakalyānḍa dbīpapuñja
ফকল্যান্ড আইল্যান্ড ( ইসল্যাস মাসভেনিস)	phakalyānḍa ā'ilyānḍa ( isalyāsa māsabhēnisa)
মাইক্রোনেশিয়া	mā'ikrōnēśiẏā
ফ্যারও দ্বীপপুঞ্জ	phyāra'ō dbīpapuñja
ফ্রান্স	phrānsa
গ্যাবন	gyābana
যুক্তরাজ্য	yuktarājya
গ্রেনেডা	grēnēḍā
জর্জিয়া	jarjiẏā
ফরাসী গায়ানা	pharāsī gāẏānā
গ্রাঞ্জি	grāñji
ঘানা	ghānā
জিব্রাল্টার	jibrālṭāra
গ্রীনল্যান্ড	grīnalyānḍa
গাম্বিয়া	gāmbiẏā
গিনি	gini
গুয়াদেলৌপ	guẏādēlaupa
