# Baby names
અંશ	انش
અકન્ગ્ષા	اكنجشا
અકશીની	اكشینی
અકસરા	اكسرا
અકાર્યસુતા	اكاریسوتا
અકાલકા	اكالكا
અકિતા	اكیتا
અક્ષધા	اكشدها
અક્ષ્યા	اكشیا
અક્સા	اكسا
અગ્નિશિખા	اجنیشیكها
અગ્રીમા	اجریما
અચલેંદ્ર	اتشلیندر
અજન્તા	اجنتا
અજમુખી	اجموكهی
અજિયા	اجییا
અજીતા	اجیتا
અડ્યાદવૈતા	ادیادوایتا
અદવૈકા	ادوایكا
અદિતરાજ	ادیتراج
અદિત્યેશ	ادیتییش
અદીતીયા	ادیتییا
અદીરા	ادیرا
અદેન્ય	ادینی
અદ્રિતા	ادریتا
અદ્રિતી	ادریتی
અદ્વય	ادوی
અદ્વિકા	ادویكا
અદ્વેત	ادویت
અદ્વૈયા	ادواییا
અધીર	ادهیر
અધીરતા	ادهیرتا
અધ્યાત્મ	ادهیاتم
અબિનય	ابینی
અબિભવા	ابیبهوا
અબીનાવ	ابیناو
અબીશા	ابیشا
અબીસેશન	ابیسیشن
અબ્બીર	اببیر
અભિજાત	ابهیجات
અભિજ્ઞાન	ابهیجنان
અભિનું	ابهینون
અભિપ્રિથિ	ابهیبریتهی
અભિમોદા	ابهیمودا
અભિરુચિ	ابهیروتشی
અભિવાદન	ابهیوادن
અભિસુમત	ابهیسومت
અભિસોકા	ابهیسوكا
અભીકાંક્ષા	ابهیكانكشا
અભીચંદ્ર	ابهیتشندر
અભીજુન	ابهیجون
અભીધર્મ	ابهیدهرم
અભીલેશ	ابهیلیش
અભુ	ابهو
અભ્થા	ابهتها
અભ્રકાસિન	ابهركاسین
અરધ્યાય	اردهیای
અલંકારાપ્રિયા	النكارابرییا
અલંક્રિતા	النكریتا
અહીના	اهینا
આંદાલ	آندال
આંશી	آنشی
આએઇન્દ્રિ	آیإندری
આકર્ષ	آكرش
આકાંક્ષ	آكانكش
આકામ્પન	آكامبن
આકાશ	آكاش
આકાશી	آكاشی
આકેશ	آكیش
આત્મજ	آتمج
આત્રયી	آتریی
આદાવન	آداون
આદિકવિ	آدیكوی
આદિકેશ	آدیكیش
આદિતિય	آدیتیی
આદિત્વ	آدیتو
આદિદેવ	آدیدیو
આદિશ	آدیش
આદિશંકર	آدیشنكر
આદિસેશ	آدیسیش
આદીત્રી	آدیتری
આદીલ	آدیل
આદ્યા	آدیا
આનંદતા	آنندتا
આનાધીતા	آنادهیتا
આનુષ	آنوش
આમાંની	آماننی
આયાતી	آیاتی
આયુધ	آیوده
આરવી	آروی
આરા	آرا
આરાડ્યા	آرادیا
આરાધક	آرادهك
આરાધના	آرادهنا
આરુન્ય	آرونی
આરુપા	آروبا
આરોચન	آروتشن
આર્થ	آرته
આર્ય્થ્ય	آریتهی
આલય	آلی
આલિશા	آلیشا
આલેઃયા	آلیهایا
આલ્યા	آلیا
આવાની	آوانی
આવ્યા	آویا
આશાલી	آشالی
આશીર્વાદ	آشیرواد
આસ્યા	آسیا
આસ્વી	آسوی
આહ્નીક	آهنیك
ઇંદિરા	إندیرا
ઇંદિવર	إندیور
ઇંદુલેક્ષ	إندولیكش
ઇંદુશેખર	إندوشیكهر
ઇતિ	إتی
ઇતિશ્રી	إتیشری
ઇદિત્રી	إدیتری
ઇનકી	إنكی
ઇન્કિત	إنكیت
ઇન્ગનામ	إنجنام
ઇન્દ્રતેજ	إندرتیج
ઇન્દ્રન	إندرن
ઇન્દ્રેશ	إندریش
ઇભાન	إبهان
ઇભ્યા	إبهیا
ઇયેનગર	إیینجر
ઇલવરસન	إلورسن
ઇલિસા	إلیسا
ઇવાન	إوان
ઇશા	إشا
ઇશાયુ	إشایو
ઇસાર	إسار
ઇસીરી	إسیری
ઈઝ્રીને	إجهریني
ઈનિઅવેલન	إنیاویلن
ઈનિયવન	إنییون
ઈન્દુસ	إندوس
ઈરીશ	إریش
ઈલ્વિકા	إلویكا
ઈશાંત	إشانت
ઈશિત	إشیت
ઈશ્મીતા	إشمیتا
ઈશ્વ	إشو
ઈસાઈ	إساإ
ઉજય	وجی
ઉજાગર	وجاجر
ઉજાસ	وجاس
ઉજીત્ર	وجیتر
ઉજેન્દ્ર	وجیندر
ઉજ્જાનિની	وججانینی
ઉજ્જ્વાલા	وججوالا
ઉત્કર્શ્રાજ	وتكرشراج
ઉત્કલ	وتكل
ઉત્કલીતા	وتكلیتا
ઉત્કશાના	وتكشانا
ઉત્પત્તિ	وتبتتی
ઉત્પલ	وتبل
ઉત્વિક	وتویك
ઉત્સા	وتسا
ઉથીશા	وتهیشا
ઉદંત	ودنت
ઉદયાચલ	ودیاتشل
ઉદરથી	ودرتهی
ઉદાર્શ	ودارش
ઉદેય	ودیی
ઉદ્વંશ	ودونش
ઉધાયારની	ودهایارنی
ઉપજય	وبجی
ઉપદા	وبدا
ઉપનાયિક	وبناییك
ઉપાગુપ્તા	وباجوبتا
ઉપેન્દ્રન	وبیندرن
ઉભય	وبهی
ઉમાંપુત્ર	ومانبوتر
ઉમાપત્ય	ومابتی
ઉમિકા	ومیكا
ઉમેશ	ومیش
ઉરિશિલ્લા	وریشیللا
ઉર્નીક	ورنیك
ઉર્મિલ	ورمیل
ઉર્મિલા	ورمیلا
ઉર્મી	ورمی
ઉર્વીશા	ورویشا
ઉલ્લાસીથા	وللاسیتها
ઉસહાસ	وسهاس
ઉસ્લુંનન	وسلوننن
ઊર્જિત	ورجیت
એઇલા	یإلا
એકદંતન	یكدنتن
એકન્ષા	یكنشا
એકાંશ	یكانش
એકાચક્ર	یكاتشكر
એકાવિરા	یكاویرا
એકીશ	یكیش
એકેસ્વારા	یكیسوارا
એક્શીકા	یكشیكا
એદોમ	یدوم
એપ્શીતા	یبشیتا
એલાવારાસન	یلاواراسن
એલેના	یلینا
એવાની	یوانی
એવોન	یوون
એશંકા	یشنكا
એશાન્ય	یشانی
ઐસીરી	ایسیری
ઓજ્જસ્વીન	اوججسوین
ઓદથી	اودتهی
ઓનિશ	اونیش
ઓનીર	اونیر
ઓન્નેશા	اوننیشا
ઓબલેશ	اوبلیش
ઓમપતિ	اومبتی
ઓમવતી	اوموتی
ઓમિષા	اومیشا
ઓવીએ	اوویي
ઓહા	اوها
કંકના	كنكنا
કંજમ	كنجم
કંઠ	كنطه
કંવર	كنور
કતીરેશન	كتیریشن
કથીર	كتهیر
કદિતુલા	كدیتولا
કનક	كنك
કનીસા	كنیسا
કનુષ	كنوش
કપિલા	كبیلا
કમલનયન	كملنین
કમલાબંધુ	كملابندهو
કરબી	كربی
કરીના	كرینا
કરીશા	كریشا
કરીસમાં	كریسمان
કરુન્યા	كرونیا
કર્ણ	كرن
કર્તીગા	كرتیجا
કર્નાપ્રિયા	كرنابرییا
કર્નીકા	كرنیكا
કર્નીશ	كرنیش
કલમજીરરન્જિનિ	كلمجیررنجینی
કલાતર	كلاتر
કલાપક	كلابك
કલાપ્રિયા	كلابرییا
કલૈસેલવી	كلایسیلوی
કલ્પ	كلب
કલ્પેશ	كلبیش
કવચ	كوتش
કવિનયા	كوینیا
કવીપ્રનીતા	كویبرنیتا
કશિશ	كشیش
કશ્યપ	كشیب
કસ્તૂરી	كستوری
કહન	كهن
કાંવ	كانو
કાજળ	كاجر
કાત્યયાની	كاتییانی
કાદમ્બિની	كادمبینی
કાનાસુ	كاناسو
કાન્જીરા	كانجیرا
કામાખ્યા	كاماكهیا
કામિકા	كامیكا
કામીક	كامیك
કામેરીના	كامیرینا
કાયંશ	كاینش
કાયલવિલી	كایلویلی
કારૂકા	كاروكا
કાલપી	كالبی
કાલિંદી	كالیندی
કાલિરંજન	كالیرنجن
કાવ્યંશ	كاوینش
કાષ્ઠ	كاشطه
કિન્નેરા	كیننیرا
કિર્તિત	كیرتیت
કિશા	كیشا
કેતવ	كیتو
કેતિકા	كیتیكا
કેતીત	كیتیت
કેદારનાથ	كیدارناته
કેનિષા	كینیشا
કેયા	كییا
કેયાન	كییان
કેલ્વીન	كیلوین
કેવલકુમાર	كیولكومار
કેવિકા	كیویكا
કેવ્લીના	كیولینا
કેશિકા	كیشیكا
કેશિન	كیشین
કેશોરી	كیشوری
કેસવા	كیسوا
કૈરવી	كایروی
કૈલાશચંદ્ર	كایلاشتشندر
કૌશિક	كاوشیك
કૌશેય	كاوشیی
કૌસ્તુભી	كاوستوبهی
ખરાધ્વામ્સીને	كهرادهوامسیني
ખાદીર	كهادیر
ખાવ્યા	كهاویا
ખુશ્બૂ	كهوشبو
ખેજલ	كهیجل
ગંગા	جنجا
ગંગિકા	جنجیكا
ગંગી	جنجی
ગંગેયા	جنجییا
ગંગેશ	جنجیش
ગંદિરા	جندیرا
ગંધા	جندها
ગંધાર	جندهار
ગજપતિ	ججبتی
ગ઼ુનસૂંદરી	جونسوندری
ગાંધામધના	جاندهامدهنا
ગાયન	جاین
ગાલવ	جالو
ગીતિકા	جیتیكا
ગીતીશા	جیتیشا
ગીતેશ	جیتیش
ગીત્શ	جیتش
ગીરિષા	جیریشا
ગીર્જેશ	جیرجیش
ગીવીથા	جیویتها
ગીહિતી	جیهیتی
ગુણવાથી	جونواتهی
ગુદાકેશ	جوداكیش
ગુનાક્ષી	جوناكشی
ગુનાનીધી	جونانیدهی
ગુનિના	جونینا
ગુનીત	جونیت
ગુરનામ	جورنام
ગુરીશ	جوریش
ગુરુશરણ	جوروشرن
ગોપાલ કૃષ્ણન	جوبال كرشنن
ગોવરી	جووری
ગોવ્થમી	جووتهمی
ગૌરિકાંત	جاوریكانت
ગૌરેશ	جاوریش
ગૌર્યનવી	جاورینوی
ગ્યાનવી	جیانوی
ગ્રહિત	جرهیت
ઘટા	جهطا
ઘનાનંદ	جهنانند
ઘુંગરૂ	جهونجرو
ચંચલાદવાલા	تشنتشلادوالا
ચંચારી	تشنتشاری
ચંચારીક	تشنتشاریك
ચંદિકા	تشندیكا
ચંદ્ર ભાન	تشندر بهان
ચંદ્રકિરણ	تشندركیرن
ચંદ્રકીર્તી	تشندركیرتی
ચંદ્રબિંદુ	تشندربیندو
ચક્રદેવ	تشكردیو
ચક્રિક	تشكریك
ચન્દ્રવદન	تشندرودن
ચન્દ્રહાસ	تشندرهاس
ચમેલી	تشمیلی
ચરક	تشرك
ચરણજીત	تشرنجیت
ચરણરજ	تشرنرج
