# Baby names
অকার্যতানাযা	اكاریتانایا
অগল্যা	اجلیا
অগ্রাজা	اجراجا
অড্যাত্রযী	ادیاتریی
অদ্বিথা	ادبیتها
অদ্বৈথী	ادبایتهی
অদ্রিতা	ادریتا
অদ্রীত্যা	ادریتیا
অদ্শযা	ادشیا
অধুজা	ادهوجا
অবীনাযা	ابینایا
অবীলাশীনী	ابیلاشینی
অবীষেক	ابیشیك
অব্জিত	ابجیت
অব্ব্য্নায্হা	اببینایها
অভাতী	ابهاتی
অভিজিত	ابهیجیت
অভিজ্ঞান	ابهیجنان
অভিনন্দন	ابهینندن
অভিমান	ابهیمان
অভিসোকা	ابهیسوكا
অভিহীতা	ابهیهیتا
অভীনাশ	ابهیناش
অভ্থা	ابهتها
অভ্যান্কর	ابهیانكر
অভ্রনীলা	ابهرنیلا
অহংতী	اهنتی
অহিল্যা	اهیلیا
অহেলী	اهیلی
আংজনেয	آنجنیی
আকর	آكر
আকার	آكار
আঘোশ	آجهوش
আচমন	آتشمن
আতিশ	آتیش
আত্রব	آترب
আথী	آتهی
আদিতা	آدیتا
আদিম	آدیم
আদিযা	آدیا
আদীজয	آدیجی
আদীত্রী	آدیتری
আদ্রিকা	آدریكا
আনংদতা	آنندتا
আনংদিত	آنندیت
আনল	آنل
আনাধীতা	آنادهیتا
আনাযা	آنایا
আন্শাল	آنشال
আপেক্ষা	آبیكشا
আবীশ	آبیش
আভাস	آبهاس
আভীর	آبهیر
আমিষ	آمیش
আমোদ	آمود
আযুষ্মান	آیوشمان
আরংভী	آرنبهی
আরব	آرب
আরা	آرا
আরিনী	آرینی
আরিযা	آرییا
আরীন	آرین
আরুষী	آروشی
আরোন	آرون
আর্থী	آرتهی
আর্যমন	آریمن
আর্যমিক	آریمیك
আর্য্থ্য	آریتهی
আর্শ্বী	آرشبی
আলংব	آلنب
আলোক	آلوك
আলোকা	آلوكا
আশাকিরণ	آشاكیرن
আশীতা	آشیتا
আষ্নী	آشنی
আসিত	آسیت
আহলাদ	آهلاد
ইংদুমতী	إندومتی
ইংদুলেক্ষ	إندولیكش
ইংবনাথন	إنبناتهن
ইক্ষিত	إكشیت
ইক্সুরা	إكسورا
ইদুম	إدوم
ইধাযা	إدهایا
ইনকী	إنكی
ইন্দ্রদযুম্ন	إندردیومن
ইন্দ্রন	إندرن
ইন্দ্রসেন	إندرسین
ইন্দ্রিনা	إندرینا
ইবাংকা	إبانكا
ইব্বানী	إببانی
ইযুরেশ	إیوریش
ইরাজা	إراجا
ইরী	إری
ইলা	إلا
ইশান্য	إشانی
ইসকী	إسكی
ইহিনা	إهینا
ঈজ্যা	إجیا
ঈরীন	إرین
ঈলাক্ষী	إلاكشی
ঈশা	إشا
ঈশাংত	إشانت
ঈশিকা	إشیكا
ঈসাঈ	إساي
উগন	وجن
উগ্রসাঈ	وجرساي
উজযাতী	وجیاتی
উজাযন	وجاین
উজ্জম	وججم
উজ্জয	وججی
উত্তরা	وتترا
উত্পত্তি	وتبتتی
উত্সা	وتسا
উথামী	وتهامی
উদযন	ودین
উদযা	ودیا
উধায	ودهای
উধাযারনী	ودهایارنی
উনীনাজ	ونیناج
উন্নত	وننت
উন্নতীশ	وننتیش
উন্নাথী	ونناتهی
উপল	وبل
উপেক্ষ	وبیكش
উপ্জস	وبجس
উপ্পাস	وبباس
উফ্তম	وبهتم
উভয	وبهی
উর্জানী	ورجانی
উর্দাহাব	ورداهاب
উর্বিক	وربیك
উর্বীনাথ	وربیناته
উশ্নীক	وشنیك
উষা	وشا
উষাশি	وشاشی
উষাশ্রী	وشاشری
উস্রা	وسرا
একাকান্য	یكاكانی
একাক্ষা	یكاكشا
একাগ্রহ	یكاجره
একান্তিকা	یكانتیكا
এচ্চুমতি	یتشتشومتی
এবেলিন	یبیلین
এবোন	یبون
এব্বনী	یببنی
এরীন	یرین
এলীনা	یلینا
এলীলরাসন	یلیلراسن
এশমাং	یشمان
এশানিকা	یشانیكا
এহিমাযা	یهیمایا
ওংদ্রিলা	اوندریلا
ওঈশী	اويشی
ওজস	اوجس
ওজস্বী	اوجسبی
ওজস্বীন	اوجسبین
ওজা	اوجا
ওজীস	اوجیس
ওদিতী	اودیتی
ওবীএ	اوبیي
ওমাজা	اوماجا
ওমীশ	اومیش
ওমেশ	اومیش
ওশ্মী	اوشمی
ঔশিগ	اوشیج
কংচ	كنتش
কংচনভা	كنتشنبها
কংজন	كنجن
কক্ষাপ	ككشاب
কদংবন	كدنبن
কদান্ম্বরী	كدانمبری
কনিতা	كنیتا
কনীজা	كنیجا
কনীরা	كنیرا
কনীষা	كنیشا
কন্তারব	كنتارب
কন্হৈযা	كنهيیا
কপার্দিনী	كباردینی
কপিল	كبیل
কবচ	كبتش
কবিনযা	كبینیا
কবীযাসরী	كبییاسری
কবীলান	كبیلان
কমলা সমভাব	كملا سمبهاب
কমলাপতি	كملابتی
কমোদ	كمود
করীশা	كریشا
করুণা সাগর	كرونا ساجر
করুণানিধি	كرونانیدهی
করুনাশংকর	كروناشنكر
করূলী	كرولی
কর্তিযন	كرتیین
কর্দমাং	كردمان
কল-হংস	كل-هنس
কলাকাংতী	كلاكانتی
কলাপীন	كلابین
কলাপ্রিযা	كلابرییا
কলীযাহ	كلییاه
কল্প	كلب
কল্যাণ	كلیان
কল্লোলা	كللولا
কল্হার	كلهار
কশীনাতন	كشیناتن
কশ্বী	كشبی
কহ্কাশন	كهكاشن
কাঁচী	كانتشی
কাংতব	كانتب
কাংতা	كانتا
কাজল	كاجل
কাজোল	كاجول
কাতীত	كاتیت
কানাকাবাল্লী	كاناكاباللی
কানাসু	كاناسو
কানীমোঝ্হী	كانیموجههی
কানীল	كانیل
কাব্য শ্রী	كابی شری
কাব্যস্রী	كابیسری
কামক্যা	كامكیا
কামদা	كامدا
কামরাজ	كامراج
কামুনা	كامونا
কারথী	كارتهی
কারীন	كارین
কার্লা	كارلا
কালিদাস	كالیداس
কাশী	كاشی
কাশ্যপ	كاشیب
কাহীনী	كاهینی
কৌটিল্য	كاوطیلی
কৌশ	كاوش
কৌশ্লেন্দর	كاوشلیندر
কৌসল্যা	كاوسلیا
গংগিকা	جنجیكا
গংগী	جنجی
গংধারা	جندهارا
গজপতি	ججبتی
গজরা	ججرا
গজরূপ	ججروب
গজেংদ্রনাথ	ججیندرناته
গতিক	جتیك
গদাধর	جدادهر
গনেসা	جنیسا
গন্গেযন	جنجیین
গহনা	جهنا
গাথা	جاتها
গাথিকা	جاتهیكا
গাব্যা	جابیا
গাযকাপ্রিযা	جایكابرییا
গীতাম্রীতা মহোদধি	جیتامریتا مهوددهی
গীতাশ্রী	جیتاشری
গীতি	جیتی
গীনা	جینا
গীরীনাথ	جیریناته
গীরীশরণ	جیریشرن
গুংজা	جونجا
গুগন	جوجن
গুণাজী	جوناجی
গুনাশেকরণ	جوناشیكرن
গুনীত	جونیت
গুন্জীতা	جونجیتا
গুরদযাল	جوردیال
গুরব	جورب
গুরীশ	جوریش
গুরু	جورو
গুরুচরণ	جوروتشرن
গুরুপদা	جوروبدا
গুরুরাজ	جوروراج
গুরুরাজা	جوروراجا
গুরুশরণ	جوروشرن
গুল	جول
গূহারী	جوهاری
গেশনা	جیشنا
গোউংতামান	جوونتامان
গোউংথমী	جوونتهمی
গোউংসিক	جوونسیك
গোকুল	جوكول
গোপান	جوبان
গোপাল কৃষ্ণন	جوبال كرشنن
গোপীচংদ	جوبیتشند
গোপেশ	جوبیش
গোমাংতক	جومانتك
গোমীনী	جومینی
গোম্যাসরী	جومیاسری
গোরল	جورل
গোশীতা	جوشیتا
গৌর	جاور
গৌরবী	جاوربی
গৌরাংশ	جاورانش
গৌরীতা	جاوریتا
গৌর্যনবী	جاورینبی
গ্নানেন্দের	جنانیندیر
গ্যানবী	جیانبی
গ্রাহ্য	جراهی
গ্রিষ্মা	جریشما
গ্রীশ্মীতা	جریشمیتا
গ্রীসমাং	جریسمان
ঘটোতকত্চা	جهطوتكتتشا
ঘুংগরূ	جهونجرو
চংদসরী	تشندسری
চংদের্ভান	تشندیربهان
চংদ্রকংতী	تشندركنتی
চংদ্রকিশোর	تشندركیشور
চংদ্রকীর্তী	تشندركیرتی
চংদ্রন	تشندرن
চংদ্রন্শুং	تشندرنشون
চংদ্রমতি	تشندرمتی
চংদ্রমনী	تشندرمنی
চংদ্রা	تشندرا
চংদ্রিকা	تشندریكا
চংদ্রেযী	تشندرییی
চংধু	تشندهو
চক্রপাণী	تشكربانی
চতুর্বী	تشتوربی
চনক	تشنك
চনাস্যা	تشناسیا
চন্দ্রকলী	تشندركلی
চন্দ্রসহোদারী	تشندرسهوداری
চপলা	تشبلا
চযাংক	تشیانك
চরণ	تشرن
চরীতাব্যা	تشریتابیا
চরীথা	تشریتها
চরুশীল	تشروشیل
চানাস্যা	تشاناسیا
চাব্রিক	تشابریك
চামীনী	تشامینی
চিত্তেশ	تشیتتیش
চিত্রকূট সমাংশ্রাযা	تشیتركوط سمانشرایا
চিত্রবাহূ	تشیترباهو
চিত্রমালা	تشیترمالا
চিত্রযুদ্ধ	تشیتریودده
চিত্রিকা	تشیتریكا
চিত্রিতা	تشیتریتا
চিমাযী	تشیمایی
চিরংজীব	تشیرنجیب
চিরংতন	تشیرنتن
চীথরা	تشیتهرا
চীন্নীঃ	تشیننیها
চীস্থা	تشیستها
চুংবন	تشونبن
চুটকী	تشوطكی
চুন্নী	تشوننی
চুমকী	تشومكی
চেতন্সাঈ	تشیتنساي
চৈতাল	تشایتال
চৈত্রী	تشایتری
চৈনীকা	تشاینیكا
চৈসরণ	تشایسرن
জক্ষানী	جكشانی
জগতপ্রকাশ	ججتبركاش
জগদগুরুবে	ججدجوروبي
জগদীপ	ججدیب
জগদেশা	ججدیشا
জগাতী	ججاتی
জগ্সনা	ججسنا
জতন	جتن
জনামেজয	جنامیجی
জনিতা	جنیتا
জবিনে	جبیني
জযকিশন	جیكیشن
জযগোপাল	جیجوبال
জযনা	جینا
জযাজীত	جیاجیت
জযানংদ	جیانند
জরুল	جرول
জলজ়া	جلجا
জশ্বীথা	جشبیتها
জশ্মীথা	جشمیتها
জসরাজ	جسراج
জস্টীন	جسطین
জহাংগীর	جهانجیر
জাংবুবন	جانبوبن
জাগচংদ্রা	جاجتشندرا
জানকীবল্লভ	جانكیبللبه
