# Territory names from CLDR
ఎసెషన్ దీవి	എസെഷന് ദീവി
అండొర్రా	അംഡൊര്രാ
యునైటెడ్ అరబ్ ఎమిరేట్స్	യുനൈടെഡ് അരബ് എമിരേട്സ്
ఆఫ్ఘనిస్తాన్	ആഫ്ഘനിസ്താന്
ఆంటిగ్వా మరియు బార్బుడా	ആംടിഗ്വാ മരിയു ബാര്ബുഡാ
ఆంగవిల్లా	ആംഗവില്ലാ
అల్బేనియా	അല്ബേനിയാ
ఆర్మేనియా	ആര്മേനിയാ
అంగోలా	അംഗോലാ
అంటార్కటికా	അംടാര്കടികാ
అర్జెంటీనా	അര്ജെംടീനാ
అమెరికన్ సమోవా	അമെരികന് സമോവാ
ఆస్ట్రియా	ആസ്ട്രിയാ
ఆస్ట్రేలియా	ആസ്ട്രേലിയാ
అరుబా	അരുബാ
ఆలేండ్ దీవులు	ആലേംഡ് ദീവുലു
అజర్బైజాన్	അജര്ബൈജാന്
బోస్నియా మరియు హెర్జెగొవీనా	ബോസ്നിയാ മരിയു ഹെര്ജെഗൊവീനാ
బార్బడోస్	ബാര്ബഡോസ്
బంగ్లాదేశ్	ബംഗ്ലാദേശ്
బెల్జియం	ബെല്ജിയം
బుర్కినా ఫాసో	ബുര്കിനാ ഫാസോ
బల్గేరియా	ബല്ഗേരിയാ
బహ్రెయిన్	ബഹ്രെയിന്
బురుండి	ബുരുംഡി
బెనిన్	ബെനിന്
సెంట్ బర్తేలెమీ	സെംട് ബര്തേലെമീ
బెర్ముడా	ബെര്മുഡാ
బ్రూనై	ബ്രൂനൈ
బొలీవియా	ബൊലീവിയാ
కరీబియన్ నెదర్లాండ్స్	കരീബിയന് നെദര്ലാംഡ്സ്
బ్రెజిల్	ബ്രെജില്
బహామాస్	ബഹാമാസ്
భూటాన్	ഭൂടാന്
బొవెట్ దీవి	ബൊവെട് ദീവി
బోట్స్వానా	ബോട്സ്വാനാ
బెలారస్	ബെലാരസ്
బెలిజ్	ബെലിജ്
కెనడా	കെനഡാ
