# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	असॆन्शन् द्वीप
ಅಂಡೋರಾ	अंडोरा
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	संयुक्त अरब् ऎमिरेटस्
ಅಫಘಾನಿಸ್ಥಾನ್	अफघानिस्थान्
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	आंटिगुवा मत्तु बर्बुडा
ಆಂಗುಯಿಲ್ಲಾ	आंगुयिल्ला
ಅಲ್ಬೇನಿಯಾ	अल्बेनिया
ಅರ್ಮೇನಿಯಾ	अर्मेनिया
ಅಂಗೋಲಾ	अंगोला
ಅಂಟಾರ್ಟಿಕಾ	अंटार्टिका
ಅರ್ಜೆಂಟಿನಾ	अर्जॆंटिना
ಅಮೇರಿಕನ್ ಸಮೋವಾ	अमेरिकन् समोवा
ಆಸ್ಟ್ರಿಯಾ	आस्ट्रिया
ಆಸ್ಟ್ರೇಲಿಯ	आस्ट्रेलिय
ಅರುಬಾ	अरुबा
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	आल्यांड् द्वीपगळु
ಅಜರ್ಬೈಜಾನ್	अजर्बैजान्
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	बोस्निया मत्तु हर्जॆगोविना
ಬಾರ್ಬಡೋಸ್	बार्बडोस्
ಬಾಂಗ್ಲಾದೇಶ್	बांग्लादेश्
ಬೆಲ್ಜಿಯಮ್	बॆल्जियम्
ಬುರ್ಕಿನಾ ಫಾಸೋ	बुर्किना फासो
ಬಲ್ಗೇರಿಯಾ	बल्गेरिया
ಬಹರೈನ್	बहरैन्
ಬುರುಂಡಿ	बुरुंडि
ಬೆನಿನ್	बॆनिन्
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	सेंट् बार्थॆलॆमि
ಬರ್ಮುಡಾ	बर्मुडा
ಬ್ರೂನಿ	ब्रूनि
ಬೊಲಿವಿಯಾ	बॊलिविया
ಕೆರೀಬಿಯನ್ ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	कॆरीबियन् नॆदर्‌ल्यांड्स्
ಬ್ರೆಜಿಲ್	ब्रॆजिल्
ಬಹಾಮಾಸ್	बहामास्
ಭೂತಾನ್	भूतान्
ಬೋವೆಟ್ ದ್ವೀಪ	बोवॆट् द्वीप
ಬೋಟ್ಸ್‌ವಾನಾ	बोट्स्‌वाना
ಬೆಲಾರಸ್	बॆलारस्
ಬೆಲಿಜ್	बॆलिज्
ಕೆನಡಾ	कॆनडा
ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು	कॊकॊस् (कीलिंग्) द्वीपगळु
ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ	कांगो - किन्शासा
ಕಾಂಗೋ (DRC)	कांगो (DRC)
ಮಧ್ಯ ಆಫ್ರಿಕಾ ಗಣರಾಜ್ಯ	मध्य आफ्रिका गणराज्य
ಕಾಂಗೋ - ಬ್ರಾಜಾವಿಲ್ಲೇ	कांगो - ब्राजाविल्ले
ಕಾಂಗೋ (ಗಣರಾಜ್ಯ)	कांगो (गणराज्य)
ಸ್ವಿಟ್ಜರ್ಲ್ಯಾಂಡ್	स्विट्जर्ल्यांड्
ಕೋತ್‌ ದಿವಾರ್‍	कोत्‌ दिवार्‍
ಐವರಿ ಕೋಸ್ಟ್	ऐवरि कोस्ट्
ಕುಕ್ ದ್ವೀಪಗಳು	कुक् द्वीपगळु
ಚಿಲಿ	चिलि
ಕ್ಯಾಮರೋನ್	क्यामरोन्
ಚೀನಾ	चीना
ಕೊಲಂಬಿಯಾ	कॊलंबिया
ಕ್ಲಿಪ್ಪರ್‌ಟಾನ್ ದ್ವೀಪಗಳು	क्लिप्पर्‌टान् द्वीपगळु
ಕೊಸ್ಟಾ ರಿಕಾ	कॊस्टा रिका
ಕ್ಯೂಬಾ	क्यूबा
ಕೇಪ್ ವರ್ಡೆ	केप् वर्डॆ
ಕುರಾಕಾವ್	कुराकाव्
ಕ್ರಿಸ್ಮಸ್ ದ್ವೀಪ	क्रिस्मस् द्वीप
ಸೈಪ್ರಸ್	सैप्रस्
ಚೆಕ್ ರಿಪಬ್ಲಿಕ್	चॆक् रिपब्लिक्
ಜರ್ಮನಿ	जर्मनि
ಡೈಗೋ ಗಾರ್ಸಿಯ	डैगो गार्सिय
ಜಿಬೋಟಿ	जिबोटि
ಡೆನ್ಮಾರ್ಕ್	डॆन्मार्क्
ಡೊಮಿನಿಕಾ	डॊमिनिका
ಡೊಮೆನಿಕನ್ ರಿಪಬ್ಲಿಕ್	डॊमॆनिकन् रिपब्लिक्
ಅಲ್ಗೇರಿಯಾ	अल्गेरिया
ಸೆಯುಟಾ ಹಾಗೂ ಮೆಲಿಲ್ಲಾ	सॆयुटा हागू मॆलिल्ला
ಈಕ್ವೆಡಾರ್	ईक्वॆडार्
ಎಸ್ಟೋನಿಯಾ	ऎस्टोनिया
ಈಜಿಪ್ಟ್	ईजिप्ट्
ಪಶ್ಚಿಮ ಸಹಾರಾ	पश्चिम सहारा
ಏರಿಟ್ರಿಯಾ	एरिट्रिया
ಸ್ಪೇನ್	स्पेन्
ಇಥಿಯೋಪಿಯಾ	इथियोपिया
ಯುರೋಪಿಯನ್ ಯೂನಿಯನ್	युरोपियन् यूनियन्
ಫಿನ್‌ಲ್ಯಾಂಡ್	फिन्‌ल्यांड्
ಫಿಜಿ	फिजि
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	फाल्क्‌ल्यांड् द्वीपगळु
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು (ಇಸ್ಲಾಸ್ ಮಾಲ್ವಿನಸ್)	फाल्क्‌ल्यांड् द्वीपगळु (इस्लास् माल्विनस्)
ಮೈಕ್ರೋನೇಶಿಯಾ	मैक्रोनेशिया
ಫರೋ ದ್ವೀಪಗಳು	फरो द्वीपगळु
ಫ್ರಾನ್ಸ್	फ्रान्स्
ಗೆಬೊನ್	गॆबॊन्
ಬ್ರಿಟನ್/ಇಂಗ್ಲೆಂಡ್	ब्रिटन्/इंग्लॆंड्
ಗ್ರೆನೆಡಾ	ग्रॆनॆडा
ಜಾರ್ಜಿಯಾ	जार्जिया
ಫ್ರೆಂಚ್ ಗಯಾನಾ	फ्रॆंच् गयाना
