# Baby names
अनिया	انییا
आकर्षक	آكرشك
आघोश	آجهوش
आदम्य	آدمی
आदर्श	آدرش
आदित्व	آدیتو
आदिया	آدیا
आदीजय	آدیجی
आधाव	آدهاو
आधीरेन	آدهیرین
आध्या	آدهیا
आन	آن
आनंत्या	آننتیا
आनंदित	آنندیت
आनाधीता	آنادهیتا
आनाया	آنایا
आन्वी	آنوی
आभात	آبهات
आमोघ	آموجه
आमोदीन	آمودین
आर	آر
आराड्या	آرادیا
आराधक	آرادهك
आराधना	آرادهنا
आराध्य	آرادهی
आरीन	آرین
आर्ना	آرنا
आल्या	آلیا
आहलादिता	آهلادیتا
इंदिरा	إندیرا
इंदुकला	إندوكلا
इंदुजा	إندوجا
इंदुभूषण	إندوبهوشن
इंदुलाला	إندولالا
इकंश	إكنش
इक्शु	إكشو
इक्षित	إكشیت
इक्सुरा	إكسورا
इदित्री	إدیتری
इधित्री	إدهیتری
इन्गनाम	إنجنام
इन्दिवारस	إندیوارس
इन्दुप्रभा	إندوبربها
इन्दुमत	إندومت
इन्दुमांथी	إندومانتهی
इन्द्रदयुम्न	إندردیومن
इन्द्रसेन	إندرسین
इरावत	إراوت
इरित	إریت
इलंपीरई	إلنبیري
इलावेनिल	إلاوینیل
इष्टा	إشطا
इसार	إسار
इह्सान	إهسان
ईज्या	إجیا
ईझ्रीने	إجهریني
ईदी	إدی
ईम्पाल	إمبال
ईरीन	إرین
ईरीश	إریش
ईलापताये	إلابتایي
ईल्लीशा	إللیشا
ईशान	إشان
ईशानी	إشانی
ईश्वर	إشور
ईसैवलन	إسایولن
उग्रस्रवास	وجرسرواس
उग्रेश	وجریش
उच्चल	وتشتشل
उजाला	وجالا
उज्जवल	وججول
उज्ज्वला /उज्वला	وججولا /وجولا
उज्वल	وجول
उदय कुमार	ودی كومار
उदयसूरियाँ	ودیسورییان
उदीता	ودیتا
उद्गिता	ودجیتا
उद्दीप्ता	وددیبتا
उद्वंश	ودونش
उननीका	وننیكا
उन्जली	ونجلی
उन्नाथी	ونناتهی
उन्न्य	وننی
उन्मा	ونما
उपदा	وبدا
उमरानी	ومرانی
उमा शंकर	وما شنكر
उमांमांहेश्वर	ومانمانهیشور
उम्सीहा	ومسیها
उरवशी	وروشی
उर्मिला	ورمیلا
उर्वरा	ورورا
उर्वशी	وروشی
उर्वा	وروا
उर्वी	وروی
उल्केश	ولكیش
उषाकिरण	وشاكیرن
ऊर्जा	ورجا
एअस्वरण	یاسورن
एकक्षरपरा	یككشربرا
एकत्र	یكتر
एकना	یكنا
एकयावन	یكیاون
एकलव्य	یكلوی
एकलव्या	یكلویا
एकांश	یكانش
एकाक्षा	یكاكشا
एकाग्रह	یكاجره
एकाचक्र	یكاتشكر
