# Territory names from CLDR
அஷன்ஷியன் தீவு	aṣaṉṣiyaṉ tīvu
அன்டோரா	aṉṭōrā
ஐக்கிய அரபு எமிரேட்ஸ்	aikkiya arapu emirēṭs
ஆப்கானிஸ்தான்	āpkāṉistāṉ
ஆண்டிகுவா மற்றும் பார்புடா	āṇṭikuvā maṟṟum pārpuṭā
அங்குய்லா	aṅkuylā
அல்பேனியா	alpēṉiyā
அர்மேனியா	armēṉiyā
அங்கோலா	aṅkōlā
அண்டார்டிகா	aṇṭārṭikā
அர்ஜென்டினா	arjeṉṭiṉā
அமெரிக்க சமோவா	amerikka camōvā
ஆஸ்திரியா	āstiriyā
ஆஸ்திரேலியா	āstirēliyā
அரூபா	arūpā
ஆலந்து தீவுகள்	ālantu tīvukaḷ
அசர்பைஜான்	acarpaijāṉ
போஸ்னியா &amp; ஹெர்ஸகோவினா	pōsṉiyā &amp; hersakōviṉā
பார்படோஸ்	pārpaṭōs
பங்களாதேஷ்	paṅkaḷātēṣ
பெல்ஜியம்	peljiyam
புர்கினா ஃபாஸோ	purkiṉā ḥpāsō
பல்கேரியா	palkēriyā
பஹ்ரைன்	pahraiṉ
புருண்டி	puruṇṭi
பெனின்	peṉiṉ
செயின்ட் பார்தேலெமி	ceyiṉṭ pārtēlemi
பெர்முடா	permuṭā
புரூனேய்	purūṉēy
பொலிவியா	poliviyā
கரீபியன் நெதர்லாந்து	karīpiyaṉ netarlāntu
பிரேசில்	pirēcil
பஹாமாஸ்	pahāmās
பூடான்	pūṭāṉ
பொவேட் தீவுகள்	povēṭ tīvukaḷ
போட்ஸ்வானா	pōṭsvāṉā
பெலாரூஸ்	pelārūs
பெலிஸ்	pelis
கனடா	kaṉaṭā
கோகோஸ் (கீலிங்) தீவுகள்	kōkōs (kīliṅ) tīvukaḷ
காங்கோ - கின்ஷாசா	kāṅkō - kiṉṣācā
காங்கோ (டிஆர்சி)	kāṅkō (ṭi'ārci)
மத்திய ஆப்ரிக்கக் குடியரசு	mattiya āprikkak kuṭiyaracu
காங்கோ - ப்ராஸாவில்லே	kāṅkō - prāsāvillē
காங்கோ (குடியரசு)	kāṅkō (kuṭiyaracu)
ஸ்விட்சர்லாந்து	sviṭcarlāntu
கோட் தி’வாயர்	kōṭ ti’vāyar
ஐவரி கோஸ்ட்	aivari kōsṭ
குக் தீவுகள்	kuk tīvukaḷ
சிலி	cili
கேமரூன்	kēmarūṉ
சீனா	cīṉā
கொலம்பியா	kolampiyā
கிலிப்பர்டன் தீவு	kilipparṭaṉ tīvu
கோஸ்டாரிகா	kōsṭārikā
கியூபா	kiyūpā
கேப் வெர்டே	kēp verṭē
குராகவ்	kurākav
கிறிஸ்துமஸ் தீவு	kiṟistumas tīvu
சைப்ரஸ்	caipras
செக் குடியரசு	cek kuṭiyaracu
ஜெர்மனி	jermaṉi
டியகோ கார்ஷியா	ṭiyakō kārṣiyā
ஜிபௌட்டி	jipauṭṭi
டென்மார்க்	ṭeṉmārk
டொமினிகா	ṭomiṉikā
டொமினிகன் குடியரசு	ṭomiṉikaṉ kuṭiyaracu
அல்ஜீரியா	aljīriyā
சியூடா &amp; மெலில்லா	ciyūṭā &amp; melillā
ஈக்வடார்	īkvaṭār
எஸ்டோனியா	esṭōṉiyā
எகிப்து	ekiptu
மேற்கு சஹாரா	mēṟku cahārā
எரிட்ரியா	eriṭriyā
ஸ்பெயின்	speyiṉ
எதியோப்பியா	etiyōppiyā
ஐரோப்பிய யூனியன்	airōppiya yūṉiyaṉ
பின்லாந்து	piṉlāntu
ஃபிஜி	ḥpiji
ஃபாக்லாந்து தீவுகள்	ḥpāklāntu tīvukaḷ
ஃபாக்லாந்து தீவுகள் (இஸ்லாஸ் மால்வினஸ்)	ḥpāklāntu tīvukaḷ (islās mālviṉas)
மைக்ரோனேஷியா	maikrōṉēṣiyā
ஃபாரோ தீவுகள்	ḥpārō tīvukaḷ
பிரான்ஸ்	pirāṉs
கேபான்	kēpāṉ
ஐக்கிய பேரரசு	aikkiya pēraracu
யூகே	yūkē
கிரனெடா	kiraṉeṭā
ஜார்ஜியா	jārjiyā
பிரெஞ்சு கயானா	pireñcu kayāṉā
கெர்ன்சி	kerṉci
கானா	kāṉā
ஜிப்ரால்டர்	jiprālṭar
கிரீன்லாந்து	kirīṉlāntu
காம்பியா	kāmpiyā
கினியா	kiṉiyā
க்வாதேலோப்	kvātēlōp
ஈக்வடோரியல் கினியா	īkvaṭōriyal kiṉiyā
கிரீஸ்	kirīs
