# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	ਅ੍ਯਾਸਸੇਨਸ਼ਨ ਆਇਲ੍ਯਾਨ੍ਡ
এ্যান্ডোরা	ਏ੍ਯਾਨ੍ਡੋਰਾ
সংযুক্ত আরব আমিরাত	ਸੰਯੁਕ੍ਤ ਆਰਬ ਆਮਿਰਾਤ
আফগানিস্তান	ਆਫਗਾਨਿਸ੍ਤਾਨ
এন্টিগুয়া ও বারবুডা	ਏਨ੍ਟਿਗੁਯ਼ਾ ਓ ਬਾਰਬੁਡਾ
এ্যাঙ্গুইলা	ਏ੍ਯਾਙ੍ਗੁਇਲਾ
আলব্যানিয়া	ਆਲਬ੍ਯਾਨਿਯ਼ਾ
আর্মেনিয়া	ਆਰ੍ਮੇਨਿਯ਼ਾ
অ্যাঙ্গোলা	ਅ੍ਯਾਙ੍ਗੋਲਾ
অ্যান্টার্কটিকা	ਅ੍ਯਾਨ੍ਟਾਰ੍ਕਟਿਕਾ
আর্জেন্টিনা	ਆਰ੍ਜੇਨ੍ਟਿਨਾ
আমেরিকান সামোয়া	ਆਮੇਰਿਕਾਨ ਸਾਮੋਯ਼ਾ
অস্ট্রিয়া	ਅਸ੍ਟ੍ਰਿਯ਼ਾ
অস্ট্রেলিয়া	ਅਸ੍ਟ੍ਰੇਲਿਯ਼ਾ
আরুবা	ਆਰੁਬਾ
আলান্ড দ্বীপপুঞ্জ	ਆਲਾਨ੍ਡ ਦ੍ਬੀਪਪੁਞ੍ਜ
আজারবাইজান	ਆਜਾਰਬਾਇਜਾਨ
বসনিয়া ও হার্জেগোভিনা	ਬਸਨਿਯ਼ਾ ਓ ਹਾਰ੍ਜੇਗੋਭਿਨਾ
বারবাদোস	ਬਾਰਬਾਦੋਸ
বাংলাদেশ	ਬਾਂਲਾਦੇਸ਼
বেলজিয়াম	ਬੇਲਜਿਯ਼ਾਮ
বুরকিনা ফাসো	ਬੁਰਕਿਨਾ ਫਾਸੋ
বুলগেরিয়া	ਬੁਲਗੇਰਿਯ਼ਾ
বাহরাইন	ਬਾਹਰਾਇਨ
বুরুন্ডি	ਬੁਰੁਨ੍ਡਿ
বেনিন	ਬੇਨਿਨ
সেন্ট বারথেলিমি	ਸੇਨ੍ਟ ਬਾਰਥੇਲਿਮਿ
বারমুডা	ਬਾਰਮੁਡਾ
ব্রুনেই	ਬ੍ਰੁਨੇਇ
বোলিভিয়া	ਬੋਲਿਭਿਯ਼ਾ
ক্যারিবিয়ান নেদারল্যান্ডস	ਕ੍ਯਾਰਿਬਿਯ਼ਾਨ ਨੇਦਾਰਲ੍ਯਾਨ੍ਡਸ
ব্রাজিল	ਬ੍ਰਾਜਿਲ
বাহামা দ্বীপপুঞ্জ	ਬਾਹਾਮਾ ਦ੍ਬੀਪਪੁਞ੍ਜ
ভুটান	ਭੁਟਾਨ
বোভেট দ্বীপ	ਬੋਭੇਟ ਦ੍ਬੀਪ
বতসোয়ানা	ਬਤਸੋਯ਼ਾਨਾ
বেলোরুশিয়া	ਬੇਲੋਰੁਸ਼ਿਯ਼ਾ
বেলিজ	ਬੇਲਿਜ
কানাডা	ਕਾਨਾਡਾ
কোকোস (কিলিং)দ্বীপপুঞ্জ	ਕੋਕੋਸ (ਕਿਲਿਂ)ਦ੍ਬੀਪਪੁਞ੍ਜ
কঙ্গো-কিনশাসা	ਕਙ੍ਗੋ-ਕਿਨਸ਼ਾਸਾ
কঙ্গো(DRC)	ਕਙ੍ਗੋ(DRC)
মধ্য আফ্রিকার প্রজাতন্ত্র	ਮਧ੍ਯ ਆਫ੍ਰਿਕਾਰ ਪ੍ਰਜਾਤਨ੍ਤ੍ਰ
কঙ্গো - ব্রাজাভিল	ਕਙ੍ਗੋ - ਬ੍ਰਾਜਾਭਿਲ
কঙ্গো (প্রজাতন্ত্র)	ਕਙ੍ਗੋ (ਪ੍ਰਜਾਤਨ੍ਤ੍ਰ)
সুইজারল্যান্ড	ਸੁਇਜਾਰਲ੍ਯਾਨ੍ਡ
আইভরি কোস্ট	ਆਇਭਰਿ ਕੋਸ੍ਟ
কুক দ্বীপপুঞ্জ	ਕੁਕ ਦ੍ਬੀਪਪੁਞ੍ਜ
চিলি	ਚਿਲਿ
ক্যামেরুন	ਕ੍ਯਾਮੇਰੁਨ
চীন	ਚੀਨ
কোলোম্বিয়া	ਕੋਲੋਮ੍ਬਿਯ਼ਾ
ক্লিপারটন আইল্যান্ড	ਕ੍ਲਿਪਾਰਟਨ ਆਇਲ੍ਯਾਨ੍ਡ
কোস্টারিকা	ਕੋਸ੍ਟਾਰਿਕਾ
কিউবা	ਕਿਉਬਾ
কেপভার্দে	ਕੇਪਭਾਰ੍ਦੇ
কিউরাসাও	ਕਿਉਰਾਸਾਓ
