abanilla	أفانييا
abrucena	أفروسينا
acebo	أسيفو
acedera	أسيذيرا
acehuche	أسيأتشي
aceuchal	أسيوتشال
adamuz	أذاموس
ademuz	أذيموس
adzaneta	أذسانيتا
agoncillo	أغونسييو
aguadulce	أغواذولسي
agullana	أغويانا
ahillones	أإِيونيس
aiguamurcia	أيغوامورسيا
aizpun	أيسبون
alamedilla	ألاميذييا
alamillo	ألامييو
alarilla	ألارييا
alatoz	ألاتوس
albacete	ألفاسيتي
albalatillo	ألفالاتييو
albanchez	ألفانتشيس
albarracin	ألفاراسين
albocacer	ألفوكاسير
alcadozo	ألكاذوسو
alcanices	ألكانيسيس
alcaniz	ألكانيس
alcantarilla	ألكانتارييا
alcaracejos	ألكاراسيخوس
alcaraz	ألكاراس
alcaucin	ألكاوسين
alcazaren	ألكاسارين
alceda	ألسيذا
alcira	ألسيرا
alcocebre	ألكوسيفري
alcocer	ألكوسير
alcollarin	ألكويارين
alcubillas	ألكوفيياس
alcuneza	ألكونيسا
aldeacentenera	ألدياسينتينيرا
aldealpozo	ألديالبوسو
alfaiz	ألفايس
alfaraz	ألفاراس
alfoz	ألفوس
algatocin	ألغاتوسين
algeciras	ألخيسيراس
alguazas	ألغواساس
aljucen	ألخوسين
allariz	أياريس
allepuz	أيبوس
aller	أير
alles	أيس
allo	أيو
alloza	أيوسا
almacellas	ألماسيياس
almaciles	ألماسيليس
almaluez	ألمالويس
almanza	ألمانسا
almaraz	ألماراس
almazan	ألماسان
almazora	ألماسورا
almazul	ألماسول
almedinilla	ألميذينييا
alocen	ألوسين
alozaina	ألوساينا
alperiz	ألبيريس
alquezar	ألكيسار
alzola	ألسولا
amezaga	أميساغا
ancin	أنسين
andalucia	أندالوسيا
andilla	أندييا
andosilla	أندوسييا
anzanigo	أنسانيغو
anzuola	أنسوولا
anzur	أنسور
apellaniz	أبييانيس
aracena	أراسينا
aragoncillo	أراغونسييو
aranaz	أراناس
arandillo	أراندييو
aranjuez	أرانخويس
aranzazu	أرانساسو
aranzuegue	أرانسويغي
arceniega	أرسينيغا
archilla	أرتشييا
arevalillo	أريفالييو
arganza	أرغانسا
arguellite	أرغييتي
ariñez	أرينيس
ariza	أريسا
arizala	أريسالا
arjonilla	أرخونييا
arlanzon	أرلانسون
arnedillo	أرنيذييو
aroizu	أرويسو
arquillos	أركييوس
arrancacepas	أرانكاسيباس
arrazola	أراسولا
arrecife	أريسيفي
arroniz	أرونيس
artazu	أرتاسو
arzúa	أرسوا
asomadilla	أسوماذييا
astillero	أستييرو
astudillo	أستوذييو
atienza	أتينسا
avellanes	أفييانيس
ayllon	أييون
azagra	أساغرا
azaila	أسايلا
azañón	أسانون
azanuy	أسانوي
azcoitia	أسكويتيا
aznalcazar	أسنالكاسار
aznalcollar	أسنالكويار
azpeitia	أسبييتيا
azuaga	أسواغا
azuara	أسوارا
azuelo	أسويلو
badajoz	باذاخوس
baeza	بايسا
bahillo	باإِيو
baillo	باييو
balazote	بالاسوتي
balces	بالسيس
ballerias	بايرياس
ballestar	بايستار
ballesteros	بايستيروس
ballobar	بايوفار
bañobarez	بانوفاريس
baralla	بارايا
barbadillo	بارفاذييو
barcena	بارسينا
barcience	بارسينسي
barzana	بارسانا
basella	باسييا
baza	باسا
beariz	باريس
beceite	بسييتي
bello	بيو
belltall	بيتاي
bellver	بيفير
bellvey	بيفيي
bellvis	بيفيس
belmez	بلميس
benacazon	بناكاسون
benaguacil	بناغواسيل
benaocaz	بناوكاس
benejuzar	بنيخوسار
benifallet	بنيفايت
benifallim	بنيفايم
benilloba	بنييوفا
benitachell	بنيتاتشيي
benizalon	بنيسالون
benuza	بنوسا
benzu	بنسو
berantevilla	برانتيفييا
bercedo	برسيذو
bercero	برسيرو
berducedo	برذوسيذو
berriz	بريس
berzocana	برسوكانا
betanzos	بتانسوس
bezes	بسيس
biguezal	بيغيسال
binaced	بيناسيذ
bizberri	بيسفيري
blanquilla	بلانكييا
blazques	بلاسكيس
boadilla	بواذييا
bobadilla	بوفاذييا
boceguillas	بوسيغيياس
bocigas	بوسيغاس
boecillo	بويسييو
bonanza	بونانسا
bonilla	بونييا
brozas	بروساس
buciegas	بوسيغاس
bujalance	بوخالانسي
bujaraloz	بوخارالوس
bullas	بوياس
burguillos	بورغييوس
cabanillas	كافانيياس
cabezamesada	كافيساميساذا
cabezarados	كافيساراذوس
cabezo	كافيسو
cabrillanes	كافرييانيس
cabrillas	كافريياس
caceres	كاسيريس
cachilla	كاتشييا
cachorrilla	كاتشورييا
cacin	كاسين
calaceite	كالاسييتي
calafell	كالافيي
calatanazor	كالاتاناسور
callejas	كايخاس
calzadilla	كالساذييا
camallera	كامايرا
camarillas	كاماريياس
campanillas	كامبانيياس
campello	كامبييو
campillo	كامبييو
campillos	كامبييوس
camporrells	كامبورييس
cancienes	كانسينيس
canillas	كانيياس
canizal	كانيسال
canizares	كانيساريس
canizo	كانيسو
cantillana	كانتييانا
canyellas	كانيياس
capdella	كابذييا
capellades	كابيياذيس
capilla	كابييا
carcastillo	كاركاستييو
carcelen	كارسيلين
carracedelo	كاراسيذيلو
carranza	كارانسا
carrizal	كاريسال
carrizo	كاريسو
carrizosa	كاريسوسا
carrocera	كاروسيرا
cartelle	كارتيي
carucedo	كاروسيذو
castalla	كاستايا
castellanos	كاستييانوس
castelldans	كاستييدانس
castelldefels	كاستييديفيلس
castellote	كاستييوتي
castells	كاستييس
castelltallat	كاستييتايات
castellvell	كاستييفيي
castilla	كاستييا
castillejar	كاستييخار
castrillon	كاسترييون
castrodeza	كاستروذيسا
castrogeriz	كاستروخيريس
castrogonzalo	كاستروغونسالو
catllal	كاتيال
cavezon	كافيسون
cazalegas	كاساليغاس
cea	سا
ceadea	ساذيا
ceanuri	سانوري
cebanico	سفانيكو
cebolla	سفويا
cebollar	سفويار
cebollera	سفويرا
cebreros	سفريروس
cebron	سفرون
ceclavin	سكلافين
cecos	سكوس
cedeira	سذييرا
cedillo	سذييو
cedrillas	سذريياس
cee	سي
cehegin	سإِخين
ceinos	سينوس
cejo	سخو
celadas	سلاذاس
celanova	سلانوفا
cella	سيا
celtiberia	سلتيفيريا
cenia	سنيا
cenicero	سنيسيرو
cenicientos	سنيسينتوس
cenizate	سنيساتي
cenlle	سني
centellas	سنتيياس
centenillo	سنتينييو
centro	سنترو
cepeda	سبيذا
cerceda	سرسيذا
