# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ഏസേന്ശന ആഇലേന്ഡ
ઍંડોરા	എംഡോരാ
યુનાઇટેડ આરબ અમીરાત	യുനാഇടേഡ ആരബ അമീരാത
અફઘાનિસ્તાન	അഫഘാനിസ്താന
એન્ટીગુઆ અને બર્મુડા	ഏന്ടീഗുആ അനേ ബര്മുഡാ
ઍંગ્વિલા	എംഗ്വിലാ
અલ્બેનિયા	അല്ബേനിയാ
આર્મેનિયા	ആര്മേനിയാ
અંગોલા	അംഗോലാ
એન્ટાર્કટિકા	ഏന്ടാര്കടികാ
આર્જેન્ટીના	ആര്ജേന്ടീനാ
અમેરીકન સમોઆ	അമേരീകന സമോആ
ઑસ્ટ્રિયા	ഒസ്ട്രിയാ
ઑસ્ટ્રેલિયા	ഒസ്ട്രേലിയാ
અરુબા	അരുബാ
એલેંડ ટાપુઓ	ഏലേംഡ ടാപുഓ
અઝરબૈજાન	അഝരബൈജാന
બોસ્નિયા અને હર્ઝેગોવિના	ബോസ്നിയാ അനേ ഹര്ഝേഗോവിനാ
બાર્બાડોસ	ബാര്ബാഡോസ
બાંગ્લાદેશ	ബാംഗ്ലാദേശ
બેલ્જીયમ	ബേല്ജീയമ
બુર્કિના ફાસો	ബുര്കിനാ ഫാസോ
બલ્ગેરિયા	ബല്ഗേരിയാ
બેહરીન	ബേഹരീന
બુરુંડી	ബുരുംഡീ
બેનિન	ബേനിന
સેન્ટ બાર્થેલેમી	സേന്ട ബാര്ഥേലേമീ
બર્મુડા	ബര്മുഡാ
બ્રુનેઇ	ബ്രുനേഇ
બોલિવિયા	ബോലിവിയാ
કેરેબિયન નેધરલેન્ડ્ઝ	കേരേബിയന നേധരലേന്ഡ്ഝ
બ્રાઝિલ	ബ്രാഝില
બહામાસ	ബഹാമാസ
ભૂટાન	ഭൂടാന
બૌવેત આઇલેન્ડ	ബൌവേത ആഇലേന്ഡ
બોત્સ્વાના	ബോത്സ്വാനാ
બેલારુસ	ബേലാരുസ
બેલીઝ	ബേലീഝ
કેનેડા	കേനേഡാ
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	കോകോഝ (കീലീംഗ) ആഇലേന്ഡ്സ
કોંગો - કિંશાસા	കോംഗോ - കിംശാസാ
કોંગો (ડીઆરસી)	കോംഗോ (ഡീആരസീ)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	സേന്ട്രല ആഫ്രികന രീപബ്ലിക
કોંગો - બ્રાઝાવિલે	കോംഗോ - ബ്രാഝാവിലേ
કોંગો (પ્રજાસત્તાક)	കോംഗോ (പ്രജാസത്താക)
સ્વિટ્ઝર્લૅન્ડ	സ്വിട്ഝര്ലാന്ഡ
કોટ ડી આઇવરી	കോട ഡീ ആഇവരീ
આઇવરી કોસ્ટ	ആഇവരീ കോസ്ട
કુક આઇલેન્ડ્સ	കുക ആഇലേന്ഡ്സ
ચિલી	ചിലീ
કૅમરૂન	കാമരൂന
ચીન	ചീന
કોલમ્બિયા	കോലമ്ബിയാ
ક્લિપરટન આઇલેન્ડ	ക്ലിപരടന ആഇലേന്ഡ
કોસ્ટા રિકા	കോസ്ടാ രികാ
ક્યુબા	ക്യുബാ
કૅપ વર્ડે	കാപ വര്ഡേ
કુરાકાઓ	കുരാകാഓ
