# Territory names from CLDR
ఎసెషన్ దీవి	ଏସେଷନ୍ ଦୀଵି
అండొర్రా	ଅଂଡୋର୍ରା
యునైటెడ్ అరబ్ ఎమిరేట్స్	ଯୁନୈଟେଡ୍ ଅରବ୍ ଏମିରେଟ୍ସ୍
ఆఫ్ఘనిస్తాన్	ଆଫ୍ଘନିସ୍ତାନ୍
ఆంటిగ్వా మరియు బార్బుడా	ଆଂଟିଗ୍ଵା ମରିଯୁ ବାର୍ବୁଡା
ఆంగవిల్లా	ଆଂଗଵିଲ୍ଲା
అల్బేనియా	ଅଲ୍ବେନିଯା
ఆర్మేనియా	ଆର୍ମେନିଯା
అంగోలా	ଅଂଗୋଲା
అంటార్కటికా	ଅଂଟାର୍କଟିକା
అర్జెంటీనా	ଅର୍ଜେଂଟୀନା
అమెరికన్ సమోవా	ଅମେରିକନ୍ ସମୋଵା
ఆస్ట్రియా	ଆସ୍ଟ୍ରିଯା
ఆస్ట్రేలియా	ଆସ୍ଟ୍ରେଲିଯା
అరుబా	ଅରୁବା
ఆలేండ్ దీవులు	ଆଲେଂଡ୍ ଦୀଵୁଲୁ
అజర్బైజాన్	ଅଜର୍ବୈଜାନ୍
బోస్నియా మరియు హెర్జెగొవీనా	ବୋସ୍ନିଯା ମରିଯୁ ହେର୍ଜେଗୋଵୀନା
బార్బడోస్	ବାର୍ବଡୋସ୍
బంగ్లాదేశ్	ବଂଗ୍ଲାଦେଶ୍
బెల్జియం	ବେଲ୍ଜିଯଂ
బుర్కినా ఫాసో	ବୁର୍କିନା ଫାସୋ
బల్గేరియా	ବଲ୍ଗେରିଯା
బహ్రెయిన్	ବହ୍ରେଯିନ୍
బురుండి	ବୁରୁଂଡି
బెనిన్	ବେନିନ୍
సెంట్ బర్తేలెమీ	ସେଂଟ୍ ବର୍ତେଲେମୀ
బెర్ముడా	ବେର୍ମୁଡା
బ్రూనై	ବ୍ରୂନୈ
బొలీవియా	ବୋଲୀଵିଯା
కరీబియన్ నెదర్లాండ్స్	କରୀବିଯନ୍ ନେଦର୍ଲାଂଡ୍ସ୍
బ్రెజిల్	ବ୍ରେଜିଲ୍
బహామాస్	ବହାମାସ୍
భూటాన్	ଭୂଟାନ୍
బొవెట్ దీవి	ବୋଵେଟ୍ ଦୀଵି
బోట్స్వానా	ବୋଟ୍ସ୍ଵାନା
బెలారస్	ବେଲାରସ୍
బెలిజ్	ବେଲିଜ୍
కెనడా	କେନଡା
కోకోస్ (కీలింగ్) దీవులు	କୋକୋସ୍ (କୀଲିଂଗ୍) ଦୀଵୁଲୁ
కాంగో- కిన్షాసా	କାଂଗୋ- କିନ୍ଷାସା
కాంగో (DRC)	କାଂଗୋ (DRC)
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	ସେଂଟ୍ରଲ୍ ଆଫ୍ରିକନ୍ ରିପବ୍ଲିକ୍
కాంగో- బ్రాజావిల్లి	କାଂଗୋ- ବ୍ରାଜାଵିଲ୍ଲି
కాంగో (రిపబ్లిక్)	କାଂଗୋ (ରିପବ୍ଲିକ୍)
స్విట్జర్లాండ్	ସ୍ଵିଟ୍ଜର୍ଲାଂଡ୍
ఐవరీ కోస్ట్	ଐଵରୀ କୋସ୍ଟ୍
కుక్ దీవులు	କୁକ୍ ଦୀଵୁଲୁ
చిలీ	ଚିଲୀ
కామెరూన్	କାମେରୂନ୍
చైనా	ଚୈନା
కొలంబియా	କୋଲଂବିଯା
క్లిప్పర్టన్ దీవి	କ୍ଲିପ୍ପର୍ଟନ୍ ଦୀଵି
కోస్టా రికా	କୋସ୍ଟା ରିକା
క్యూబా	କ୍ଯୂବା
కేప్ వెర్డే	କେପ୍ ଵେର୍ଡେ
కురాకవో	କୁରାକଵୋ
క్రిస్మస్ దీవి	କ୍ରିସ୍ମସ୍ ଦୀଵି
సైప్రస్	ସୈପ୍ରସ୍
చెక్ రిపబ్లిక్	ଚେକ୍ ରିପବ୍ଲିକ୍
జర్మనీ	ଜର୍ମନୀ
డియాగో గార్సియా	ଡିଯାଗୋ ଗାର୍ସିଯା
జిబౌటి	ଜିବୌଟି
డెన్మార్క్	ଡେନ୍ମାର୍କ୍
డోమెనిక	ଡୋମେନିକ
డొమెనికన్ రిపబ్లిక్	ଡୋମେନିକନ୍ ରିପବ୍ଲିକ୍
అల్జీరియా	ଅଲ୍ଜୀରିଯା
స్యూటా మరియు మెలిల్లా	ସ୍ଯୂଟା ମରିଯୁ ମେଲିଲ୍ଲା
ఈక్వడార్	ଈକ୍ଵଡାର୍
ఎస్టోనియా	ଏସ୍ଟୋନିଯା
ఈజిప్ట్	ଈଜିପ୍ଟ୍
