# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	అ్యాససేనశన ఆఇల్యాన్డ
এ্যান্ডোরা	ఏ్యాన్డోరా
সংযুক্ত আরব আমিরাত	సంయుక్త ఆరబ ఆమిరాత
আফগানিস্তান	ఆఫగానిస్తాన
এন্টিগুয়া ও বারবুডা	ఏన్టిగుయా ఓ బారబుడా
এ্যাঙ্গুইলা	ఏ్యాఙ్గుఇలా
আলব্যানিয়া	ఆలబ్యానియా
আর্মেনিয়া	ఆర్మేనియా
অ্যাঙ্গোলা	అ్యాఙ్గోలా
অ্যান্টার্কটিকা	అ్యాన్టార్కటికా
আর্জেন্টিনা	ఆర్జేన్టినా
আমেরিকান সামোয়া	ఆమేరికాన సామోయా
অস্ট্রিয়া	అస్ట్రియా
অস্ট্রেলিয়া	అస్ట్రేలియా
আরুবা	ఆరుబా
আলান্ড দ্বীপপুঞ্জ	ఆలాన్డ ద్బీపపుఞ్జ
আজারবাইজান	ఆజారబాఇజాన
বসনিয়া ও হার্জেগোভিনা	బసనియా ఓ హార్జేగోభినా
বারবাদোস	బారబాదోస
বাংলাদেশ	బాంలాదేశ
বেলজিয়াম	బేలజియామ
বুরকিনা ফাসো	బురకినా ఫాసో
বুলগেরিয়া	బులగేరియా
বাহরাইন	బాహరాఇన
বুরুন্ডি	బురున్డి
বেনিন	బేనిన
সেন্ট বারথেলিমি	సేన్ట బారథేలిమి
বারমুডা	బారముడా
ব্রুনেই	బ్రునేఇ
বোলিভিয়া	బోలిభియా
ক্যারিবিয়ান নেদারল্যান্ডস	క్యారిబియాన నేదారల్యాన్డస
ব্রাজিল	బ్రాజిల
বাহামা দ্বীপপুঞ্জ	బాహామా ద్బీపపుఞ్జ
ভুটান	భుటాన
বোভেট দ্বীপ	బోభేట ద్బీప
বতসোয়ানা	బతసోయానా
বেলোরুশিয়া	బేలోరుశియా
বেলিজ	బేలిజ
কানাডা	కానాడా
কোকোস (কিলিং)দ্বীপপুঞ্জ	కోకోస (కిలిం)ద్బీపపుఞ్జ
কঙ্গো-কিনশাসা	కఙ్గో-కినశాసా
কঙ্গো(DRC)	కఙ్గో(DRC)
মধ্য আফ্রিকার প্রজাতন্ত্র	మధ్య ఆఫ్రికార ప్రజాతన్త్ర
কঙ্গো - ব্রাজাভিল	కఙ్గో - బ్రాజాభిల
কঙ্গো (প্রজাতন্ত্র)	కఙ్గో (ప్రజాతన్త్ర)
সুইজারল্যান্ড	సుఇజారల్యాన్డ
আইভরি কোস্ট	ఆఇభరి కోస్ట
কুক দ্বীপপুঞ্জ	కుక ద్బీపపుఞ్జ
চিলি	చిలి
