Alberta	آلبيرتا
Babia	بابيا
Banská	بانسکا
Bardejov	باردجيوف
Beskidy	بيسکيدي
Bratislava	براچيسلاوا
Báčka	باتشکا
František	فرانچيشيک
Gašpar	گاشپار
Gerlachovka	گيرلاخوفکا
Horská	هورسکا
Hron	هرون
Humenné	هومينّي
Ipel'	ايپيلي
Kolárovo	کولاروو
Komárno	کومارنو
Košice	کوشيتسه
Levice	ليويتسه
Levoca	ليووتسا
Lučenec	لوتشينيتس
Malacky	مالاتسکي
Medzilaborce	ميدزيلابورتسه
Michalovce	ميخالوفتسه
Morava	موراوا
Nitra	نيترا
Nové	نووي
Nízké	نيسکي
Obilninárstvo	اوبيلنينارستوو
Piešt'any	پييشچاني
Poprad	پوپرات
Prešov	پريشوف
Rimavská	ريمافسکا
Rožňava	روژناوا
Ružomberok	روژومبيروک
Sered	سيريت
Slovakia	سلوواکيا
Slovenské	سلووينسکي
Snina	سنينا
Spišská	سپيشسکا
Stará	ستارا
Trebišov	تريبيشوف
Trenčín	ترينتشين
Trnava	ترناوا
Visoké	ويسوکي
Váh	واخ
Xénia	کسينيا
Ypsilón	ايپسيلون
Zvolen	زوولين
cestovateľ	تسيستوواچيلي
chata	خاتا
descholarizácia	دجيسخولاريزاتسيا
ependýmová	ايپينديمووا
etnografické	ايتنوگرافيتسکي
inovačný	اينوواتشني
jododusík	يودودوسيک
kompót	کومپوت
líšná	ليشنا
manažment	ماناژمينت
nemôžem	نيمووژيم
nukleárna	نوکليارنا
okruh	اوکروخ
palác	پالاتس
pancierniček	پانتسييرنيتشيک
reistická	رييسچيتسکا
rádiotechnika	رادجيوچيخنيکا
rčme	رتشمه
sedlický	سيدليتسکي
univerzita	اونيويرزيتا
v Bratislave	و براچيسلاوه
v krčme	ف کرتشمه
v tábore	ف تابوره
vlk	ولک
vokáň	ووکان
vzorkovací	وزورکوواتسي
vzpierač	فسپييراتش
vztrebať	فستريباچ
východ	ويخوت
zmyselnosť	زميسيلنوسچ
zväz	زواس
zámočník	زاموتشنيک
ábore	آبوره
čiernoškvrnný	تشييرنوشکورنّي
čučoriedka	تشوتشورييتکا
Ďurko	دجورکو
Ľadoveň	ليادووين
Šal'a	شاليا
štandardizácia	شتانداردجيزاتسيا
štvorhra	شتوورهرا
Ženská	ژينسکا
Žiar	ژيار
Žilina	ژيلينا
