ሃረሪ	هارري
ሆሣዕና	هوساعنا
ላሊበላ	لاليبلا
ሐረር	هارر
መቀሌ	مكلي
ማይጨው	مايتشأ
ምሁር	مهور
ሞጆ	مودجو
ሮቤ	روبي
ሰመራ	سمرا
ሶማሌ	سومالي
ሶዶ	سودو
ሻሸመኔ	شاشمني
ቢሾፍቱ	بيشوفتو
ባሕር-ዳር	باهر-دار
ትግራይ	تغراي
ትግራይ ክልል	تغراي كلل
ነቀምት	نكمت
አላማጣ	ءلاماتا
አማራ	ءمارا
አምበር	ءمبر
አምቦ	ءمبو
አረቅጥ	ءركت
አርሲ ነገሌ	ءرسي نغلي
አርባ ምንጭ	ءربا منتش
አሶሳ	ءسوسا
አክሱም	ءكسوم
አዋሳ	ءأاسا
አዲስ አበባ	ءديس ءببا
አዲግራት	ءديغرات
አዳማ	ءداما
አድዋ	ءدأا
አጋሮ	ءغارو
አፋር	ءفار
እምድብር	ءمدبر
እንዳስላሴ	ءنداسلاسي
እዣ	ءجا
ኦሮሚያ	ءورومييا
ኪስታኒ	كيستاني
ኮምቦልቻ	كومبولتشا
ወልቂጤ	ألكيتي
ወልዲያ	ألدييا
ይርጋለም	يرغالم
ደሴ	دسي
ደብረ ማርቆስ	دبر ماركوس
ደብረ ብርሃን	دبر برهان
ደገሃቡር	دغهابور
ዲላአገና	ديلاءغنا
ጅማ	دجما
ጅጅጋ	دجدجغا
ጉመር ቡታጂራ	غومر بوتادجيرا
ጋምቤላ	غامبيلا
ጎንደር	غوندر
ፍንፍኔ	فنفني
