# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	ਅਸൻਸ਼ൻ ਦ੍ਵੀਪ੍
അന്റോറ	ਅਨ੍ਰ਼ੇਾਰ਼
യുണൈറ്റഡ് അറബ് എമിറൈറ്റ്‌സ്	ਯੁਣੈਰ਼੍ਰ਼ਡ੍ ਅਰ਼ਬ੍ ਏਮਿਰ਼ੈਰ਼੍ਰ਼੍‌ਸ੍
അഫ്‌ഗാനിസ്ഥാൻ	ਅਫ੍‌ਗਾਨਿਸ੍ਥਾൻ
ആൻറിഗ്വയും ബർബുഡയും	ਆൻਰ਼ਿਗ੍ਵਯੁਂ ਬർਬੁਡਯੁਂ
ആൻഗ്വില്ല	ਆൻਗ੍ਵਿਲ੍ਲ
അൽബേനിയ	ਅൽਬੇਨਿਯ
അർമേനിയ	ਅർਮੇਨਿਯ
അംഗോള	ਅਂਗੇਾਲ
അൻറാർട്ടിക്ക	ਅൻਰ਼ਾർਟ੍ਟਿਕ੍ਕ
അർജൻറീന	ਅർਜൻਰ਼ੀਨ
അമേരിക്കൻ സമോവ	ਅਮੇਰਿਕ੍ਕൻ ਸਮੇਾਵ
ഓസ്ട്രിയ	ਓਸ੍ਟ੍ਰਿਯ
ഓസ്‌ട്രേലിയ	ਓਸ੍‌ਟ੍ਰੇਲਿਯ
അറൂബ	ਅਰ਼ੂਬ
അലൻഡ് ദ്വീപുകൾ	ਅਲൻਡ੍ ਦ੍ਵੀਪੁਕൾ
അസർബൈജാൻ	ਅਸർਬੈਜਾൻ
ബോസ്നിയയും ഹെർസഗോവിനയും	ਬੇਾਸ੍ਨਿਯਯੁਂ ਹੇർਸਗੇਾਵਿਨਯੁਂ
ബാർബഡോസ്	ਬਾർਬਡੇਾਸ੍
ബംഗ്ലാദേശ്	ਬੰਗ੍ਲਾਦੇਸ਼੍
ബെൽജിയം	ਬੇൽਜਿਯੰ
ബുർക്കിനാ ഫാസോ	ਬੁർਕ੍ਕਿਨਾ ਫਾਸੇਾ
ബൾഗേറിയ	ਬൾਗੇਰ਼ਿਯ
ബഹ്റിൻ	ਬਹ੍ਰ਼ਿൻ
ബറുണ്ടി	ਬਰ਼ੁਣ੍ਟਿ
ബെനിൻ	ਬੇਨਿൻ
സെന്റ് ബാർത്തലമി	ਸੇਨ੍ਰ਼੍ ਬਾർਤ੍ਤਲਮਿ
ബർമുഡ	ਬർਮੁਡ
ബ്രൂണൈ	ਬ੍ਰੂਣੈ
ബൊളീവിയ	ਬੇਾਲੀਵਿਯ
ബൊണെയ്ർ, സിന്റ് യുസ്റ്റേഷ്യസ്, സാബ എന്നിവ	ਬੇਾਣੇਯ੍ർ, ਸਿਨ੍ਰ਼੍ ਯੁਸ੍ਰ਼੍ਰ਼ੇਸ਼੍ਯਸ੍, ਸਾਬ ਏਨ੍ਨਿਵ
ബ്രസീൽ	ਬ੍ਰਸੀൽ
ബഹാമാസ്	ਬਹਾਮਾਸ੍
ഭൂട്ടാൻ	ਭੂਟ੍ਟਾൻ
ബൗവെട്ട് ദ്വീപ്	ਬੌਵੇਟ੍ਟ੍ ਦ੍ਵੀਪ੍
ബോട്സ്വാന	ਬੇਾਟ੍ਸ੍ਵਾਨ
ബെലറൂസ്	ਬੇਲਰ਼ੂਸ੍
ബെലീസ്	ਬੇਲੀਸ੍
കാനഡ	ਕਾਨਡ
കോക്കസ് (കീലിംഗ്) ദ്വീപുകൾ	ਕੇਾਕ੍ਕਸ੍ (ਕੀਲਿਂਗ੍) ਦ੍ਵੀਪੁਕൾ
കോംഗോ - കിൻഷാസ	ਕੇਾਂਗੇਾ - ਕਿൻਸ਼ਾਸ
കോംഗോ (DRC)	ਕੇਾਂਗੇਾ (DRC)
സെൻട്രൽ ആഫ്രിക്കൻ റിപ്പബ്ലിക്	ਸੇൻਟ੍ਰൽ ਆਫ੍ਰਿਕ੍ਕൻ ਰ਼ਿਪ੍ਪਬ੍ਲਿਕ੍
കോംഗോ - ബ്രാസവില്ലി	ਕੇਾਂਗੇਾ - ਬ੍ਰਾਸਵਿਲ੍ਲਿ
കോംഗോ (റിപ്പബ്ലിക്ക്)	ਕੇਾਂਗੇਾ (ਰ਼ਿਪ੍ਪਬ੍ਲਿਕ੍ਕ੍)
സ്വിറ്റ്സർലാൻഡ്	ਸ੍ਵਿਰ਼੍ਰ਼੍ਸർਲਾൻਡ੍
കോട്ട് ഡി വാർ	ਕੇਾਟ੍ਟ੍ ਡਿ ਵਾർ
ഐവറി കോസ്റ്റ്	ਐਵਰ਼ਿ ਕੇਾਸ੍ਰ਼੍ਰ਼੍
കുക്ക് ദ്വീപുകൾ	ਕੁਕ੍ਕ੍ ਦ੍ਵੀਪੁਕൾ
ചിലി	ਚਿਲਿ
കാമറൂൺ	ਕਾਮਰ਼ੂൺ
ചൈന	ਚੈਨ
കൊളംബിയ	ਕੇਾਲੰਬਿਯ
ക്ലിപ്പെർട്ടൻ ദ്വീപ്	ਕ੍ਲਿਪ੍ਪੇർਟ੍ਟൻ ਦ੍ਵੀਪ੍
കോസ്റ്ററിക്ക	ਕੇਾਸ੍ਰ਼੍ਰ਼ਰ਼ਿਕ੍ਕ
ക്യൂബ	ਕ੍ਯੂਬ
കേപ്പ് വെർദെ	ਕੇਪ੍ਪ੍ ਵੇർਦੇ
കുറാകാവോ	ਕੁਰ਼ਾਕਾਵੇਾ
ക്രിസ്മസ് ദ്വീപ്	ਕ੍ਰਿਸ੍ਮਸ੍ ਦ੍ਵੀਪ੍
സൈപ്രസ്	ਸੈਪ੍ਰਸ੍
ചെക്ക് റിപ്പബ്ലിക്	ਚੇਕ੍ਕ੍ ਰ਼ਿਪ੍ਪਬ੍ਲਿਕ੍
ജർമനി	ਜർਮਨਿ
