# Territory names from CLDR
அஷன்ஷியன் தீவு	ଅଷନ଼୍ଷିଯନ଼୍ ତୀଵୁ
அன்டோரா	ଅନ଼୍ଟୋରା
ஐக்கிய அரபு எமிரேட்ஸ்	ଐକ୍କିଯ ଅରପୁ ଏମିରେଟ୍ସ୍
ஆப்கானிஸ்தான்	ଆପ୍କାନ଼ିସ୍ତାନ଼୍
ஆண்டிகுவா மற்றும் பார்புடா	ଆଣ୍ଟିକୁଵା ମଡ଼୍ଡ଼ୁମ୍ ପାର୍ପୁଟା
அங்குய்லா	ଅଙ୍କୁଯ୍ଲା
அல்பேனியா	ଅଲ୍ପେନ଼ିଯା
அர்மேனியா	ଅର୍ମେନ଼ିଯା
அங்கோலா	ଅଙ୍କୋଲା
அண்டார்டிகா	ଅଣ୍ଟାର୍ଟିକା
அர்ஜென்டினா	ଅର୍ଜେନ଼୍ଟିନ଼ା
அமெரிக்க சமோவா	ଅମେରିକ୍କ ଚମୋଵା
ஆஸ்திரியா	ଆସ୍ତିରିଯା
ஆஸ்திரேலியா	ଆସ୍ତିରେଲିଯା
அரூபா	ଅରୂପା
ஆலந்து தீவுகள்	ଆଲନ୍ତୁ ତୀଵୁକଳ୍
அசர்பைஜான்	ଅଚର୍ପୈଜାନ଼୍
போஸ்னியா &amp; ஹெர்ஸகோவினா	ପୋସ୍ନ଼ିଯା &amp; ହେର୍ସକୋଵିନ଼ା
பார்படோஸ்	ପାର୍ପଟୋସ୍
பங்களாதேஷ்	ପଙ୍କଳାତେଷ୍
பெல்ஜியம்	ପେଲ୍ଜିଯମ୍
புர்கினா ஃபாஸோ	ପୁର୍କିନ଼ା ଃପାସୋ
பல்கேரியா	ପଲ୍କେରିଯା
பஹ்ரைன்	ପହ୍ରୈନ଼୍
புருண்டி	ପୁରୁଣ୍ଟି
பெனின்	ପେନ଼ିନ଼୍
செயின்ட் பார்தேலெமி	ଚେଯିନ଼୍ଟ୍ ପାର୍ତେଲେମି
பெர்முடா	ପେର୍ମୁଟା
புரூனேய்	ପୁରୂନ଼େଯ୍
பொலிவியா	ପୋଲିଵିଯା
கரீபியன் நெதர்லாந்து	କରୀପିଯନ଼୍ ନେତର୍ଲାନ୍ତୁ
பிரேசில்	ପିରେଚିଲ୍
பஹாமாஸ்	ପହାମାସ୍
பூடான்	ପୂଟାନ଼୍
பொவேட் தீவுகள்	ପୋଵେଟ୍ ତୀଵୁକଳ୍
போட்ஸ்வானா	ପୋଟ୍ସ୍ଵାନ଼ା
பெலாரூஸ்	ପେଲାରୂସ୍
பெலிஸ்	ପେଲିସ୍
கனடா	କନ଼ଟା
கோகோஸ் (கீலிங்) தீவுகள்	କୋକୋସ୍ (କୀଲିଙ୍) ତୀଵୁକଳ୍
காங்கோ - கின்ஷாசா	କାଙ୍କୋ - କିନ଼୍ଷାଚା
காங்கோ (டிஆர்சி)	କାଙ୍କୋ (ଟିଆର୍ଚି)
மத்திய ஆப்ரிக்கக் குடியரசு	ମତ୍ତିଯ ଆପ୍ରିକ୍କକ୍ କୁଟିଯରଚୁ
காங்கோ - ப்ராஸாவில்லே	କାଙ୍କୋ - ପ୍ରାସାଵିଲ୍ଲେ
காங்கோ (குடியரசு)	କାଙ୍କୋ (କୁଟିଯରଚୁ)
ஸ்விட்சர்லாந்து	ସ୍ଵିଟ୍ଚର୍ଲାନ୍ତୁ
கோட் தி’வாயர்	କୋଟ୍ ତି’ଵାଯର୍
