# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ଏସେନ୍ଶନ ଆଇଲେନ୍ଡ
ઍંડોરા	ଏଂଡୋରା
યુનાઇટેડ આરબ અમીરાત	ଯୁନାଇଟେଡ ଆରବ ଅମୀରାତ
અફઘાનિસ્તાન	ଅଫଘାନିସ୍ତାନ
એન્ટીગુઆ અને બર્મુડા	ଏନ୍ଟୀଗୁଆ ଅନେ ବର୍ମୁଡା
ઍંગ્વિલા	ଏଂଗ୍ଵିଲା
અલ્બેનિયા	ଅଲ୍ବେନିଯା
આર્મેનિયા	ଆର୍ମେନିଯା
અંગોલા	ଅଂଗୋଲା
એન્ટાર્કટિકા	ଏନ୍ଟାର୍କଟିକା
આર્જેન્ટીના	ଆର୍ଜେନ୍ଟୀନା
અમેરીકન સમોઆ	ଅମେରୀକନ ସମୋଆ
ઑસ્ટ્રિયા	ଓସ୍ଟ୍ରିଯା
ઑસ્ટ્રેલિયા	ଓସ୍ଟ୍ରେଲିଯା
અરુબા	ଅରୁବା
એલેંડ ટાપુઓ	ଏଲେଂଡ ଟାପୁଓ
અઝરબૈજાન	ଅଝରବୈଜାନ
બોસ્નિયા અને હર્ઝેગોવિના	ବୋସ୍ନିଯା ଅନେ ହର୍ଝେଗୋଵିନା
બાર્બાડોસ	ବାର୍ବାଡୋସ
બાંગ્લાદેશ	ବାଂଗ୍ଲାଦେଶ
બેલ્જીયમ	ବେଲ୍ଜୀଯମ
બુર્કિના ફાસો	ବୁର୍କିନା ଫାସୋ
બલ્ગેરિયા	ବଲ୍ଗେରିଯା
બેહરીન	ବେହରୀନ
બુરુંડી	ବୁରୁଂଡୀ
બેનિન	ବେନିନ
સેન્ટ બાર્થેલેમી	ସେନ୍ଟ ବାର୍ଥେଲେମୀ
બર્મુડા	ବର୍ମୁଡା
બ્રુનેઇ	ବ୍ରୁନେଇ
બોલિવિયા	ବୋଲିଵିଯା
કેરેબિયન નેધરલેન્ડ્ઝ	କେରେବିଯନ ନେଧରଲେନ୍ଡ୍ଝ
બ્રાઝિલ	ବ୍ରାଝିଲ
બહામાસ	ବହାମାସ
ભૂટાન	ଭୂଟାନ
બૌવેત આઇલેન્ડ	ବୌଵେତ ଆଇଲେନ୍ଡ
બોત્સ્વાના	ବୋତ୍ସ୍ଵାନା
બેલારુસ	ବେଲାରୁସ
બેલીઝ	ବେଲୀଝ
કેનેડા	କେନେଡା
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	କୋକୋଝ (କୀଲୀଂଗ) ଆଇଲେନ୍ଡ୍ସ
કોંગો - કિંશાસા	କୋଂଗୋ - କିଂଶାସା
કોંગો (ડીઆરસી)	କୋଂଗୋ (ଡୀଆରସୀ)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	ସେନ୍ଟ୍ରଲ ଆଫ୍ରିକନ ରୀପବ୍ଲିକ
કોંગો - બ્રાઝાવિલે	କୋଂଗୋ - ବ୍ରାଝାଵିଲେ
કોંગો (પ્રજાસત્તાક)	କୋଂଗୋ (ପ୍ରଜାସତ୍ତାକ)
સ્વિટ્ઝર્લૅન્ડ	ସ୍ଵିଟ୍ଝର୍ଲେନ୍ଡ
કોટ ડી આઇવરી	କୋଟ ଡୀ ଆଇଵରୀ
