# Territory names from CLDR
ఎసెషన్ దీవి	ऎसॆषन् दीवि
అండొర్రా	अंडॊर्रा
యునైటెడ్ అరబ్ ఎమిరేట్స్	युनैटॆड् अरब् ऎमिरेट्स्
ఆఫ్ఘనిస్తాన్	आफ्घनिस्तान्
ఆంటిగ్వా మరియు బార్బుడా	आंटिग्वा मरियु बार्बुडा
ఆంగవిల్లా	आंगविल्ला
అల్బేనియా	अल्बेनिया
ఆర్మేనియా	आर्मेनिया
అంగోలా	अंगोला
అంటార్కటికా	अंटार्कटिका
అర్జెంటీనా	अर्जॆंटीना
అమెరికన్ సమోవా	अमॆरिकन् समोवा
ఆస్ట్రియా	आस्ट्रिया
ఆస్ట్రేలియా	आस्ट्रेलिया
అరుబా	अरुबा
ఆలేండ్ దీవులు	आलेंड् दीवुलु
అజర్బైజాన్	अजर्बैजान्
బోస్నియా మరియు హెర్జెగొవీనా	बोस्निया मरियु हॆर्जॆगॊवीना
బార్బడోస్	बार्बडोस्
బంగ్లాదేశ్	बंग्लादेश्
బెల్జియం	बॆल्जियं
బుర్కినా ఫాసో	बुर्किना फासो
బల్గేరియా	बल्गेरिया
బహ్రెయిన్	बह्रॆयिन्
బురుండి	बुरुंडि
బెనిన్	बॆनिन्
సెంట్ బర్తేలెమీ	सॆंट् बर्तेलॆमी
బెర్ముడా	बॆर्मुडा
బ్రూనై	ब्रूनै
బొలీవియా	बॊलीविया
కరీబియన్ నెదర్లాండ్స్	करीबियन् नॆदर्लांड्स्
బ్రెజిల్	ब्रॆजिल्
బహామాస్	बहामास्
భూటాన్	भूटान्
బొవెట్ దీవి	बॊवॆट् दीवि
బోట్స్వానా	बोट्स्वाना
బెలారస్	बॆलारस्
బెలిజ్	बॆलिज्
కెనడా	कॆनडा
కోకోస్ (కీలింగ్) దీవులు	कोकोस् (कीलिंग्) दीवुलु
కాంగో- కిన్షాసా	कांगो- किन्षासा
కాంగో (DRC)	कांगो (DRC)
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	सॆंट्रल् आफ्रिकन् रिपब्लिक्
కాంగో- బ్రాజావిల్లి	कांगो- ब्राजाविल्लि
కాంగో (రిపబ్లిక్)	कांगो (रिपब्लिक्)
స్విట్జర్లాండ్	स्विट्जर्लांड्
ఐవరీ కోస్ట్	ऐवरी कोस्ट्
కుక్ దీవులు	कुक् दीवुलु
చిలీ	चिली
కామెరూన్	कामॆरून्
చైనా	चैना
కొలంబియా	कॊलंबिया
క్లిప్పర్టన్ దీవి	क्लिप्पर्टन् दीवि
కోస్టా రికా	कोस्टा रिका
క్యూబా	क्यूबा
కేప్ వెర్డే	केप् वॆर्डे
కురాకవో	कुराकवो
క్రిస్మస్ దీవి	क्रिस्मस् दीवि
సైప్రస్	सैप्रस्
చెక్ రిపబ్లిక్	चॆक् रिपब्लिक्
జర్మనీ	जर्मनी
డియాగో గార్సియా	डियागो गार्सिया
జిబౌటి	जिबौटि
డెన్మార్క్	डॆन्मार्क्
డోమెనిక	डोमॆनिक
డొమెనికన్ రిపబ్లిక్	डॊमॆनिकन् रिपब्लिक्
అల్జీరియా	अल्जीरिया
స్యూటా మరియు మెలిల్లా	स्यूटा मरियु मॆलिल्ला
ఈక్వడార్	ईक्वडार्
ఎస్టోనియా	ऎस्टोनिया
ఈజిప్ట్	ईजिप्ट्
పడమటి సహారా	पडमटि सहारा
ఎరిట్రియా	ऎरिट्रिया
స్పెయిన్	स्पॆयिन्
ఇథియోపియా	इथियोपिया
యురోపియన్ యునియన్	युरोपियन् युनियन्
ఫిన్లాండ్	फिन्लांड्
ఫిజీ	फिजी
ఫాక్‌ల్యాండ్ దీవులు	फाक्‌ल्यांड् दीवुलु
ఫాక్‌ల్యాండ్ దీవులు (ఇస్లాస్ మాల్వినాస్)	फाक्‌ल्यांड् दीवुलु (इस्लास् माल्विनास्)
మైక్రోనేశియ	मैक्रोनेशिय
ఫారో దీవులు	फारो दीवुलु
ఫ్రాన్స్‌	फ्रान्स्‌
గాబన్	गाबन्
యునైటెడ్ కింగ్‌డమ్	युनैटॆड् किंग्‌डम्
గ్రెనెడా	ग्रॆनॆडा
జార్జియా	जार्जिया
