# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	asenśan dvīpa
ಅಂಡೋರಾ	aṇḍōrā
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	sanyukta arab emirēṭas
ಅಫಘಾನಿಸ್ಥಾನ್	aphaghānisthān
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	āṇṭiguvā mattu barbuḍā
ಆಂಗುಯಿಲ್ಲಾ	āṅguyillā
ಅಲ್ಬೇನಿಯಾ	albēniyā
ಅರ್ಮೇನಿಯಾ	armēniyā
ಅಂಗೋಲಾ	aṅgōlā
ಅಂಟಾರ್ಟಿಕಾ	aṇṭārṭikā
ಅರ್ಜೆಂಟಿನಾ	arjeṇṭinā
ಅಮೇರಿಕನ್ ಸಮೋವಾ	amērikan samōvā
ಆಸ್ಟ್ರಿಯಾ	āsṭriyā
ಆಸ್ಟ್ರೇಲಿಯ	āsṭrēliya
ಅರುಬಾ	arubā
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ālyāṇḍ dvīpagaḷu
ಅಜರ್ಬೈಜಾನ್	ajarbaijān
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	bōsniyā mattu harjegōvinā
ಬಾರ್ಬಡೋಸ್	bārbaḍōs
ಬಾಂಗ್ಲಾದೇಶ್	bāṅglādēś
ಬೆಲ್ಜಿಯಮ್	beljiyam
ಬುರ್ಕಿನಾ ಫಾಸೋ	burkinā phāsō
ಬಲ್ಗೇರಿಯಾ	balgēriyā
ಬಹರೈನ್	baharain
ಬುರುಂಡಿ	buruṇḍi
ಬೆನಿನ್	benin
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	sēṇṭ bārthelemi
ಬರ್ಮುಡಾ	barmuḍā
ಬ್ರೂನಿ	brūni
ಬೊಲಿವಿಯಾ	boliviyā
ಕೆರೀಬಿಯನ್ ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	kerībiyan nedar‌lyāṇḍs
ಬ್ರೆಜಿಲ್	brejil
ಬಹಾಮಾಸ್	bahāmās
ಭೂತಾನ್	bhūtān
ಬೋವೆಟ್ ದ್ವೀಪ	bōveṭ dvīpa
ಬೋಟ್ಸ್‌ವಾನಾ	bōṭs‌vānā
ಬೆಲಾರಸ್	belāras
ಬೆಲಿಜ್	belij
ಕೆನಡಾ	kenaḍā
ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು	kokos (kīliṅg) dvīpagaḷu
ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ	kāṅgō - kinśāsā
ಕಾಂಗೋ (DRC)	kāṅgō (DRC)
ಮಧ್ಯ ಆಫ್ರಿಕಾ ಗಣರಾಜ್ಯ	madhya āphrikā gaṇarājya
ಕಾಂಗೋ - ಬ್ರಾಜಾವಿಲ್ಲೇ	kāṅgō - brājāvillē
ಕಾಂಗೋ (ಗಣರಾಜ್ಯ)	kāṅgō (gaṇarājya)
ಸ್ವಿಟ್ಜರ್ಲ್ಯಾಂಡ್	sviṭjarlyāṇḍ
ಕೋತ್‌ ದಿವಾರ್‍	kōt‌ divār‍
ಐವರಿ ಕೋಸ್ಟ್	aivari kōsṭ
ಕುಕ್ ದ್ವೀಪಗಳು	kuk dvīpagaḷu
ಚಿಲಿ	cili
ಕ್ಯಾಮರೋನ್	kyāmarōn
ಚೀನಾ	cīnā
ಕೊಲಂಬಿಯಾ	kolambiyā
