# Territory names from CLDR
ଆଣ୍ଡୋରା	आण्डोरा
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	संयुक्त आरब एमिरेटस्
ଆଫାଗାନିସ୍ତାନ୍	आफागानिस्तान्
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	आण्टिगुआ एबं बारबुदा
ଆଙ୍ଗୁଇଲ୍ଲା	आङ्गुइल्ला
ଆଲବାନିଆ	आलबानिआ
ଆର୍ମେନିଆ	आर्मेनिआ
ଆଙ୍ଗୋଲା	आङ्गोला
ଆର୍ଣ୍ଟକଟିକା	आर्ण्टकटिका
ଆର୍ଜେଣ୍ଟିନା	आर्जेण्टिना
ଆମେରିକାନ୍ ସାମୋଆ	आमेरिकान् सामोआ
ଅଷ୍ଟ୍ରିଆ	अष्ट्रिआ
ଅଷ୍ଟ୍ରେଲିଆ	अष्ट्रेलिआ
ଆରୁବା	आरुबा
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	आलाण्ड आइसल्य़ाण्ड
ଆଜେରବାଇଜାନ୍	आजेरबाइजान्
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	बोसनिआ एबं हर्जगोभिना
ବାରବାଡୋସ୍	बारबाडोस्
ବାଙ୍ଗଲାଦେଶ୍	बाङ्गलादेश्
ବେଲଜିୟମ୍	बेलजिय़म्
ବୁର୍କିନୋ ଫାସୋ	बुर्किनो फासो
ବୁଲଗେରିଆ	बुलगेरिआ
ବାହାରିନ୍	बाहारिन्
ବୁରୁନ୍ଦି	बुरुन्दि
ବେନିନ୍	बेनिन्
ସେଣ୍ଟ ବାର୍ଥେଲେମି	सेण्ट बार्थेलेमि
ବରମୁଡା	बरमुडा
ବ୍ରୁନେଇ	ब्रुनेइ
ବୋଲଭିଆ	बोलभिआ
ବ୍ରାଜିଲ୍	ब्राजिल्
ବାହାମାସ୍	बाहामास्
ଭୁଟାନ୍	भुटान्
