ကနီမြို့	كنيميو
ကနောင်မြို့	كناونغميو
ကန့်ဘလူမြို့	كانغبلوميو
ကန်ကြီးဒေါင့်မြို့	كانغتشيداونغميو
ကန်ပက်လက်မြို့	كانغبألأميو
ကမမောင်းမြို့	كمماونغميو
ကရသူရိမြို့	كيثويميو
ကလိန်အောင်မြို့	كليينغأونغميو
ကလောမြို့	كلوميو
ကလေးမြို့	كليميو
ကလေးဝမြို့	كليأميو
ကဝမြို့	كأميو
ကသာမြို့	كثاميو
ကာမိုင်းမြို့	كاماينغميو
ကိုကိုးကျွန်းမြို့	كوكوتشونغميو
ကုန်းကြမ်းမြို့	كوونغتشانغميو
ကောလင်းမြို့	كولينغميو
ကော့ကရိတ်မြို့	كوكيئميو
ကော့မှူးမြို့	كوموميو
ကော့သောင်းမြို့	كوثاونغميو
ကံမမြို့	كانغمميو
ကျိန္တလီမြို့	تشيينغتليميو
ကျိုက္ခမီမြို့	تشائكميميو
ကျိုက်ထိုမြို့	تشائتوميو
ကျိုက်ဒုံမြို့	تشائدوونغميو
ကျိုက်မရောမြို့	تشائميوميو
ကျိုက်လတ်မြို့	تشائلأميو
ကျိုင်းတုံမြို့	تشاينغتوونغميو
ကျိုင်းတောင်းမြို့	تشاينغتاونغميو
ကျိုင်းလပ်မြို့	تشاينغلأميو
ကျီခါးမြို့	تشيكاميو
ကျုံဒိုးမြို့	تشوونغدوميو
ကျုံပျော်မြို့	تشوونغبيوميو
ကျောက်ကြီးမြို့	تشاؤتشيميو
ကျောက်ဆည်မြို့	تشاؤساميو
ကျောက်တစ်လုံးကြီးမြို့	تشاؤتئلوونغتشيميو
ကျောက်တန်းမြို့	تشاؤتانغميو
ကျောက်တော်မြို့	تشاؤتوميو
ကျောက်တံခါးမြို့	تشاؤتانغكاميو
ကျောက်ထုမြို့	تشاؤتوميو
ကျောက်ပန်းတောင်းမြို့	تشاؤبانغتاونغميو
ကျောက်ဖြူမြို့	تشاؤبيوميو
ကျောက်မဲမြို့	تشاؤماميو
ကျောင်းကုန်းမြို့	تشاونغكوونغميو
ကျေးသီးမြို့	تشيثيميو
ကျွန်းစုမြို့	تشونغسوميو
ကျွန်းလှမြို့	تشونغلميو
ကြာအင်းဆိပ်ကြီးမြို့	تشاإِنغسيئتشيميو
