# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ఏసేన్శన ఆఇలేన్డ
ઍંડોરા	ఎండోరా
યુનાઇટેડ આરબ અમીરાત	యునాఇటేడ ఆరబ అమీరాత
અફઘાનિસ્તાન	అఫఘానిస్తాన
એન્ટીગુઆ અને બર્મુડા	ఏన్టీగుఆ అనే బర్ముడా
ઍંગ્વિલા	ఎంగ్విలా
અલ્બેનિયા	అల్బేనియా
આર્મેનિયા	ఆర్మేనియా
અંગોલા	అంగోలా
એન્ટાર્કટિકા	ఏన్టార్కటికా
આર્જેન્ટીના	ఆర్జేన్టీనా
અમેરીકન સમોઆ	అమేరీకన సమోఆ
ઑસ્ટ્રિયા	ఒస్ట్రియా
ઑસ્ટ્રેલિયા	ఒస్ట్రేలియా
અરુબા	అరుబా
એલેંડ ટાપુઓ	ఏలేండ టాపుఓ
અઝરબૈજાન	అఝరబైజాన
બોસ્નિયા અને હર્ઝેગોવિના	బోస్నియా అనే హర్ఝేగోవినా
બાર્બાડોસ	బార్బాడోస
બાંગ્લાદેશ	బాంగ్లాదేశ
બેલ્જીયમ	బేల్జీయమ
બુર્કિના ફાસો	బుర్కినా ఫాసో
બલ્ગેરિયા	బల్గేరియా
બેહરીન	బేహరీన
બુરુંડી	బురుండీ
બેનિન	బేనిన
સેન્ટ બાર્થેલેમી	సేన్ట బార్థేలేమీ
બર્મુડા	బర్ముడా
બ્રુનેઇ	బ్రునేఇ
બોલિવિયા	బోలివియా
કેરેબિયન નેધરલેન્ડ્ઝ	కేరేబియన నేధరలేన్డ్ఝ
બ્રાઝિલ	బ్రాఝిల
બહામાસ	బహామాస
ભૂટાન	భూటాన
બૌવેત આઇલેન્ડ	బౌవేత ఆఇలేన్డ
બોત્સ્વાના	బోత్స్వానా
બેલારુસ	బేలారుస
બેલીઝ	బేలీఝ
કેનેડા	కేనేడా
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	కోకోఝ (కీలీంగ) ఆఇలేన్డ్స
કોંગો - કિંશાસા	కోంగో - కింశాసా
કોંગો (ડીઆરસી)	కోంగో (డీఆరసీ)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	సేన్ట్రల ఆఫ్రికన రీపబ్లిక
કોંગો - બ્રાઝાવિલે	కోంగో - బ్రాఝావిలే
કોંગો (પ્રજાસત્તાક)	కోంగో (ప్రజాసత్తాక)
સ્વિટ્ઝર્લૅન્ડ	స్విట్ఝర్లెన్డ
કોટ ડી આઇવરી	కోట డీ ఆఇవరీ
આઇવરી કોસ્ટ	ఆఇవరీ కోస్ట
કુક આઇલેન્ડ્સ	కుక ఆఇలేన్డ్స
ચિલી	చిలీ
કૅમરૂન	కెమరూన
ચીન	చీన
કોલમ્બિયા	కోలమ్బియా
ક્લિપરટન આઇલેન્ડ	క్లిపరటన ఆఇలేన్డ
કોસ્ટા રિકા	కోస్టా రికా
ક્યુબા	క్యుబా
