# Territory names from CLDR
असेंशन द्वीप	ਅਸੇਂਸ਼ਨ ਦ੍ਵੀਪ
एंडोरा	ਏਂਡੋਰਾ
संयुक्त अरब अमीरात	ਸੰਯੁਕ੍ਤ ਅਰਬ ਅਮੀਰਾਤ
अफ़गानिस्तान	ਅਫ਼ਗਾਨਿਸ੍ਤਾਨ
एंटिगुआ और बरबुडा	ਏਂਟਿਗੁਆ ਔਰ ਬਰਬੁਡਾ
एंग्विला	ਏਂਗ੍ਵਿਲਾ
अल्बानिया	ਅਲ੍ਬਾਨਿਯਾ
आर्मेनिया	ਆਰ੍ਮੇਨਿਯਾ
अंगोला	ਅਂਗੋਲਾ
अंटार्कटिका	ਅਂਟਾਰ੍ਕਟਿਕਾ
अर्जेंटीना	ਅਰ੍ਜੇਂਟੀਨਾ
अमेरिकी समोआ	ਅਮੇਰਿਕੀ ਸਮੋਆ
ऑस्ट्रिया	ਓਸ੍ਟ੍ਰਿਯਾ
ऑस्ट्रेलिया	ਓਸ੍ਟ੍ਰੇਲਿਯਾ
अरूबा	ਅਰੂਬਾ
एलैंड द्वीपसमूह	ਏਲੈਂਡ ਦ੍ਵੀਪਸਮੂਹ
अज़रबैजान	ਅਜ਼ਰਬੈਜਾਨ
बोस्निया और हर्ज़ेगोविना	ਬੋਸ੍ਨਿਯਾ ਔਰ ਹਰ੍ਜ਼ੇਗੋਵਿਨਾ
बारबाडोस	ਬਾਰਬਾਡੋਸ
बांग्लादेश	ਬਾਂਗ੍ਲਾਦੇਸ਼
बेल्जियम	ਬੇਲ੍ਜਿਯਮ
बुर्किना फ़ासो	ਬੁਰ੍ਕਿਨਾ ਫ਼ਾਸੋ
बुल्गारिया	ਬੁਲ੍ਗਾਰਿਯਾ
बहरीन	ਬਹਰੀਨ
बुरुंडी	ਬੁਰੁਂਡੀ
बेनिन	ਬੇਨਿਨ
सेंट बार्थेलेमी	ਸੇਂਟ ਬਾਰ੍ਥੇਲੇਮੀ
बरमूडा	ਬਰਮੂਡਾ
ब्रूनेई	ਬ੍ਰੂਨੇਈ
बोलीविया	ਬੋਲੀਵਿਯਾ
कैरिबियन नीदरलैंड	ਕੈਰਿਬਿਯਨ ਨੀਦਰਲੈਂਡ
ब्राज़ील	ਬ੍ਰਾਜ਼ੀਲ
बहामास	ਬਹਾਮਾਸ
भूटान	ਭੂਟਾਨ
बोवेत द्वीप	ਬੋਵੇਤ ਦ੍ਵੀਪ
बोत्स्वाना	ਬੋਤ੍ਸ੍ਵਾਨਾ
बेलारूस	ਬੇਲਾਰੂਸ
बेलीज़	ਬੇਲੀਜ਼
कनाडा	ਕਨਾਡਾ
कोकोस (कीलिंग) द्वीपसमूह	ਕੋਕੋਸ (ਕੀਲਿਂਗ) ਦ੍ਵੀਪਸਮੂਹ
कांगो - किंशासा	ਕਾਂਗੋ - ਕਿਂਸ਼ਾਸਾ
कांगो (डीआरसी)	ਕਾਂਗੋ (ਡੀਆਰਸੀ)
मध्य अफ़्रीकी गणराज्य	ਮਧ੍ਯ ਅਫ਼੍ਰੀਕੀ ਗਣਰਾਜ੍ਯ
कांगो – ब्राज़ाविल	ਕਾਂਗੋ – ਬ੍ਰਾਜ਼ਾਵਿਲ
कांगो (गणराज्य)	ਕਾਂਗੋ (ਗਣਰਾਜ੍ਯ)
स्विट्ज़रलैंड	ਸ੍ਵਿਟ੍ਜ਼ਰਲੈਂਡ
कोट डी आइवर	ਕੋਟ ਡੀ ਆਇਵਰ
आइवरी कोस्ट	ਆਇਵਰੀ ਕੋਸ੍ਟ
कुक द्वीपसमूह	ਕੁਕ ਦ੍ਵੀਪਸਮੂਹ
चिली	ਚਿਲੀ
कैमरून	ਕੈਮਰੂਨ
चीन	ਚੀਨ
कोलंबिया	ਕੋਲੰਬਿਯਾ
क्लिपर्टन द्वीप	ਕ੍ਲਿਪਰ੍ਟਨ ਦ੍ਵੀਪ
कोस्टारिका	ਕੋਸ੍ਟਾਰਿਕਾ
क्यूबा	ਕ੍ਯੂਬਾ
केप वर्ड	ਕੇਪ ਵਰ੍ਡ
क्यूरासाओ	ਕ੍ਯੂਰਾਸਾਓ
क्रिसमस द्वीप	ਕ੍ਰਿਸਮਸ ਦ੍ਵੀਪ
साइप्रस	ਸਾਇਪ੍ਰਸ
चेक गणराज्य	ਚੇਕ ਗਣਰਾਜ੍ਯ
जर्मनी	ਜਰ੍ਮਨੀ
डिएगो गार्सिया	ਡਿਏਗੋ ਗਾਰ੍ਸਿਯਾ
जिबूती	ਜਿਬੂਤੀ
डेनमार्क	ਡੇਨਮਾਰ੍ਕ
डोमिनिका	ਡੋਮਿਨਿਕਾ
डोमिनिकन गणराज्य	ਡੋਮਿਨਿਕਨ ਗਣਰਾਜ੍ਯ
अल्जीरिया	ਅਲ੍ਜੀਰਿਯਾ
सेउटा और मेलिला	ਸੇਉਟਾ ਔਰ ਮੇਲਿਲਾ
इक्वाडोर	ਇਕ੍ਵਾਡੋਰ
एस्टोनिया	ਏਸ੍ਟੋਨਿਯਾ
मिस्र	ਮਿਸ੍ਰ
