Abelo	آبيلو
Artikoloj	آرتيکولوي
Bakterioj	باکتيريوي
Barato	باراتو
Beziero	بيزييرو
Biologia	بيولوگيا
Biologio	بيولوگيو
Celsiuso	تسيلسيوسو
Daŭro	داورو
Dum	دوم
Eble	ايبله
Ekzemple	ايکزيمپله
Feniciaj	فينيتسياي
Fojfoje	فويفويا
Germanio	گيرمانيو
Glukozo	گلوکوزو
Gvineo	گوينيو
Hemoglobino	هيموگلوبينو
Heredaĵo	هيريداژو
Historio	هيستوريو
Ilia	ايليا
Inter	اينتير
Jakobo	ياکوبو
Kaj	کاي
Kazeino	کازيينو
Kelkaj	کيلکاي
Kelkfoje	کيلکفويا
Kiam	کيام
Koloroj	کولوروي
Kompare	کومپاره
Krom	کروم
Kurbo	کوربو
Lakto	لاکتو
Laŭ	لاو
Lia	ليا
Lumo	لومو
Malsimile	مالسيميله
Manĝu	ماندژو
Mediteraneo	ميديتيرانيو
Mezepoko	ميزيپوکو
Mielo	مييلو
Mikroorganismoj	ميکروورگانيسموي
Motelo	موتيلو
Moteloj	موتيلوي
Multaj	مولتاي
Muttermilch	موتتيرميلتسه
Neseksa	نيسيکسا
Nov	نوو
Nuntempe	نونتيمپه
Oni	اوني
Organizaĵo	اورگانيزاژو
Oĝalan'	اودژالان
Patrina	پاترينا
Paul	پاول
Per	پير
Pierre	پييرره
Pli	پلي
Plie	پليه
Por	پور
Poste	پوسته
Precipe	پريتسيپه
Priskribo	پريسکريبو
Prokarioto	پروکاريوتو
Proteino	پروتيينو
Radiositeo	راديوسيتيو
Referencoj	ريفيرينتسوي
Samtempe	سامتيمپه
Sano	سانو
Sekve	سيکوه
Sepdek	سيپديک
Simbolismo	سيمبوليسمو
Simile	سيميله
Studkampoj	ستودکامپوي
Subkonscio	سوبکونستسيو
Sur	سور
Svingodanco	سوينگودانتسو
Talpa	تالپا
Tamen	تامين
Temas	تيماس
Tiu	تيو
Tiuj	تيوي
Transportante	ترانسپورتانته
Tre	تره
Unu	اونو
Uzado	اوزادو
Vakso	واکسو
Vektora	ويکتورا
Vidu	ويدو
Vintre	وينتره
alkoholo	آلکوهولو
aperintaj	آپيرينتاي
bata	باتا
batanto	باتانتو
bestaj	بيستاي
besto	بيستو
bildigo	بيلديگو
bildon	بيلدون
blanka	بلانکا
blankiginte	بلانکيگينته
bloko	بلوکو
bova	بووا
bovino	بووينو
branĉoj	برانتشوي
brazila	برازيلا
bruna	برونا
buterlakton	بوتيرلاکتون
buteron	بوتيرون
casa	تساسا
celoj	تسيلوي
centprocente	تسينتپروتسينته
cifereca	تسيفيريتسا
cisterna	تسيستيرنا
curve	تسوروه
dancistinon	دانتسيستينون
danco	دانتسو
deakvigo	دياکويگو
depona	ديپونا
disfalos	ديسفالوس
distancon	ديستانتسون
do	دو
domon	دومون
du	دو
duoninsulon	دوونينسولون
edzo	ايدزو
enzimojn	اينزيموين
eĝaj	ايدژاي
faligi	فاليگي
famili’	فاميلي
faritaj	فاريتاي
fermentataj	فيرمينتاتاي
feron	فيرون
fidindeco	فيدينديتسو
fizikajn	فيزيکاين
flanke	فلانکه
flankoj	فلانکوي
florantaj	فلورانتاي
florpoleno	فلورپولينو
fluetigita	فلويتيگيتا
flugante	فلوگانته
fosas	فوساس
fosforo	فوسفورو
franca	فرانتسا
fratinoj	فراتينوي
freŝe	فريشه
fromaĝon	فرومادژون
frostaj	فروستاي
frukto	فروکتو
fruktozo	فروکتوزو
funkcio	فونکتسيو
furaĝ	فورادژ
gardi	گاردي
gasojn	گاسوين
gelato	گيلاتو
genetikan	گينيتيکان
glandoj	گلاندوي
glukozo	گلوکوزو
grasumo	گراسومو
gravega	گراويگا
grekaj	گريکاي
grumas	گروماس
grundo	گروندو
gustadon	گوستادون
gusto	گوستو
havi	هاوي
havus	هاووس
helflava	هيلفلاوا
hemoglobino	هيموگلوبينو
hidrogeno	هيدروگينو
histojn	هيستوين
homan	هومان
hotelo	هوتيلو
humido	هوميدو
informa	اينفورما
insektoj	اينسيکتوي
jarcento	يارتسينتو
jaroj	ياروي
je	ي
jodo	يودو
jogurton	يوگورتون
ju	يو
junaj	يوناي
kalkulo	کالکولو
kaprino	کاپرينو
ke	که
kelkfoje	کيلکفويا
kiam	کيام
kies	کييس
kloroplastoj	کلوروپلاستوي
konservebla	کونسيرويبلا
kovrataj	کووراتاي
kreas	کرياس
kreskoŝancon	کريسکوشانتسون
kriket	کريکيت
