# Territory names from CLDR
એસેન્શન આઇલેન્ડ	एसेन्शन आइलेन्ड
ઍંડોરા	ऍंडोरा
યુનાઇટેડ આરબ અમીરાત	युनाइटेड आरब अमीरात
અફઘાનિસ્તાન	अफघानिस्तान
એન્ટીગુઆ અને બર્મુડા	एन्टीगुआ अने बर्मुडा
ઍંગ્વિલા	ऍंग्विला
અલ્બેનિયા	अल्बेनिया
આર્મેનિયા	आर्मेनिया
અંગોલા	अंगोला
એન્ટાર્કટિકા	एन्टार्कटिका
આર્જેન્ટીના	आर्जेन्टीना
અમેરીકન સમોઆ	अमेरीकन समोआ
ઑસ્ટ્રિયા	ऑस्ट्रिया
ઑસ્ટ્રેલિયા	ऑस्ट्रेलिया
અરુબા	अरुबा
એલેંડ ટાપુઓ	एलेंड टापुओ
અઝરબૈજાન	अझरबैजान
બોસ્નિયા અને હર્ઝેગોવિના	बोस्निया अने हर्झेगोविना
બાર્બાડોસ	बार्बाडोस
બાંગ્લાદેશ	बांग्लादेश
બેલ્જીયમ	बेल्जीयम
બુર્કિના ફાસો	बुर्किना फासो
બલ્ગેરિયા	बल्गेरिया
બેહરીન	बेहरीन
બુરુંડી	बुरुंडी
બેનિન	बेनिन
સેન્ટ બાર્થેલેમી	सेन्ट बार्थेलेमी
બર્મુડા	बर्मुडा
બ્રુનેઇ	ब्रुनेइ
બોલિવિયા	बोलिविया
કેરેબિયન નેધરલેન્ડ્ઝ	केरेबियन नेधरलेन्ड्झ
બ્રાઝિલ	ब्राझिल
બહામાસ	बहामास
ભૂટાન	भूटान
બૌવેત આઇલેન્ડ	बौवेत आइलेन्ड
બોત્સ્વાના	बोत्स्वाना
બેલારુસ	बेलारुस
બેલીઝ	बेलीझ
કેનેડા	केनेडा
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	कोकोझ (कीलींग) आइलेन्ड्स
કોંગો - કિંશાસા	कोंगो - किंशासा
કોંગો (ડીઆરસી)	कोंगो (डीआरसी)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	सेन्ट्रल आफ्रिकन रीपब्लिक
કોંગો - બ્રાઝાવિલે	कोंगो - ब्राझाविले
કોંગો (પ્રજાસત્તાક)	कोंगो (प्रजासत्ताक)
સ્વિટ્ઝર્લૅન્ડ	स्विट्झर्लॅन्ड
કોટ ડી આઇવરી	कोट डी आइवरी
આઇવરી કોસ્ટ	आइवरी कोस्ट
કુક આઇલેન્ડ્સ	कुक आइलेन्ड्स
ચિલી	चिली
કૅમરૂન	कॅमरून
ચીન	चीन
કોલમ્બિયા	कोलम्बिया
ક્લિપરટન આઇલેન્ડ	क्लिपरटन आइलेन्ड
કોસ્ટા રિકા	कोस्टा रिका
ક્યુબા	क्युबा
કૅપ વર્ડે	कॅप वर्डे
કુરાકાઓ	कुराकाओ
ક્રિસમસ આઇલેન્ડ	क्रिसमस आइलेन्ड
સાયપ્રસ	सायप्रस
ચેક રીપબ્લિક	चेक रीपब्लिक
જર્મની	जर्मनी
ડિએગો ગારસિઆ	डिएगो गारसिआ
જીબૌટી	जीबौटी
ડેનમાર્ક	डेनमार्क
ડોમિનિકા	डोमिनिका
ડોમિનિકન રીપબ્લિક	डोमिनिकन रीपब्लिक
અલ્જીરિયા	अल्जीरिया
સ્યુટા અને મેલિલા	स्युटा अने मेलिला
એક્વાડોર	एक्वाडोर
એસ્ટોનિયા	एस्टोनिया
ઇજિપ્ત	इजिप्त
પશ્ચિમી સહારા	पश्चिमी सहारा
એરિટ્રિયા	एरिट्रिया
સ્પેન	स्पेन
ઇથિઓપિયા	इथिओपिया
યુરોપિયન સંઘ	युरोपियन संघ
ફિનલેન્ડ	फिनलेन्ड
ફીજી	फीजी
ફૉકલેન્ડ ટાપુઓ	फॉकलेन्ड टापुओ
ફૉકલેન્ડ ટાપુઓ (ઇસ્લાસ માલવિનસ)	फॉकलेन्ड टापुओ (इस्लास मालविनस)
માઇક્રોનેશિયા	माइक्रोनेशिया
ફૅરો ટાપુઓ	फॅरो टापुओ
ફ્રાંસ	फ्रांस
ગેબન	गेबन
યુનાઇટેડ કિંગડમ	युनाइटेड किंगडम
ગ્રેનેડા	ग्रेनेडा
જ્યોર્જીયા	ज्योर्जीया
ફ્રેંચ ગયાના	फ्रेंच गयाना
ગ્વેર્નસે	ग्वेर्नसे
ઘાના	घाना
જીબ્રાલ્ટર	जीब्राल्टर
ગ્રીનલેન્ડ	ग्रीनलेन्ड
ગેમ્બિયા	गेम्बिया
ગિની	गिनी
ગ્વાડેલોપ	ग्वाडेलोप
ઇક્વેટોરિયલ ગિની	इक्वेटोरियल गिनी
ગ્રીસ	ग्रीस
દક્ષિણ જ્યોર્જીયા અને દક્ષિણ સેન્ડવિચ આઇલેન્ડ્સ	दक्षिण ज्योर्जीया अने दक्षिण सेन्डविच आइलेन्ड्स
ગ્વાટેમાલા	ग्वाटेमाला
ગ્વામ	ग्वाम
ગિની-બિસાઉ	गिनी-बिसाउ
ગયાના	गयाना
હોંગકોંગ SAR ચીન	होंगकोंग SAR चीन
હોંગ કોંગ	होंग कोंग
હર્ડ અને મેકડોનાલ્ડ આઇલેન્ડ્સ	हर्ड अने मेकडोनाल्ड आइलेन्ड्स
હોન્ડુરસ	होन्डुरस
ક્રોએશિયા	क्रोएशिया
હૈતિ	हैति
હંગેરી	हंगेरी
