ХҮНИЙ	HÜNIĬ
ЭРХИЙН	ERHIĬN
ТҮГЭЭМЭЛ	TÜGEEMEL
ТУНХАГЛАЛ	TUNHAGLAL
ОРШИЛ	ORSHIL
Хүн	Hün
төрөлхтөний	törölhtöniĭ
гэр	ger
бүлийн	büliĭn
бүх	büh
гишүүнд	gishüünd
угаас	ugaas
заяасан	dzayaasan
нэр	ner
төр	tör
болон	bolon
тэдний	tedniĭ
тэгш, салшгүй	tegsh, salshgüĭ
эрхийг	erhiĭg
хүлээн	hüleen
зөвшөөрөх	dzövshööröh
нь	nĭ
эрх	erh
чөлөө	chölöö
шударга	shudarga
ёс	yö̈s
бүх	büh
нийтийн	niĭtiĭn
энх	enh
тайвны	taĭvnï
үндэс	ündes
мөнийг	möniĭg
иш	ish
үндэс	ündes
болгон	bolgon
хүний	hüniĭ
эрхийг	erhiĭg
үл	ül
тоомсорлох	toomsorloh
