# Territory names from CLDR
ଆଣ୍ଡୋରା	ਆਣ੍ਡੋਰਾ
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	ਸੰਯੁਕ੍ਤ ਆਰਬ ਏਮਿਰੇਟਸ੍
ଆଫାଗାନିସ୍ତାନ୍	ਆਫਾਗਾਨਿਸ੍ਤਾਨ੍
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	ਆਣ੍ਟਿਗੁਆ ਏਬੰ ਬਾਰਬੁਦਾ
ଆଙ୍ଗୁଇଲ୍ଲା	ਆਙ੍ਗੁਇਲ੍ਲਾ
ଆଲବାନିଆ	ਆਲਬਾਨਿਆ
ଆର୍ମେନିଆ	ਆਰ੍ਮੇਨਿਆ
ଆଙ୍ଗୋଲା	ਆਙ੍ਗੋਲਾ
ଆର୍ଣ୍ଟକଟିକା	ਆਰ੍ਣ੍ਟਕਟਿਕਾ
ଆର୍ଜେଣ୍ଟିନା	ਆਰ੍ਜੇਣ੍ਟਿਨਾ
ଆମେରିକାନ୍ ସାମୋଆ	ਆਮੇਰਿਕਾਨ੍ ਸਾਮੋਆ
ଅଷ୍ଟ୍ରିଆ	ਅਸ਼੍ਟ੍ਰਿਆ
ଅଷ୍ଟ୍ରେଲିଆ	ਅਸ਼੍ਟ੍ਰੇਲਿਆ
ଆରୁବା	ਆਰੁਬਾ
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	ਆਲਾਣ੍ਡ ਆਇਸਲ੍ਯ਼ਾਣ੍ਡ
ଆଜେରବାଇଜାନ୍	ਆਜੇਰਬਾਇਜਾਨ੍
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	ਬੋਸਨਿਆ ਏਬੰ ਹਰ੍ਜਗੋਭਿਨਾ
ବାରବାଡୋସ୍	ਬਾਰਬਾਡੋਸ੍
ବାଙ୍ଗଲାଦେଶ୍	ਬਾਙ੍ਗਲਾਦੇਸ਼੍
ବେଲଜିୟମ୍	ਬੇਲਜਿਯ਼ਮ੍
ବୁର୍କିନୋ ଫାସୋ	ਬੁਰ੍ਕਿਨੋ ਫਾਸੋ
ବୁଲଗେରିଆ	ਬੁਲਗੇਰਿਆ
ବାହାରିନ୍	ਬਾਹਾਰਿਨ੍
ବୁରୁନ୍ଦି	ਬੁਰੁਨ੍ਦਿ
ବେନିନ୍	ਬੇਨਿਨ੍
ସେଣ୍ଟ ବାର୍ଥେଲେମି	ਸੇਣ੍ਟ ਬਾਰ੍ਥੇਲੇਮਿ
ବରମୁଡା	ਬਰਮੁਡਾ
ବ୍ରୁନେଇ	ਬ੍ਰੁਨੇਇ
ବୋଲଭିଆ	ਬੋਲਭਿਆ
ବ୍ରାଜିଲ୍	ਬ੍ਰਾਜਿਲ੍
ବାହାମାସ୍	ਬਾਹਾਮਾਸ੍
ଭୁଟାନ୍	ਭੁਟਾਨ੍
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	ਬੌਭੇਟ੍ ਆਇਸਲ੍ਯ਼ਾਣ੍ਡ
ବୋଟସ୍ବାନ୍	ਬੋਟਸ੍ਬਾਨ੍
ବେଲାରୁଷ୍	ਬੇਲਾਰੁਸ਼੍
ବେଲିଜ୍	ਬੇਲਿਜ੍
କାନାଡା	ਕਾਨਾਡਾ
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	ਕੋਕੋਸ੍ ਆਇਸਲ੍ਯ਼ਾਣ੍ਡ
କଙ୍ଗୋ-କିନସାସା	ਕਙ੍ਗੋ-ਕਿਨਸਾਸਾ
ମଧ୍ୟ ଆଫ୍ରିକୀୟ ଗଣତନ୍ତ୍ର	ਮਧ੍ਯ਼ ਆਫ੍ਰਿਕੀਯ਼ ਗਣਤਨ੍ਤ੍ਰ
କଙ୍ଗୋ-ବ୍ରାଜିଭିଲ୍ଲେ	ਕਙ੍ਗੋ-ਬ੍ਰਾਜਿਭਿਲ੍ਲੇ
ସ୍ବିଜରଲ୍ୟାଣ୍ଡ	ਸ੍ਬਿਜਰਲ੍ਯ਼ਾਣ੍ਡ
ଆଇବରୀ କୋଷ୍ଟ	ਆਇਬਰੀ ਕੋਸ਼੍ਟ
କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ	ਕੁਕ੍ ਆਇਸਲ੍ਯ਼ਾਣ੍ਡ
ଚିଲ୍ଲୀ	ਚਿਲ੍ਲੀ
କାମେରୁନ୍	ਕਾਮੇਰੁਨ੍
ଚିନ୍	ਚਿਨ੍
କୋଲମ୍ବିଆ	ਕੋਲਮ੍ਬਿਆ
କୋଷ୍ଟା ରିକା	ਕੋਸ਼੍ਟਾ ਰਿਕਾ
କ୍ୱିବା	ਕ੍ਵਿਬਾ
କେପ୍ ଭର୍ଦେ	ਕੇਪ੍ ਭਰ੍ਦੇ
ଖ୍ରୀଷ୍ଟମାସ ଆଇଲ୍ୟାଣ୍ଡ	ਖ੍ਰੀਸ਼੍ਟਮਾਸ ਆਇਲ੍ਯ਼ਾਣ੍ਡ
ସାଇପ୍ରସ୍	ਸਾਇਪ੍ਰਸ੍
ଚେକ୍ ସାଧାରଣତନ୍ତ୍ର	ਚੇਕ੍ ਸਾਧਾਰਣਤਨ੍ਤ੍ਰ
ଜର୍ମାନୀ	ਜਰ੍ਮਾਨੀ
ଡିବୌଟି	ਡਿਬੌਟਿ
ଡେନମାର୍କ	ਡੇਨਮਾਰ੍ਕ
ଡୋମିନାକା	ਡੋਮਿਨਾਕਾ
ଡୋମିନକାନ୍ ପ୍ରଜାତନ୍ତ୍ର	ਡੋਮਿਨਕਾਨ੍ ਪ੍ਰਜਾਤਨ੍ਤ੍ਰ
ଆଲଜେରିଆ	ਆਲਜੇਰਿਆ
ଇକ୍ୱାଡୋର୍	ਇਕ੍ਵਾਡੋਰ੍
ଏସ୍ତୋନିଆ	ਏਸ੍ਤੋਨਿਆ
ଇଜିପ୍ଟ	ਇਜਿਪ੍ਟ
ପଶ୍ଚିମ ସାହାରା	ਪਸ਼੍ਚਿਮ ਸਾਹਾਰਾ
ଇରିଟ୍ରିୟା	ਇਰਿਟ੍ਰਿਯ਼ਾ
ସ୍ପେନ୍	ਸ੍ਪੇਨ੍
ଇଥିଓପିଆ	ਇਥਿਓਪਿਆ
ୟୁରୋପିଆନ୍ ୟୁନିଅନ୍	ਯ਼ੁਰੋਪਿਆਨ੍ ਯ਼ੁਨਿਅਨ੍
ଫିନଲ୍ୟାଣ୍ଡ	ਫਿਨਲ੍ਯ਼ਾਣ੍ਡ
ଫିଜି	ਫਿਜਿ
ଫଲ୍କଲ୍ୟାଣ୍ଡ ଦ୍ବୀପପୁଞ୍ଜ	ਫਲ੍ਕਲ੍ਯ਼ਾਣ੍ਡ ਦ੍ਬੀਪਪੁਞ੍ਜ
ମାଇକ୍ରୋନେସିଆ	ਮਾਇਕ੍ਰੋਨੇਸਿਆ
ଫାରୋଇ ଦ୍ବୀପପୁଞ୍ଜ	ਫਾਰੋਇ ਦ੍ਬੀਪਪੁਞ੍ਜ
ଫ୍ରାନ୍ସ	ਫ੍ਰਾਨ੍ਸ
ଗାବୋନ୍	ਗਾਬੋਨ੍
ବ୍ରିଟେନ୍	ਬ੍ਰਿਟੇਨ੍
ଗ୍ରେନାଡା	ਗ੍ਰੇਨਾਡਾ
ଜର୍ଜିଆ	ਜਰ੍ਜਿਆ
ଫ୍ରେଞ୍ଚ ଗୁଇନା	ਫ੍ਰੇਞ੍ਚ ਗੁਇਨਾ
ଗୁଏରନେସି	ਗੁਏਰਨੇਸਿ
ଘାନା	ਘਾਨਾ
ଜିବ୍ରାଲ୍ଟର୍	ਜਿਬ੍ਰਾਲ੍ਟਰ੍
ଗ୍ରୀନଲ୍ୟାଣ୍ଡ	ਗ੍ਰੀਨਲ੍ਯ਼ਾਣ੍ਡ
ଗାମ୍ବିଆ	ਗਾਮ੍ਬਿਆ
ଗୁଏନେଆ	ਗੁਏਨੇਆ
ଗୌଡେଲୌପେ	ਗੌਡੇਲੌਪੇ
ଇକ୍ବାଟେରିଆଲ୍ ଗୁଇନିଆ	ਇਕ੍ਬਾਟੇਰਿਆਲ੍ ਗੁਇਨਿਆ
ଗ୍ରୀସ୍	ਗ੍ਰੀਸ੍
ଦକ୍ଷିଣ ଜର୍ଜିଆ ଏବଂ ଦକ୍ଷିଣ ସାଣ୍ଡୱିଚ୍ ଦ୍ବୀପପୁଞ୍ଜ	ਦਕ੍ਸ਼ਿਣ ਜਰ੍ਜਿਆ ਏਬੰ ਦਕ੍ਸ਼ਿਣ ਸਾਣ੍ਡਵਿਚ੍ ਦ੍ਬੀਪਪੁਞ੍ਜ
ଗୁଏତମାଲା	ਗੁਏਤਮਾਲਾ
ଗୁଆମ୍	ਗੁਆਮ੍
