Ազատ	آزاد
Ալեքսանդր	آلاکسانتر
Ալմաստ	آلماسد
Աղաւնի	آغاوني
Անահիտ	آناهيد
Անուշ	آنوش
Աւետիս	آواديس
Արա	آرا
Արամ	آرام
Արարատ	آراراد
Արաքս	آراکس
Արեւիկ	آراويگ
Արի	آري
Արմեն	آرمان
Արսեն	آرسان
Բագրատ	پاکراد
Գայեանէ	کايانا
Գարեգին	کاراکين
Գարեն	کاران
Գեղանի	کاغاني
Գեղարդ	کاغارت
Գեւորգ	کاوورک
Գոհար	کوهار
Գուրգեն	کورکان
Գրիգոր	کريکور
Դանիէլ	تانيال
Եվա	ياوا
Զաբել	زاپال
Էդուարդ	اتوارت
Թագուհի	تاکوهي
Թալին	تالين
Թորոս	توروس
Ժիրայր	ژيراير
Լեւոն	لاوون
Լուսինե	لوسينا
Խաժակ	خاژاگ
Կատար	گادار
Հակոբ	هاگوپ
Հայկ	هايگ
Հենրիկ	هانريگ
Հովիկ	هوويگ
Հովո	هووو
Հուրիկ	هوريگ
Մարալ	مارال
Մարգարիտ	مارکاريد
Մարիամ	ماريام
Նարեկ	ناراگ
Ներսէս	نارساس
Ոսկի	ووسگي
Պետրոս	بادروس
Պերճուհի	باردژوهي
Պողոս	بوغوس
Ռուբեն	روپان
Ռուդոլֆ	روتولف
Սահակ	ساهاگ
Սարգիս	سارکيس
Սեւան	ساوان
Սիրան	سيران
Սիրանուշ	سيرانوش
Սիրվարդ	سيروارت
Սպարտակ	سبارداگ
Ստեփան	سداپان
Վահագն	واهاکن
Վահան	واهان
Վարդան	وارتان
Վարդուհի	وارتوهي
Օհաննես	اوهانناس
