# Territory names from CLDR
असेंशन द्वीप	ଅସେଂଶନ ଦ୍ଵୀପ
एंडोरा	ଏଂଡୋରା
संयुक्त अरब अमीरात	ସଂଯୁକ୍ତ ଅରବ ଅମୀରାତ
अफ़गानिस्तान	ଅଫ଼ଗାନିସ୍ତାନ
एंटिगुआ और बरबुडा	ଏଂଟିଗୁଆ ଔର ବରବୁଡା
एंग्विला	ଏଂଗ୍ଵିଲା
अल्बानिया	ଅଲ୍ବାନିଯା
आर्मेनिया	ଆର୍ମେନିଯା
अंगोला	ଅଂଗୋଲା
अंटार्कटिका	ଅଂଟାର୍କଟିକା
अर्जेंटीना	ଅର୍ଜେଂଟୀନା
अमेरिकी समोआ	ଅମେରିକୀ ସମୋଆ
ऑस्ट्रिया	ଓସ୍ଟ୍ରିଯା
ऑस्ट्रेलिया	ଓସ୍ଟ୍ରେଲିଯା
अरूबा	ଅରୂବା
एलैंड द्वीपसमूह	ଏଲୈଂଡ ଦ୍ଵୀପସମୂହ
अज़रबैजान	ଅଜ଼ରବୈଜାନ
बोस्निया और हर्ज़ेगोविना	ବୋସ୍ନିଯା ଔର ହର୍ଜ଼େଗୋଵିନା
बारबाडोस	ବାରବାଡୋସ
बांग्लादेश	ବାଂଗ୍ଲାଦେଶ
बेल्जियम	ବେଲ୍ଜିଯମ
बुर्किना फ़ासो	ବୁର୍କିନା ଫ଼ାସୋ
बुल्गारिया	ବୁଲ୍ଗାରିଯା
बहरीन	ବହରୀନ
बुरुंडी	ବୁରୁଂଡୀ
बेनिन	ବେନିନ
सेंट बार्थेलेमी	ସେଂଟ ବାର୍ଥେଲେମୀ
बरमूडा	ବରମୂଡା
ब्रूनेई	ବ୍ରୂନେଈ
बोलीविया	ବୋଲୀଵିଯା
कैरिबियन नीदरलैंड	କୈରିବିଯନ ନୀଦରଲୈଂଡ
ब्राज़ील	ବ୍ରାଜ଼ୀଲ
बहामास	ବହାମାସ
भूटान	ଭୂଟାନ
बोवेत द्वीप	ବୋଵେତ ଦ୍ଵୀପ
बोत्स्वाना	ବୋତ୍ସ୍ଵାନା
बेलारूस	ବେଲାରୂସ
बेलीज़	ବେଲୀଜ଼
कनाडा	କନାଡା
कोकोस (कीलिंग) द्वीपसमूह	କୋକୋସ (କୀଲିଂଗ) ଦ୍ଵୀପସମୂହ
कांगो - किंशासा	କାଂଗୋ - କିଂଶାସା
कांगो (डीआरसी)	କାଂଗୋ (ଡୀଆରସୀ)
मध्य अफ़्रीकी गणराज्य	ମଧ୍ଯ ଅଫ଼୍ରୀକୀ ଗଣରାଜ୍ଯ
कांगो – ब्राज़ाविल	କାଂଗୋ – ବ୍ରାଜ଼ାଵିଲ
कांगो (गणराज्य)	କାଂଗୋ (ଗଣରାଜ୍ଯ)
स्विट्ज़रलैंड	ସ୍ଵିଟ୍ଜ଼ରଲୈଂଡ
कोट डी आइवर	କୋଟ ଡୀ ଆଇଵର
आइवरी कोस्ट	ଆଇଵରୀ କୋସ୍ଟ
कुक द्वीपसमूह	କୁକ ଦ୍ଵୀପସମୂହ
चिली	ଚିଲୀ
कैमरून	କୈମରୂନ
चीन	ଚୀନ
कोलंबिया	କୋଲଂବିଯା
क्लिपर्टन द्वीप	କ୍ଲିପର୍ଟନ ଦ୍ଵୀପ
कोस्टारिका	କୋସ୍ଟାରିକା
क्यूबा	କ୍ଯୂବା
