# Territory names from CLDR
ଆଣ୍ଡୋରା	ఆణ్డోరా
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	సంయుక్త ఆరబ ఏమిరేటస్
ଆଫାଗାନିସ୍ତାନ୍	ఆఫాగానిస్తాన్
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	ఆణ్టిగుఆ ఏబం బారబుదా
ଆଙ୍ଗୁଇଲ୍ଲା	ఆఙ్గుఇల్లా
ଆଲବାନିଆ	ఆలబానిఆ
ଆର୍ମେନିଆ	ఆర్మేనిఆ
ଆଙ୍ଗୋଲା	ఆఙ్గోలా
ଆର୍ଣ୍ଟକଟିକା	ఆర్ణ్టకటికా
ଆର୍ଜେଣ୍ଟିନା	ఆర్జేణ్టినా
ଆମେରିକାନ୍ ସାମୋଆ	ఆమేరికాన్ సామోఆ
ଅଷ୍ଟ୍ରିଆ	అష్ట్రిఆ
ଅଷ୍ଟ୍ରେଲିଆ	అష్ట్రేలిఆ
ଆରୁବା	ఆరుబా
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	ఆలాణ్డ ఆఇసల్యాణ్డ
ଆଜେରବାଇଜାନ୍	ఆజేరబాఇజాన్
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	బోసనిఆ ఏబం హర్జగోభినా
ବାରବାଡୋସ୍	బారబాడోస్
ବାଙ୍ଗଲାଦେଶ୍	బాఙ్గలాదేశ్
ବେଲଜିୟମ୍	బేలజియమ్
ବୁର୍କିନୋ ଫାସୋ	బుర్కినో ఫాసో
ବୁଲଗେରିଆ	బులగేరిఆ
ବାହାରିନ୍	బాహారిన్
ବୁରୁନ୍ଦି	బురున్ది
ବେନିନ୍	బేనిన్
ସେଣ୍ଟ ବାର୍ଥେଲେମି	సేణ్ట బార్థేలేమి
ବରମୁଡା	బరముడా
ବ୍ରୁନେଇ	బ్రునేఇ
ବୋଲଭିଆ	బోలభిఆ
ବ୍ରାଜିଲ୍	బ్రాజిల్
ବାହାମାସ୍	బాహామాస్
ଭୁଟାନ୍	భుటాన్
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	బౌభేట్ ఆఇసల్యాణ్డ
ବୋଟସ୍ବାନ୍	బోటస్బాన్
ବେଲାରୁଷ୍	బేలారుష్
ବେଲିଜ୍	బేలిజ్
କାନାଡା	కానాడా
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	కోకోస్ ఆఇసల్యాణ్డ
କଙ୍ଗୋ-କିନସାସା	కఙ్గో-కినసాసా
ମଧ୍ୟ ଆଫ୍ରିକୀୟ ଗଣତନ୍ତ୍ର	మధ్య ఆఫ్రికీయ గణతన్త్ర
କଙ୍ଗୋ-ବ୍ରାଜିଭିଲ୍ଲେ	కఙ్గో-బ్రాజిభిల్లే
ସ୍ବିଜରଲ୍ୟାଣ୍ଡ	స్బిజరల్యాణ్డ
ଆଇବରୀ କୋଷ୍ଟ	ఆఇబరీ కోష్ట
କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ	కుక్ ఆఇసల్యాణ్డ
ଚିଲ୍ଲୀ	చిల్లీ
କାମେରୁନ୍	కామేరున్
ଚିନ୍	చిన్
କୋଲମ୍ବିଆ	కోలమ్బిఆ
କୋଷ୍ଟା ରିକା	కోష్టా రికా
କ୍ୱିବା	క్విబా
କେପ୍ ଭର୍ଦେ	కేప్ భర్దే
ଖ୍ରୀଷ୍ଟମାସ ଆଇଲ୍ୟାଣ୍ଡ	ఖ్రీష్టమాస ఆఇల్యాణ్డ
ସାଇପ୍ରସ୍	సాఇప్రస్
ଚେକ୍ ସାଧାରଣତନ୍ତ୍ର	చేక్ సాధారణతన్త్ర
ଜର୍ମାନୀ	జర్మానీ
ଡିବୌଟି	డిబౌటి
ଡେନମାର୍କ	డేనమార్క
ଡୋମିନାକା	డోమినాకా
ଡୋମିନକାନ୍ ପ୍ରଜାତନ୍ତ୍ର	డోమినకాన్ ప్రజాతన్త్ర
ଆଲଜେରିଆ	ఆలజేరిఆ
ଇକ୍ୱାଡୋର୍	ఇక్వాడోర్
ଏସ୍ତୋନିଆ	ఏస్తోనిఆ
ଇଜିପ୍ଟ	ఇజిప్ట
ପଶ୍ଚିମ ସାହାରା	పశ్చిమ సాహారా
ଇରିଟ୍ରିୟା	ఇరిట్రియా
ସ୍ପେନ୍	స్పేన్
