# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	அஸൻஷൻ த்வீப்
അന്റോറ	அந்றோற
യുണൈറ്റഡ് അറബ് എമിറൈറ്റ്‌സ്	யுணைற்றட் அறப் எமிறைற்ற்‌ஸ்
അഫ്‌ഗാനിസ്ഥാൻ	அப்‌காநிஸ்தாൻ
ആൻറിഗ്വയും ബർബുഡയും	ஆൻறிக்வயுஂ பർபுடயுஂ
ആൻഗ്വില്ല	ஆൻக்வில்ல
അൽബേനിയ	அൽபேநிய
അർമേനിയ	அർமேநிய
അംഗോള	அஂகோள
അൻറാർട്ടിക്ക	அൻறாർட்டிக்க
അർജൻറീന	அർஜൻறீந
അമേരിക്കൻ സമോവ	அமேரிக்கൻ ஸமோவ
ഓസ്ട്രിയ	ஓஸ்ட்ரிய
ഓസ്‌ട്രേലിയ	ஓஸ்‌ட்ரேலிய
അറൂബ	அறூப
അലൻഡ് ദ്വീപുകൾ	அலൻட் த்வீபுகൾ
അസർബൈജാൻ	அஸർபைஜாൻ
ബോസ്നിയയും ഹെർസഗോവിനയും	போஸ்நியயுஂ ஹெർஸகோவிநயுஂ
ബാർബഡോസ്	பாർபடோஸ்
ബംഗ്ലാദേശ്	பஂக்லாதேஶ்
ബെൽജിയം	பெൽஜியஂ
ബുർക്കിനാ ഫാസോ	புർக்கிநா பாஸோ
ബൾഗേറിയ	பൾகேறிய
ബഹ്റിൻ	பஹ்றிൻ
ബറുണ്ടി	பறுண்டி
ബെനിൻ	பெநிൻ
സെന്റ് ബാർത്തലമി	ஸெந்ற் பாർத்தலமி
ബർമുഡ	பർமுட
ബ്രൂണൈ	ப்ரூணை
ബൊളീവിയ	பொளீவிய
ബൊണെയ്ർ, സിന്റ് യുസ്റ്റേഷ്യസ്, സാബ എന്നിവ	பொணெய்ർ, ஸிந்ற் யுஸ்ற்றேஷ்யஸ், ஸாப எந்நிவ
ബ്രസീൽ	ப்ரஸீൽ
ബഹാമാസ്	பஹாமாஸ்
ഭൂട്ടാൻ	பூட்டாൻ
ബൗവെട്ട് ദ്വീപ്	பௗவெட்ட் த்வீப்
ബോട്സ്വാന	போட்ஸ்வாந
ബെലറൂസ്	பெலறூஸ்
ബെലീസ്	பெலீஸ்
കാനഡ	காநட
കോക്കസ് (കീലിംഗ്) ദ്വീപുകൾ	கோக்கஸ் (கீலிஂக்) த்வீபுகൾ
