# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	asaൻṣaൻ dvīp
അന്റോറ	anṟēāṟa
യുണൈറ്റഡ് അറബ് എമിറൈറ്റ്‌സ്	yuṇaiṟṟaḍ aṟab emiṟaiṟṟ‌s
അഫ്‌ഗാനിസ്ഥാൻ	aph‌gānisthāൻ
ആൻറിഗ്വയും ബർബുഡയും	āൻṟigvayuṁ baർbuḍayuṁ
ആൻഗ്വില്ല	āൻgvilla
അൽബേനിയ	aൽbēniya
അർമേനിയ	aർmēniya
അംഗോള	aṅgēāḷa
അൻറാർട്ടിക്ക	aൻṟāർṭṭikka
അർജൻറീന	aർjaൻṟīna
അമേരിക്കൻ സമോവ	amērikkaൻ samēāva
ഓസ്ട്രിയ	ōsṭriya
ഓസ്‌ട്രേലിയ	ōs‌ṭrēliya
അറൂബ	aṟūba
അലൻഡ് ദ്വീപുകൾ	alaൻḍ dvīpukaൾ
അസർബൈജാൻ	asaർbaijāൻ
ബോസ്നിയയും ഹെർസഗോവിനയും	bēāsniyayuṁ heർsagēāvinayuṁ
ബാർബഡോസ്	bāർbaḍēās
ബംഗ്ലാദേശ്	baṅglādēś
ബെൽജിയം	beൽjiyaṁ
ബുർക്കിനാ ഫാസോ	buർkkinā phāsēā
ബൾഗേറിയ	baൾgēṟiya
ബഹ്റിൻ	bahṟiൻ
ബറുണ്ടി	baṟuṇṭi
ബെനിൻ	beniൻ
സെന്റ് ബാർത്തലമി	senṟ bāർttalami
ബർമുഡ	baർmuḍa
ബ്രൂണൈ	brūṇai
ബൊളീവിയ	beāḷīviya
ബൊണെയ്ർ, സിന്റ് യുസ്റ്റേഷ്യസ്, സാബ എന്നിവ	beāṇeyർ, sinṟ yusṟṟēṣyas, sāba enniva
ബ്രസീൽ	brasīൽ
ബഹാമാസ്	bahāmās
ഭൂട്ടാൻ	bhūṭṭāൻ
ബൗവെട്ട് ദ്വീപ്	baveṭṭ dvīp
ബോട്സ്വാന	bēāṭsvāna
ബെലറൂസ്	belaṟūs
ബെലീസ്	belīs
കാനഡ	kānaḍa
കോക്കസ് (കീലിംഗ്) ദ്വീപുകൾ	kēākkas (kīliṅg) dvīpukaൾ
കോംഗോ - കിൻഷാസ	kēāṅgēā - kiൻṣāsa
കോംഗോ (DRC)	kēāṅgēā (DRC)
സെൻട്രൽ ആഫ്രിക്കൻ റിപ്പബ്ലിക്	seൻṭraൽ āphrikkaൻ ṟippablik
കോംഗോ - ബ്രാസവില്ലി	kēāṅgēā - brāsavilli
കോംഗോ (റിപ്പബ്ലിക്ക്)	kēāṅgēā (ṟippablikk)
സ്വിറ്റ്സർലാൻഡ്	sviṟṟsaർlāൻḍ
കോട്ട് ഡി വാർ	kēāṭṭ ḍi vāർ
ഐവറി കോസ്റ്റ്	aivaṟi kēāsṟṟ
കുക്ക് ദ്വീപുകൾ	kukk dvīpukaൾ
ചിലി	cili
കാമറൂൺ	kāmaṟūൺ
ചൈന	caina
കൊളംബിയ	keāḷambiya
ക്ലിപ്പെർട്ടൻ ദ്വീപ്	klippeർṭṭaൻ dvīp
കോസ്റ്ററിക്ക	kēāsṟṟaṟikka
ക്യൂബ	kyūba
കേപ്പ് വെർദെ	kēpp veർde
കുറാകാവോ	kuṟākāvēā
ക്രിസ്മസ് ദ്വീപ്	krismas dvīp
സൈപ്രസ്	saipras
ചെക്ക് റിപ്പബ്ലിക്	cekk ṟippablik
ജർമനി	jaർmani
ഡീഗോ ഗ്രാഷ്യ	ḍīgēā grāṣya
ദിജിബൗട്ടി	dijibaṭṭi
ഡെൻമാർക്ക്	ḍeൻmāർkk
ഡൊമിനിക്ക	ḍeāminikka
ഡൊമിനിക്കൻ റിപ്പബ്ലിക്	ḍeāminikkaൻ ṟippablik
അൾജീരിയ	aൾjīriya
സെയൂത്ത ആൻഡ് മെലിയ	seyūtta āൻḍ meliya
ഇക്വഡോർ	ikvaḍēāർ
എസ്റ്റോണിയ‍	esṟṟēāṇiya‍
