Achijáš Šíloský	آخياش شيلوسکي
achnatonova	آغناتونووا
Ahsoka Tano	آهسوکا تانو
ano	آنو
Aš	آش
Bašf	باشف
Benešov	باناشوو
Beroun	باروون
Berounka	باروونکا
Blansko	بلانسکو
Bohemia	بوهاميا
Braník	برانيک
Brno	برنو
Bruntál	برونتال
Bubeneč	بوباناتش
Bílá Hora	بيلا هورا
Bělorusko	بيالوروسکو
Břeclav	برژاتسلاو
březen	برژازان
Březová	برژازووا
Chadtův	خادتوو
Cheb	خاب
Chodov	خودوو
Cholupice	خولوپيتسا
Chomutov	خوموتوو
Choteč	خوتاتش
Chrudim	غروديم
Chvatěrub	غواچاروب
Chýšť	خيشچ
co	تسو
Cínovec	تسينوواتس
Dejvice	دايويتسا
Dolany	دولاني
Dolní Chabry	دولني خابري
Dolní Počernice	دولني پوتشارنيتسا
Domažlice	دوماژليتسا
Dubeč	دوباتش
Dvůr Králové	دوور کرالووا
Dzaudžikau	دزاودژيکاو
Dějiny	دجايني
Děkuji	دجاکوي
Děčín	دجاتشين
dům	دوم
Džerba	دژاربا
Frýdek Místek	فريداک ميستاک
Frýdlant	فريدلانت
Hlubočepy	هلوبوتشاپي
Hodkovice	هودکوويتسا
Hodkovičky	هودکوويتشکي
Hodonín	هودونين
Holašovice	هولاشوويتسا
Holešov	هولاشوو
Holešovice	هولاشوويتسا
Holubice	هولوبيتسا
Holyně	هولينا
Hovorčovice	هوورتشوويتسا
Hradec Králové	هراداتس کرالووا
Hranice	هرانيتسا
Humpolec	هومپولاتس
Husinec	هوسيناتس
Háje	هايا
háček	هاتشاک
Ivančice	ايوانتشيتسا
Jablonec	يابلوناتس
jak	ياک
Jankov	يانکوو
jemně	يامنا
Jesenice	ياسانيتسا
Jeseník	ياسانيک
Jihlava	يهلاوا
Jinonice	ينونيتسا
Jáchymov	ياخيموو
Jíloviště	يلوويشچا
Karlovy Vary	کارلووي واري
Karlín	کارلين
Karlštejn	کارلشتاين
Karviná	کاروينا
Kazachstán	کازاخستان
kdo	کدو
Kladno	کلادنو
Klatovy	کلاتووي
Klínovec	کلينوواتس
Klíčany	کليتشاني
Kobylisy	کوبيليسي
Kojetice	کوياتيتسا
Kolín	کولين
Kopanina	کوپانينا
Kostelec	کوستالاتس
Kralupy	کرالوپي
Krnov	کرنوو
Kroměříž	کرومنارژيژ
Kunratice	کونراتيتسا
Kutná Hora	کوتنا هورا
květen	کوياتان
Labe	لابا
Lahovice	لاهوويتسا
leden	لادان
Lednice	لادنيتسا
Letňany	لاتناني
Liberec	ليباراتس
Libuš	ليبوش
Lichoceves	ليخوتساواس
Lidice	ليديتسا
Lipence	ليپانتسا
Litomyšl	ليتوميشل
Litoměřice	ليتومنارژيتسا
Lliboc	لليبوتس
Lovosice	لووسيتسا
Lysolaje	ليسولايا
léto	لاتو
Líbeznice	ليبازنيتسا
Malešov	مالاشوو
Mariánské Lázně	ماريانسکا لازنا
Meziříčí	مازيرژيتشي
Mikulov	ميکولوو
Minice	مينيتسا
Mladá Boleslav	ملادا بولاسلاو
Mnichovo Hradiště	منيخوو هراديشچا
Modletice	مودلاتيتسا
Moravia	موراويا
Most	موست
Motol	موتول
Mratín Polerady	مراتين پولارادي
Máslovice	ماسلوويتسا
méně	مانا
město	مناستو
může	موژا
ne	نا
Nebušice	نابوشيتسا
Nový Jícin	نووي يتسين
Nusle	نوسلا
Nymburk	نيمبورک
Náchod	ناخود
německá	ناماتسکا
Odolena Voda	اودولانا وودا
Ohníč	اوهنيتش
Ohrazenice	اوهرازانيتسا
Ohrobec	اوهروباتس
Olomouc	اولومووتس
Opava	اوپاوا
Osnice	اوسنيتسا
Ostrava	اوستراوا
Otvovice	اوتوويتسا
Pardubice	پاردوبيتسا
Pitkovice	پيتکوويتسا
Plzeň	پلزان
Podolí	پودولي
Praha	پراها
Prostějov	پروسچايوو
prosím	پروسيم
prstenový	پرستانووي
Průhonice	پروهونيتسا
Psáry	پساري
Písek	پيساک
Písnice	پيسنيتسا
Radlice	رادليتسا
Radotín	رادوتين
Radějovice	رادجايوويتسا
Rakovník	راکوونيک
Rokycany	روکيتساني
Roztoky	روزتوکي
Ruzyně	روزينا
Satalice	ساتاليتسا
Sedlec	سادلاتس
Slivenec	سليواناتس
Sluhy	سلوهي
smrk	سمرک
Smíchov	سميخوو
Sněžka	سناژکا
srpen	سرپان
Statenice	ستاتانيتسا
Stodůlky	ستودولکي
Strakonice	ستراکونيتسا
Strašnice	ستراشنيتسا
středa	سترژادا
Suchdol	سوغدول
Sušice	سوشيتسا
Svitavy	سويتاوي
Svrkyně	سورکينا
Sázava	سازاوا
Tachov	تاخوو
Teplice	تاپليتسا
Trutnov	تروتنوو
Turecko	توراتسکو
Tursko	تورسکو
Tábor	تابور
Těchlovice	چاغلوويتسا
Uherské Hradiště	اوهارسکا هراديشچا
Valašské	والاشسکا
Veleslavín	والاسلاوين
Veleň	والان
Veliká Ves	واليکا واس
Velká Chuchle	والکا خوغلا
Vestec	واستاتس
Vimperk	ويمپارک
Vlasim	ولاسيم
Vltava	ولتاوا
Vodochody	وودوخودي
Vokovice	ووکوويتسا
Vonoklasy	وونوکلاسي
Vršovice	ورشوويتسا
Vysočany	ويسوتشاني
Větrušice	وياتروشيتسا
Všenory	وشانوري
Wikipedie	ويکيپاديا
Zbraslav	زبراسلاو
Zbuzany	زبوزاني
Zdiby	زديبي
Zlatníky	زلاتنيکي
Zlín	زلين
Zlíčín	زليتشين
Znojmo	زنويمو
Zvole	زوولا
Záběhlice	زابياهليتسا
záchrana	زاغرانا
Ázerbájdžán	آزاربايدژان
Úholičky	اوهوليتشکي
Únětice	اوناتيتسا
úterý	اوتاري
Čakovice	تشاکوويتسا
Černošice	تشارنوشيتسا
České Budějovice	تشاسکا بودجايوويتسا
Český Krumlov	تشاسکي کروملوو
Čestlice	تشاستليتسا
Čimice	تشيميتسا
červen	تشاروان
červenec	تشارواناتس
články	تشلانکي
čárka	تشارکا
Ďoma	دجوما
Ďáblice	دجابليتسا
Řecko	رژاتسکو
říjen	رژيان
Šeberov	شاباروو
Šternberk	شتارنبارک
Štěrboholy	شچاربوهولي
Šumperk	شومپارک
Ťažká	چاژکا
Žatec	ژاتاتس
Ženšen	ژانشان
