# Baby names
அகஜா	اكجا
அகந்ய	اكنی
அகர்ஷா	اكرشا
அகஷீதா	اكشیتا
அகஷீநீ	اكشینی
அகிலா	اكیلا
அக்நிஜ்வாளா	اكنیجوارا
அக்நிஷிகா	اكنیشیكا
அக்ஷ்யா	اكشیا
அசிஂத்ய	اتشینتی
அச்யுதாந	اتشیوتان
அதரஷ	اترش
அதீதீய	اتیتیی
அதீஷா	اتیشا
அதோத்கா	اتوتكا
அத்யயந	اتیین
அத்யுத	اتیوت
அத்ரியந	اتریین
அத்விக	اتویك
அத்விதேயா	اتویتییا
அபரா	ابرا
அபிஜந	ابیجن
அபிஜித	ابیجیت
அபிஜ்ஞா	ابیجنا
அபிஜ்ஞாந	ابیجنان
அபிநபஸ	ابینبس
அபிம	ابیم
அபிமாநீ	ابیمانی
அபிராஜ	ابیراج
அபிருசி	ابیروتشی
அபீஜ்நா	ابیجنا
அபீத்யா	ابیتیا
அபீநாவ	ابیناو
அபீமாஂந்யுஂ	ابیماننیون
அபீராம	ابیرام
அபீரூபா	ابیروبا
அபீஷ்ரேய	ابیشریی
அபீஹேஷாந	ابیهیشان
அபேல	ابیل
அப்ஜாயோநீ	ابجایونی
அலாம்க்ரீதா	الامكریتا
அஹலாதிதா	اهلاتیتا
அஹில்யா	اهیلیا
அஹீநா	اهینا
அஹீந்ஜீதா	اهینجیتا
அஹ்லாதாஜநநீ	اهلاتاجننی
ஆகர்ஷக	آكرشك
ஆதிதேய	آتیتیی
ஆதித்வ	آتیتو
ஆதிபுருஷ	آتیبوروش
ஆதியா	آتییا
ஆதீதேய	آتیتیی
ஆதீஷ்ரீ	آتیشری
ஆத்மஜா	آتمجا
ஆத்மய	آتمی
ஆத்மாநஂத	آتماننت
ஆத்வாய	آتوای
ஆநஂத்யா	آننتیا
ஆநதாலீப	آنتالیب
ஆநாயா	آنایا
ஆபாஸ	آباس
ஆயநா	آینا
ஆயாஂஷ	آیانش
ஆரஸீ	آرسی
ஆராயநா	آراینا
ஆரித்ர	آریتر
ஆரீ	آری
ஆரீஷ	آریش
ஆருபா	آروبا
ஆருல	آرول
ஆரோசந	آروتشن
ஆர்த	آرت
ஆர்யவீர	آریویر
ஆவாநீ	آوانی
ஆவீஷ	آویش
ஆஷ்கா	آشكا
ஆஷ்மீந	آشمین
ஆஷ்ரித	آشریت
ஆஷ்லேஷ	آشلیش
இஂதுலால	إنتولال
இஂதுஷேகர	إنتوشیكر
இஂத்ரா	إنترا
இஂபநாதந	إنبناتن
இநோதய	إنوتی
இந்தாருபீநீ	إنتاروبینی
இந்தாலீ	إنتالی
இந்துமத	إنتومت
இந்த்ரதநுஷ	إنترتنوش
இந்த்ரதயும்ந	إنترتیومن
இந்த்ரந	إنترن
இந்த்ரஸேநா	إنترسینا
இப்யா	إبیا
இப்ஸா	إبسا
இயலீஸாஈ	إیلیساي
இய்யாப்பந	إییاببن
இரித	إریت
இலாஷ்பஸ்தீ	إلاشبستی
இலேஷ	إلیش
இஷாந	إشان
இஷாந்வீ	إشانوی
இஷ்ய	إشی
இஸகீ	إسكی
ஈதீ	إتی
ஈந்துஸ	إنتوس
ஈபா	إبا
ஈப்ஷா	إبشا
ஈர்ஷீதா	إرشیتا
ஈலமாஂ	إلمان
