# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	अ्याससेनशन आइल्यान्ड
এ্যান্ডোরা	ए्यान्डोरा
সংযুক্ত আরব আমিরাত	संयुक्त आरब आमिरात
আফগানিস্তান	आफगानिस्तान
এন্টিগুয়া ও বারবুডা	एन्टिगुय़ा ओ बारबुडा
এ্যাঙ্গুইলা	ए्याङ्गुइला
আলব্যানিয়া	आलब्यानिय़ा
আর্মেনিয়া	आर्मेनिय़ा
অ্যাঙ্গোলা	अ्याङ्गोला
অ্যান্টার্কটিকা	अ्यान्टार्कटिका
আর্জেন্টিনা	आर्जेन्टिना
আমেরিকান সামোয়া	आमेरिकान सामोय़ा
অস্ট্রিয়া	अस्ट्रिय़ा
অস্ট্রেলিয়া	अस्ट्रेलिय़ा
আরুবা	आरुबा
আলান্ড দ্বীপপুঞ্জ	आलान्ड द्बीपपुञ्ज
আজারবাইজান	आजारबाइजान
বসনিয়া ও হার্জেগোভিনা	बसनिय़ा ओ हार्जेगोभिना
বারবাদোস	बारबादोस
বাংলাদেশ	बांलादेश
বেলজিয়াম	बेलजिय़ाम
বুরকিনা ফাসো	बुरकिना फासो
বুলগেরিয়া	बुलगेरिय़ा
বাহরাইন	बाहराइन
বুরুন্ডি	बुरुन्डि
বেনিন	बेनिन
সেন্ট বারথেলিমি	सेन्ट बारथेलिमि
বারমুডা	बारमुडा
ব্রুনেই	ब्रुनेइ
বোলিভিয়া	बोलिभिय़ा
ক্যারিবিয়ান নেদারল্যান্ডস	क्यारिबिय़ान नेदारल्यान्डस
ব্রাজিল	ब्राजिल
বাহামা দ্বীপপুঞ্জ	बाहामा द्बीपपुञ्ज
ভুটান	भुटान
বোভেট দ্বীপ	बोभेट द्बीप
বতসোয়ানা	बतसोय़ाना
বেলোরুশিয়া	बेलोरुशिय़ा
বেলিজ	बेलिज
কানাডা	कानाडा
কোকোস (কিলিং)দ্বীপপুঞ্জ	कोकोस (किलिं)द्बीपपुञ्ज
কঙ্গো-কিনশাসা	कङ्गो-किनशासा
কঙ্গো(DRC)	कङ्गो(DRC)
মধ্য আফ্রিকার প্রজাতন্ত্র	मध्य आफ्रिकार प्रजातन्त्र
কঙ্গো - ব্রাজাভিল	कङ्गो - ब्राजाभिल
কঙ্গো (প্রজাতন্ত্র)	कङ्गो (प्रजातन्त्र)
সুইজারল্যান্ড	सुइजारल्यान्ड
আইভরি কোস্ট	आइभरि कोस्ट
কুক দ্বীপপুঞ্জ	कुक द्बीपपुञ्ज
চিলি	चिलि
ক্যামেরুন	क्यामेरुन
চীন	चीन
কোলোম্বিয়া	कोलोम्बिय़ा
ক্লিপারটন আইল্যান্ড	क्लिपारटन आइल्यान्ड
কোস্টারিকা	कोस्टारिका
কিউবা	किउबा
কেপভার্দে	केपभार्दे
কিউরাসাও	किउरासाओ
ক্রিসমাস দ্বীপ	क्रिसमास द्बीप
সাইপ্রাস	साइप्रास
চেক প্রজাতন্ত্র	चेक प्रजातन्त्र
জার্মানি	जार्मानि
দিয়েগো গার্সিয়া	दिय़ेगो गार्सिय़ा
জিবুতি	जिबुति
ডেনমার্ক	डेनमार्क
ডোমিনিকা	डोमिनिका
ডোমেনিকান প্রজাতন্ত্র	डोमेनिकान प्रजातन्त्र
আলজেরিয়া	आलजेरिय़ा
কুউটা এবং মেলিলা	कुउटा एबं मेलिला
ইকুয়েডর	इकुय़ेडर
এস্তোনিয়া	एस्तोनिय़ा
মিশর	मिशर
পশ্চিম সাহারা	पश्चिम साहारा
ইরিত্রিয়া	इरित्रिय़ा
স্পেন	स्पेन
ইফিওপিয়া	इफिओपिय़ा
ইউরোপীয় ইউনিয়ন	इउरोपीय़ इउनिय़न
ফিনল্যান্ড	फिनल्यान्ड
ফিজি	फिजि
ফকল্যান্ড দ্বীপপুঞ্জ	फकल्यान्ड द्बीपपुञ्ज
ফকল্যান্ড আইল্যান্ড ( ইসল্যাস মাসভেনিস)	फकल्यान्ड आइल्यान्ड ( इसल्यास मासभेनिस)
মাইক্রোনেশিয়া	माइक्रोनेशिय़ा
ফ্যারও দ্বীপপুঞ্জ	फ्यारओ द्बीपपुञ्ज
ফ্রান্স	फ्रान्स
গ্যাবন	ग्याबन
যুক্তরাজ্য	युक्तराज्य
গ্রেনেডা	ग्रेनेडा
জর্জিয়া	जर्जिय़ा
ফরাসী গায়ানা	फरासी गाय़ाना
গ্রাঞ্জি	ग्राञ्जि
ঘানা	घाना
জিব্রাল্টার	जिब्राल्टार
গ্রীনল্যান্ড	ग्रीनल्यान्ड
গাম্বিয়া	गाम्बिय़ा
গিনি	गिनि
গুয়াদেলৌপ	गुय़ादेलौप
নিরক্ষীয় গিনি	निरक्षीय़ गिनि
গ্রীস	ग्रीस
দক্ষিণ জর্জিয়া ও দক্ষিণ স্যান্ডউইচ দ্বীপপুঞ্জ	दक्षिण जर्जिय़ा ओ दक्षिण स्यान्डउइच द्बीपपुञ्ज
গোয়াতেমালা	गोय़ातेमाला
গুয়াম	गुय़ाम
গিনি-বিসাউ	गिनि-बिसाउ
গিয়ানা	गिय़ाना
হংকং এসএআর চীনা	हंकं एसएआर चीना
হংকং	हंकं
হার্ড দ্বীপ এবং ম্যাকডোনাল্ড দ্বীপপুঞ্জ	हार्ड द्बीप एबं म्याकडोनाल्ड द्बीपपुञ्ज
হণ্ডুরাস	हण्डुरास
ক্রোয়েশিয়া	क्रोय़ेशिय़ा
হাইতি	हाइति
হাঙ্গেরি	हाङ्गेरि
ক্যানারি দ্বীপপুঞ্জ	क्यानारि द्बीपपुञ्ज
ইন্দোনেশিয়া	इन्दोनेशिय़ा
আয়ারল্যান্ড	आय़ारल्यान्ड
ইজরায়েল	इजराय़ेल
আইল অফ ম্যান	आइल अफ म्यान
ভারত	भारत
