affiliar	آفيليار
alicun	آليکون
Anisotropia	آنيسوتروپيا
arrestate	آريستاته
Articulo	آرتيکولو
Assemblea	آسيمبليا
barbaria	بارباريا
barion	باريون
base	باسه
Ben	بين
beneficiar	بينيفيتسيار
beneficios	بينيفيتسيوس
benesser	بينيسير
binari	بيناري
bipyramides	بيپيراميديس
boes	بويس
boeses	بويسيس
button	بوتون
cambiar	کامبيار
cata	کاتا
causar	کاوسار
Centro	تسينترو
cercar	تسيرکار
certe	تسيرته
character	کاراکتير
characterisate	کاراکتيريساته
characteristica	کاراکتيريستيکا
Charta	کارتا
Chimia	کيميا
chimic	کيميک
chimico	کيميکو
chirurgia	کيرورگيا
chloro	کلورو
Christo	کريستو
circular	تسيرکولار
circumstantias	تسيرکومستانتسياس
classe	کلاسه
Classes	کلاسيس
classifica	کلاسيفيکا
clicca	کليکا
color	کولور
committite	کوميتيته
Considerante	کونسيديرانته
constitue	کونستيتوه
crear	کريار
creder	کريدير
crimine	کريمينه
crimines	کريمينيس
cruel	کرويل
crusta	کروستا
crystallin	کريستالين
crystallo	کريستالو
crystallographic	کريستالوگرافيک
culpabilitate	کولپابيليتاته
culto	کولتو
cultural	کولتورال
damno	دامنو
Declaration	ديکلاراتسيون
delicto	ديليکتو
Derectos	ديريکتوس
detalio	ديتاليو
determinate	ديتيرميناته
direction	ديريکتسيون
discoperimentos	ديسکوپيريمينتوس
disoccupation	ديسوکوپاتسيون
domicilio	دوميتسيليو
Domo	دومو
dotate	دوتاته
down	دوون
duo	دوو
durante	دورانته
duration	دوراتسيون
Einstein	ايينستيين
elementari	ايليمينتاري
Elemento	ايليمينتو
Elementos	ايليمينتوس
esser	ايسير
existentia	ايکسيستينتسيا
face	فاتسه
facite	فاتسيته
favorabile	فاوورابيله
feminas	فيميناس
fermiones	فيرميونيس
fide	فيده
fin	فين
forma	فورما
Formas	فورماس
formate	فورماته
francese	فرانتسيسه
fraternitate	فراتيرنيتاته
frontieras	فرونتسيراس
fruer	فروير
function	فونکتسيون
fundar	فوندار
fundate	فونداته
ganiava	گانياوا
garantia	گارانتسيا
General	گينيرال
generalisate	گينيراليساته
genitores	گينيتوريس
governamento	گوويرنامينتو
gratias	گراتسياس
gravitational	گراويتاتسيونال
graviton	گراويتون
grec	گريک
gruppamento	گروپامينتو
gruppos	گروپوس
gyro	گيرو
ha	آ
habente	آبينته
habitar	آبيتار
Habito	آبيتو
hexagonal	ايکساگونال
Higgs	ايگس
homine	اومينه
homines	اومينيس
honor	اونور
Human	اومان
humanitate	اومانيتاته
humanos	اومانوس
hydrogeno	ايدروگينو
Idem	ايديم
individuos	اينديويدووس
infantes	اينفانتيس
infantia	اينفانتسيا
Inversion	اينويرسيون
Iste	ايسته
jam	ژام
jurisdiction	ژوريسديکتسيون
juste	ژوسته
justitia	ژوستيتسيا
large	لارگه
largemente	لارگيمينته
Le	له
legalmente	ليگالمينته
lege	ليگه
legier	ليدژير
libere	ليبيره
limitation	ليميتاتسيون
lineas	لينياس
lo	لو
locos	لوکوس
lor	لور
Ma	ما
major	ماژور
manifestar	مانيفيستار
massas	ماساس
Materia	ماتيريا
medio	ميديو
melior	ميليور
Membros	ميمبروس
mente	مينته
message	ميسادژه
minerales	مينيراليس
Mineralogia	مينيرالوگيا
minus	مينوس
miseria	ميسيريا
Modelo	موديلو
moderne	موديرنه
modificar	موديفيکار
Modification	موديفيکاتسيون
monoclinic	مونوکلينيک
mundo	موندو
nascite	ناستسيته
Nationes	ناتسيونيس
natura	ناتورا
necessari	نيتسيساري
Necuno	نيکونو
neutre	نيوتره
neutrones	نيوترونيس
ni	ني
nivello	نيويلو
nomine	نومينه
Non	نون
Nonobstante	نونوبستانته
nontrovate	نونتروواته
Nos	نوس
nube	نوبه
nubile	نوبيله
Nucleo	نوکليو
Nulle	نوله
numero	نوميرو
obligationes	اوبليگاتسيونيس
observantia	اوبسيروانتسيا
omne	اومنه
Ora	اورا
Organisation	اورگانيساتسيون
paises	پايسيس
parte	پارته
partir	پارتير
penas	پيناس
Per	پير
persona	پيرسونا
pertiner	پيرتينير
philosophos	فيلوسوفوس
physic	فيسيک
Physica	فيسيکا
Pinacoide	پيناکويده
Plano	پلانو
plen	پلين
plenmente	پلينمينته
plus	پلوس
populo	پوپولو
positive	پوسيتيوه
Possede	پوسيده
possibile	پوسيبيله
Posterior	پوستيريور
practica	پراکتيکا
preferente	پريفيرينته
Premio	پريميو
prende	پرينده
Presenta	پريسينتا
presumite	پريسوميته
primari	پريماري
Prismas	پريسماس
private	پريواته
privatemente	پريواتيمينته
Pro	پرو
Proclama	پروکلاما
proque	پروکه
provocation	پرووکاتسيون
public	پوبليک
publicamente	پوبليکامينته
publico	پوبليکو
pyramides	پيراميديس
quadro	کوادرو
qualcunque	کوالکونکه
quantitate	کوانتيتاته
Radioactivitate	راديواکتيويتاته
radios	راديوس
Radium	راديوم
reaggrupa	رياگروپا
Realitate	رياليتاته
Reflexion	ريفليکسيون
Relativitate	ريلاتيويتاته
religiose	ريليگيوسه
reposo	ريپوسو
ritos	ريتوس
roccose	روکوسه
rombic	رومبيک
rotation	روتاتسيون
salario	سالاريو
satisfacer	ساتيسفاتسير
satisfaction	ساتيسفاکتسيون
scalenohedros	سکالينويدروس
scientia	ستسيينتسيا
scientific	ستسيينتيفيک
sclavitude	سکلاويتوده
sclavos	سکلاووس
scopos	سکوپوس
scriber	سکريبير
sequite	سيکويته
servicios	سيرويتسيوس
sexo	سيکسو
Si	سي
simple	سيمپله
sin	سين
solmente	سولمينته
Solo	سولو
soveranitate	سوويرانيتاته
sparticulas	سپارتيکولاس
spatial	سپاتسيال
spatio	سپاتسيو
special	سپيتسيال
specie	سپيتسيه
sperar	سپيرار
Sphenoide	سفينويده
spirito	سپيريتو
sposos	سپوسوس
Standard	ستاندارد
Stato	ستاتو
Statos	ستاتوس
statuto	ستاتوتو
structura	ستروکتورا
studia	ستوديا
studiar	ستوديار
studios	ستوديوس
Su	سو
Substantia	سوبستانتسيا
sue	سوه
superior	سوپيريور
supersymmetric	سوپيرسيميتريک
symbolo	سيمبولو
Symmetria	سيميتريا
syndicatos	سينديکاتوس
systema	سيستيما
systemas	سيستيماس
tabella	تابيلا
tal	تال
tamben	تامبين
ternari	تيرناري
terrestre	تيريستره
territorio	تيريتوريو
Theoria	تيوريا
Thorium	توريوم
torturas	تورتوراس
Tote	توته
Totes	توتيس
totevia	توتيويا
tracta	تراکتا
tractamentos	تراکتامينتوس
travalios	تراواليوس
tribunal	تريبونال
triclinic	تريکلينيک
tridimensional	تريديمينسيونال
trova	ترووا
trovar	ترووار
Tu	تو
tutela	توتيلا
typo	تيپو
tyrannia	تيرانيا
Un	اون
unic	اونيک
Unite	اونيته
Universal	اونيويرسال
universo	اونيويرسو
vacantias	واکانتسياس
vacue	واکوه
valores	والوريس
vermente	ويرمينته
verso	ويرسو
vetulessa	ويتوليسا
viagiar	ويادژار
vice	ويتسه
Vide	ويده
visar	ويسار
vita	ويتا
voluntate	وولونتاته
voto	ووتو
Wikipedia	ويکيپيديا
