# Baby names
ਅਂਗਦ	انجد
ਅਂਗਦ ਦੇਵ	انجد دیو
ਅਂਗਾਰਿਕਾ	انجاریكا
ਅਂਤਰਜੋਤ	انترجوت
ਅਂਤਰਪ੍ਰਿਤ	انتربریت
ਅਂਤਰਾ	انترا
ਅਕਲਤਟ	اكلتط
ਅਕਲਰੂਪ	اكلروب
ਅਕਲਸ਼ਰਣ	اكلسرن
ਅਕਲਸੀਮਾਰ	اكلسیمار
ਅਕਾਲਜੋਗ	اكالجوج
ਅਕਾਲਦੀਪ	اكالدیب
ਅਕਾਲਪ੍ਰੀਤ	اكالبریت
ਅਕਾਲਬੀਰ	اكالبیر
ਅਗਮਜੀਤ	اجمجیت
ਅਗਮਜੋਤ	اجمجوت
ਅਗਮ੍ਪਾਲ	اجمبال
ਅਗਮ੍ਪ੍ਰੀਤ	اجمبریت
ਅਜ੍ਮੀਨ੍ਦੇਰ	اجمیندیر
ਅਝਾਦਬੀਰ	اجهادبیر
ਅਝੀਝ	اجهیجه
ਅਤੀਨਦੇਰ੍ਜਿਤ	اتیندیرجیت
ਅਤੀਨ੍ਦੇਰ	اتیندیر
ਅਤ੍ਤਾਮਜਿਤ	اتتامجیت
ਅਨਂਤਦੇਵ	اننتدیو
ਅਨਂਤਰ	اننتر
ਅਨਂਤਵੀਰ	اننتویر
ਅਨਂਤ੍ਜੀਤ	اننتجیت
ਅਨਾਹਤ	اناهت
ਅਨਿਂਦਿਤਾ	انیندیتا
ਅਨਿਸ਼ਾ	انیسا
ਅਨੀਲਜੋਤ	انیلجوت
ਅਨੀਸ਼੍ਕੋਉਂਰ	انیسكوونر
ਅਨੁਂਜਪਾਲ	انونجبال
ਅਨੁਂਪਜੋਤ	انونبجوت
ਅਨੁਰਾਧਾ	انورادها
ਅਨੁਸ਼੍ਕਾ	انوسكا
ਅਨੂਪਜੋਤ	انوبجوت
ਅਨੂਪਬੀਰ	انوببیر
ਅਨੂਪਲੋਕ	انوبلوك
ਅਪੂਰ੍ਵਾ	ابوروا
ਅਪ੍ਰੀਨਦੇਰ	ابریندیر
ਅਬਨੀ	ابنی
ਅਬਿਚਾਲ	ابیتشال
ਅਬਿਨਾਸ਼	ابیناس
ਅਭਿਜੀਤ	ابهیجیت
ਅਭਿਰੂਪ	ابهیروب
ਅਮਨਜੀਤ	امنجیت
ਅਮਰਜੋਤ	امرجوت
ਅਮਰਤ	امرت
ਅਮਰਿਂਦਰ	امریندر
ਅਮਰਿਤ	امریت
ਅਮਲਜੋਤ	املجوت
ਅਮਾਨਜੀਵਨ	امانجیون
ਅਮਾਨੀਨ੍ਦੇਰ	امانیندیر
ਅਮਾਨ੍ਰੂਪ	امانروب
ਅਮਾਰ੍ਪਾਲ	اماربال
ਅਮਾਰ੍ਬੀਰ	اماربیر
ਅਮਿਕ	امیك
ਅਮਿਤ	امیت
ਅਮਿਤੋਜ	امیتوج
ਅਮੀਤਪਾਲ	امیتبال
ਅਮੀਤ੍ਬੀਰ	امیتبیر
ਅਮੋਲ੍ਰਸ	امولرس
ਅਮ੍ਨੀਨ੍ਦੇਰ	امنیندیر
ਅਮ੍ਰੀਤਬਾਨ	امریتبان
ਅਮ੍ਰੀਤ੍ਪ੍ਰਿਤ	امریتبریت
ਅਮ੍ਰੀਤ੍ਵਾਨੀ	امریتوانی
ਅਰਮਾਨੀ	ارمانی
ਅਰਵਜੋਤ	اروجوت
ਅਰੀਨਾਜੇਤ	اریناجیت
ਅਰੀਨ੍ਦੇਰ੍ਜੀਤ	اریندیرجیت
ਅਰੁਨਜੀਤ	ارونجیت
ਅਰੁਨਜੋਤ	ارونجوت
ਅਰ੍ਚਨਾ	ارتشنا
ਅਰ੍ਦਮਨ	اردمن
ਅਰ੍ਨਾਲੀਨ੍ਦੇਰ	ارنالیندیر
ਅਰ੍ਸ਼੍ਦੀਪ	ارسدیب
ਅਲੋਕ੍ਪਾਲ	الوكبال
ਅਲ੍ਪਨਾ	البنا
ਅਵਨੀਨਦੇਰ	اونیندیر
ਅਵਿਰ	اویر
ਅਵ੍ਲੀਨ	اولین
ਅਸਂਖ	اسنكه
ਅਸ਼ਮਿਤ	اسمیت
ਅਸ਼ਰ੍ਨਾਮ	اسرنام
ਅਸ਼ਰ੍ਪ੍ਰੀਤ	اسربریت
ਅਸ਼ਰ੍ਪ੍ਰੇਮ	اسربریم
ਅਸ਼ਰ੍ਵੀਰ	اسرویر
ਅਸ਼ਿਮਾ	اسیما
ਅਸੀਮ	اسیم
ਅਸੀਸ	اسیس
ਅਸ੍ਨੇਹ	اسنیه
ਆਖਰੀ	آكهری
ਆਤ੍ਮਜਾ	آتمجا
ਆਨਂਦਮਯੀ	آنندمیی
ਆਨਂਦਰੂਪ	آنندروب
ਆਯਕਾਰ	آیكار
ਆਯਾਤਪ੍ਰਿਤ	آیاتبریت
ਆਯੁਸ਼੍ਮਤਿ	آیوسمتی
ਆਰਮਾਨ	آرمان
ਆਰਾਧ	آراده
ਆਰਾਧਨਾ	آرادهنا
ਆਰ੍ਯਨ	آرین
ਇਂਦਰਬੀਰ	إندربیر
ਇਂਦਿਵਰ	إندیور
ਇਕਪ੍ਰਿਤ	إكبریت
ਇਕਬਾਲ	إكبال
ਇਕਰੂਪ	إكروب
ਇਕ੍ਪੂਜ	إكبوج
ਇਕ੍ਮਾਨ	إكمان
ਇਚ੍ਕਜਿਤ	إتشكجیت
ਇਨ੍ਦਾਰਤੇਜ	إندارتیج
ਇਨ੍ਦਾਰਮਿਤ	إندارمیت
ਇਨ੍ਦਾਰ੍ਦੀਪ	إنداردیب
ਇਨ੍ਦਾਰ੍ਪ੍ਰਿਤ	إنداربریت
ਇਨ੍ਦਾਰ੍ਪ੍ਰੇਮ	إنداربریم
ਇਨ੍ਦੇਰ	إندیر
ਇਨ੍ਦੇਰਪਲ	إندیربل
ਇਨ੍ਦੇਰਮਾਨ	إندیرمان
ਇਨ੍ਦੇਰਹਾਰ੍ਜਿਤ	إندیرهارجیت
ਇਮਰਾਤ	إمرات
ਈਖ੍ਤਿਅਰ	إكهتیار
ਈਨ੍ਦਰ੍ਜੀਏਤ	إندرجییت
ਈਨ੍ਦੇਰਤੇਕ	إندیرتیك
ਈਨ੍ਦੇਰਵੀਰ	إندیرویر
ਈਬਾਦਤ	إبادت
ਈਸ਼ਪਾਲ	إسبال
ਈਸ਼ਲੀਨ	إسلین
ਈਸ਼ਾਰਤੇਕ	إسارتیك
ਈਸ਼ਾਰਪਾਲ	إساربال
ਈਸ਼੍ਤ੍ਵਰ੍ਜਿਤ	إستورجیت
ਈਸ਼੍ਪ੍ਰਿਤ	إسبریت
ਈਸ਼੍ਵਾਰ੍ਜਿਤ	إسوارجیت
ਈਸ਼੍ਵੀਨਦੇਰ	إسویندیر
ਉਖ੍ਤਿਅਰ	وكهتیار
ਉਚਪਾਲ	وتشبال
ਉਚਪ੍ਰਿਤ	وتشبریت
ਉਚੀਤਦੀਪ	وتشیتدیب
ਉਚੀਤਪ੍ਰਿਤ	وتشیتبریت
ਉਚੀਤਬੀਰ	وتشیتبیر
ਉਚੀਤਰੂਪ	وتشیتروب
ਉਚੀਤਲੋਕ	وتشیتلوك
ਉਚੀਤਵਂਤ	وتشیتونت
ਉਜਗਰ੍ਜੋਤ	وججرجوت
ਉਜਗਰ੍ਦੀਪ	وججردیب
ਉਜਗਰ੍ਬੀਰ	وججربیر
ਉਜਾਗਰ	وجاجر
ਉਜਾਲਾ	وجالا
ਉਜ੍ਜਲਜੋਤ	وججلجوت
ਉਤ੍ਤਮ	وتتم
ਉਤ੍ਤਮਪਾਲ	وتتمبال
ਉਤ੍ਤਮਲੀਵ	وتتملیو
ਉਤ੍ਤਾਮਕਾਰਾਮ	وتتامكارام
ਉਤ੍ਤਾਮਜੋਧ	وتتامجوده
ਉਤ੍ਤਾਮਤਿਰਥ	وتتامتیرته
ਉਤ੍ਤਾਮਤੇਕ	وتتامتیك
ਉਤ੍ਤਾਮਦੀਪ	وتتامدیب
ਉਤ੍ਤਾਮਪਦ	وتتامبد
ਉਤ੍ਤਾਮ੍ਰਸ	وتتامرس
ਉਤ੍ਤਾਮ੍ਰੂਪ	وتتامروب
ਉਤ੍ਰਕ੍ਸ਼	وتركس
ਉਦੀਤਦੀਪ	ودیتدیب
ਉਦੀਤਪ੍ਰਿਤ	ودیتبریت
ਉਦੀਤਬੀਰ	ودیتبیر
ਉਦੈਬੀਰ	ودایبیر
ਉਦੈਭਗਤ	ودایبهجت
ਉਦ੍ਦਾਮਜੀਤ	وددامجیت
ਉਪਕਰਮ	وبكرم
