Aқтау	آقتاو
Абай	آباي
Алға	آلقا
Арал	آرال
Арыс	آرس
Арқалық	آرقالق
Атбасар	آتباسار
Атырау	آتراو
Аягөз	آياگيوز
Ақкөл	آقکيول
Ақсай	آقساي
Ақсу	آقسو
Ақтөбе	آقتيوبيه
Балқаш	بالقاش
Булаев	بولايو
Державинск	ديرژاوينسک
Екібастұз	ايکباستوز
Ембі	ايمبه
Ерейментау	ايرييمينتاو
Есік	ايسک
Есіл	ايسل
Жаркент	ژارکينت
Жаңатас	ژانگاتاس
Жаңаөзен	ژانگايوزين
Жезқазған	ژيزقازقان
Жем	ژيم
Жетісай	ژيتساي
Жітіқара	ژتقارا
Зайсан	زايسان
Зыряновск	زريانووسک
Кентау	کينتاو
Курчатов	کورتشاتوو
Көкшетау	کيوکشيتاو
Ленгер	لينگير
Лисаковск	ليساکووسک
Макинск	ماکينسک
Мамлют	مامليوت
Орал	اوورال
Павлодар	پاولوودار
Петропавл	پيترووپاول
Приозерск	پريووزيرسک
Риддер	ريددير
Рудный	رودني
Саран	ساران
Сарыағаш	ساراقاش
Сарқан	سارقان
Семей	سيميي
Сергеев	سيرگييو
Серебрянск	سيريبريانسک
Степногорск	ستيپنووگوورسک
Степняк	ستيپنياک
Сәтбаев	ساتبايو
Тайынша	تاينشا
Талдықорған	تالدقوورقان
Талғар	تالقار
Тараз	تاراز
Текелі	تيکيله
Темір	تيمر
Теміртау	تيمرتاو
Түркістан	تورکستان
Форт-Шевченко	فوورت شيوتشينکوو
Хромтау	خروومتاو
Шалқар	شالقار
Шар	شار
Шардара	شاردارا
Шахтинск	شاختينسک
Шемонаиха	شيموونايخا
Шу	شو
Шымкент	شمکينت
Щучинск	شوتشينسک
Қазалы	قازاله
Қандыағаш	قانداقاش
Қапшағай	قاپشاقاي
Қаражал	قاراژال
Қаратау	قاراتاو
Қарағанды	قاراقانده
Қарқаралы	قارقاراله
Қаскелең	قاسکيلينگ
Қостанай	قووستاناي
Қызылорда	قزلووردا
Құлсары	قولساره
Үшарал қаласы	اوشارال قالاسه
Үштөбе	اوشتيوبيه
Өскемен	ايوسکيمين
