# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	ਅਸੇਨ੍ਸ਼ਨ੍ ਦ੍ਵੀਪ
ಅಂಡೋರಾ	ਅਂਡੋਰਾ
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	ਸੰਯੁਕ੍ਤ ਅਰਬ੍ ਏਮਿਰੇਟਸ੍
ಅಫಘಾನಿಸ್ಥಾನ್	ਅਫਘਾਨਿਸ੍ਥਾਨ੍
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	ਆਂਟਿਗੁਵਾ ਮਤ੍ਤੁ ਬਰ੍ਬੁਡਾ
ಆಂಗುಯಿಲ್ಲಾ	ਆਂਗੁਯਿਲ੍ਲਾ
ಅಲ್ಬೇನಿಯಾ	ਅਲ੍ਬੇਨਿਯਾ
ಅರ್ಮೇನಿಯಾ	ਅਰ੍ਮੇਨਿਯਾ
ಅಂಗೋಲಾ	ਅਂਗੋਲਾ
ಅಂಟಾರ್ಟಿಕಾ	ਅਂਟਾਰ੍ਟਿਕਾ
ಅರ್ಜೆಂಟಿನಾ	ਅਰ੍ਜੇਂਟਿਨਾ
ಅಮೇರಿಕನ್ ಸಮೋವಾ	ਅਮੇਰਿਕਨ੍ ਸਮੋਵਾ
ಆಸ್ಟ್ರಿಯಾ	ਆਸ੍ਟ੍ਰਿਯਾ
ಆಸ್ಟ್ರೇಲಿಯ	ਆਸ੍ਟ੍ਰੇਲਿਯ
ಅರುಬಾ	ਅਰੁਬਾ
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ਆਲ੍ਯਾਂਡ੍ ਦ੍ਵੀਪਗਲੁ
ಅಜರ್ಬೈಜಾನ್	ਅਜਰ੍ਬੈਜਾਨ੍
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	ਬੋਸ੍ਨਿਯਾ ਮਤ੍ਤੁ ਹਰ੍ਜੇਗੋਵਿਨਾ
ಬಾರ್ಬಡೋಸ್	ਬਾਰ੍ਬਡੋਸ੍
ಬಾಂಗ್ಲಾದೇಶ್	ਬਾਂਗ੍ਲਾਦੇਸ਼੍
ಬೆಲ್ಜಿಯಮ್	ਬੇਲ੍ਜਿਯਮ੍
ಬುರ್ಕಿನಾ ಫಾಸೋ	ਬੁਰ੍ਕਿਨਾ ਫਾਸੋ
ಬಲ್ಗೇರಿಯಾ	ਬਲ੍ਗੇਰਿਯਾ
ಬಹರೈನ್	ਬਹਰੈਨ੍
ಬುರುಂಡಿ	ਬੁਰੁਂਡਿ
ಬೆನಿನ್	ਬੇਨਿਨ੍
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	ਸੇਂਟ੍ ਬਾਰ੍ਥੇਲੇਮਿ
ಬರ್ಮುಡಾ	ਬਰ੍ਮੁਡਾ
ಬ್ರೂನಿ	ਬ੍ਰੂਨਿ
ಬೊಲಿವಿಯಾ	ਬੋਲਿਵਿਯਾ
ಕೆರೀಬಿಯನ್ ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	ਕੇਰੀਬਿਯਨ੍ ਨੇਦਰ੍‌ਲ੍ਯਾਂਡ੍ਸ੍
ಬ್ರೆಜಿಲ್	ਬ੍ਰੇਜਿਲ੍
ಬಹಾಮಾಸ್	ਬਹਾਮਾਸ੍
ಭೂತಾನ್	ਭੂਤਾਨ੍
ಬೋವೆಟ್ ದ್ವೀಪ	ਬੋਵੇਟ੍ ਦ੍ਵੀਪ
ಬೋಟ್ಸ್‌ವಾನಾ	ਬੋਟ੍ਸ੍‌ਵਾਨਾ
ಬೆಲಾರಸ್	ਬੇਲਾਰਸ੍
ಬೆಲಿಜ್	ਬੇਲਿਜ੍
ಕೆನಡಾ	ਕੇਨਡਾ
ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು	ਕੋਕੋਸ੍ (ਕੀਲਿਂਗ੍) ਦ੍ਵੀਪਗਲੁ
ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ	ਕਾਂਗੋ - ਕਿਨ੍ਸ਼ਾਸਾ
ಕಾಂಗೋ (DRC)	ਕਾਂਗੋ (DRC)
ಮಧ್ಯ ಆಫ್ರಿಕಾ ಗಣರಾಜ್ಯ	ਮਧ੍ਯ ਆਫ੍ਰਿਕਾ ਗਣਰਾਜ੍ਯ
ಕಾಂಗೋ - ಬ್ರಾಜಾವಿಲ್ಲೇ	ਕਾਂਗੋ - ਬ੍ਰਾਜਾਵਿਲ੍ਲੇ
