# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ਏਸੇਨ੍ਸ਼ਨ ਆਇਲੇਨ੍ਡ
ઍંડોરા	ਏਂਡੋਰਾ
યુનાઇટેડ આરબ અમીરાત	ਯੁਨਾਇਟੇਡ ਆਰਬ ਅਮੀਰਾਤ
અફઘાનિસ્તાન	ਅਫਘਾਨਿਸ੍ਤਾਨ
એન્ટીગુઆ અને બર્મુડા	ਏਨ੍ਟੀਗੁਆ ਅਨੇ ਬਰ੍ਮੁਡਾ
ઍંગ્વિલા	ਏਂਗ੍ਵਿਲਾ
અલ્બેનિયા	ਅਲ੍ਬੇਨਿਯਾ
આર્મેનિયા	ਆਰ੍ਮੇਨਿਯਾ
અંગોલા	ਅਂਗੋਲਾ
એન્ટાર્કટિકા	ਏਨ੍ਟਾਰ੍ਕਟਿਕਾ
આર્જેન્ટીના	ਆਰ੍ਜੇਨ੍ਟੀਨਾ
અમેરીકન સમોઆ	ਅਮੇਰੀਕਨ ਸਮੋਆ
ઑસ્ટ્રિયા	ਓਸ੍ਟ੍ਰਿਯਾ
ઑસ્ટ્રેલિયા	ਓਸ੍ਟ੍ਰੇਲਿਯਾ
અરુબા	ਅਰੁਬਾ
એલેંડ ટાપુઓ	ਏਲੇਂਡ ਟਾਪੁਓ
અઝરબૈજાન	ਅਝਰਬੈਜਾਨ
બોસ્નિયા અને હર્ઝેગોવિના	ਬੋਸ੍ਨਿਯਾ ਅਨੇ ਹਰ੍ਝੇਗੋਵਿਨਾ
બાર્બાડોસ	ਬਾਰ੍ਬਾਡੋਸ
બાંગ્લાદેશ	ਬਾਂਗ੍ਲਾਦੇਸ਼
બેલ્જીયમ	ਬੇਲ੍ਜੀਯਮ
બુર્કિના ફાસો	ਬੁਰ੍ਕਿਨਾ ਫਾਸੋ
બલ્ગેરિયા	ਬਲ੍ਗੇਰਿਯਾ
બેહરીન	ਬੇਹਰੀਨ
બુરુંડી	ਬੁਰੁਂਡੀ
બેનિન	ਬੇਨਿਨ
સેન્ટ બાર્થેલેમી	ਸੇਨ੍ਟ ਬਾਰ੍ਥੇਲੇਮੀ
બર્મુડા	ਬਰ੍ਮੁਡਾ
બ્રુનેઇ	ਬ੍ਰੁਨੇਇ
બોલિવિયા	ਬੋਲਿਵਿਯਾ
કેરેબિયન નેધરલેન્ડ્ઝ	ਕੇਰੇਬਿਯਨ ਨੇਧਰਲੇਨ੍ਡ੍ਝ
બ્રાઝિલ	ਬ੍ਰਾਝਿਲ
બહામાસ	ਬਹਾਮਾਸ
ભૂટાન	ਭੂਟਾਨ
બૌવેત આઇલેન્ડ	ਬੌਵੇਤ ਆਇਲੇਨ੍ਡ
બોત્સ્વાના	ਬੋਤ੍ਸ੍ਵਾਨਾ
બેલારુસ	ਬੇਲਾਰੁਸ
બેલીઝ	ਬੇਲੀਝ
કેનેડા	ਕੇਨੇਡਾ
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	ਕੋਕੋਝ (ਕੀਲੀਂਗ) ਆਇਲੇਨ੍ਡ੍ਸ
કોંગો - કિંશાસા	ਕੋਂਗੋ - ਕਿਂਸ਼ਾਸਾ
કોંગો (ડીઆરસી)	ਕੋਂਗੋ (ਡੀਆਰਸੀ)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	ਸੇਨ੍ਟ੍ਰਲ ਆਫ੍ਰਿਕਨ ਰੀਪਬ੍ਲਿਕ
કોંગો - બ્રાઝાવિલે	ਕੋਂਗੋ - ਬ੍ਰਾਝਾਵਿਲੇ
કોંગો (પ્રજાસત્તાક)	ਕੋਂਗੋ (ਪ੍ਰਜਾਸਤ੍ਤਾਕ)
સ્વિટ્ઝર્લૅન્ડ	ਸ੍ਵਿਟ੍ਝਰ੍ਲੈਨ੍ਡ
