# Territory names from CLDR
ଆଣ୍ଡୋରା	ആണ്ഡോരാ
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	സംയുക്ത ആരബ ഏമിരേടസ്
ଆଫାଗାନିସ୍ତାନ୍	ആഫാഗാനിസ്താന്
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	ആണ്ടിഗുആ ഏബം ബാരബുദാ
ଆଙ୍ଗୁଇଲ୍ଲା	ആങ്ഗുഇല്ലാ
ଆଲବାନିଆ	ആലബാനിആ
ଆର୍ମେନିଆ	ആര്മേനിആ
ଆଙ୍ଗୋଲା	ആങ്ഗോലാ
ଆର୍ଣ୍ଟକଟିକା	ആര്ണ്ടകടികാ
ଆର୍ଜେଣ୍ଟିନା	ആര്ജേണ്ടിനാ
ଆମେରିକାନ୍ ସାମୋଆ	ആമേരികാന് സാമോആ
ଅଷ୍ଟ୍ରିଆ	അഷ്ട്രിആ
ଅଷ୍ଟ୍ରେଲିଆ	അഷ്ട്രേലിആ
ଆରୁବା	ആരുബാ
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	ആലാണ്ഡ ആഇസല്യാണ്ഡ
ଆଜେରବାଇଜାନ୍	ആജേരബാഇജാന്
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	ബോസനിആ ഏബം ഹര്ജഗോഭിനാ
ବାରବାଡୋସ୍	ബാരബാഡോസ്
ବାଙ୍ଗଲାଦେଶ୍	ബാങ്ഗലാദേശ്
ବେଲଜିୟମ୍	ബേലജിയമ്
ବୁର୍କିନୋ ଫାସୋ	ബുര്കിനോ ഫാസോ
ବୁଲଗେରିଆ	ബുലഗേരിആ
ବାହାରିନ୍	ബാഹാരിന്
ବୁରୁନ୍ଦି	ബുരുന്ദി
ବେନିନ୍	ബേനിന്
ସେଣ୍ଟ ବାର୍ଥେଲେମି	സേണ്ട ബാര്ഥേലേമി
ବରମୁଡା	ബരമുഡാ
ବ୍ରୁନେଇ	ബ്രുനേഇ
ବୋଲଭିଆ	ബോലഭിആ
ବ୍ରାଜିଲ୍	ബ്രാജില്
ବାହାମାସ୍	ബാഹാമാസ്
ଭୁଟାନ୍	ഭുടാന്
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	ബൌഭേട് ആഇസല്യാണ്ഡ
ବୋଟସ୍ବାନ୍	ബോടസ്ബാന്
ବେଲାରୁଷ୍	ബേലാരുഷ്
ବେଲିଜ୍	ബേലിജ്
କାନାଡା	കാനാഡാ
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	കോകോസ് ആഇസല്യാണ്ഡ
କଙ୍ଗୋ-କିନସାସା	കങ്ഗോ-കിനസാസാ
ମଧ୍ୟ ଆଫ୍ରିକୀୟ ଗଣତନ୍ତ୍ର	മധ്യ ആഫ്രികീയ ഗണതന്ത്ര
କଙ୍ଗୋ-ବ୍ରାଜିଭିଲ୍ଲେ	കങ്ഗോ-ബ്രാജിഭില്ലേ
ସ୍ବିଜରଲ୍ୟାଣ୍ଡ	സ്ബിജരല്യാണ്ഡ
ଆଇବରୀ କୋଷ୍ଟ	ആഇബരീ കോഷ്ട
କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ	കുക് ആഇസല്യാണ്ഡ
