# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	અસેન્શન્ દ્વીપ
ಅಂಡೋರಾ	અંડોરા
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	સંયુક્ત અરબ્ એમિરેટસ્
ಅಫಘಾನಿಸ್ಥಾನ್	અફઘાનિસ્થાન્
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	આંટિગુવા મત્તુ બર્બુડા
ಆಂಗುಯಿಲ್ಲಾ	આંગુયિલ્લા
ಅಲ್ಬೇನಿಯಾ	અલ્બેનિયા
ಅರ್ಮೇನಿಯಾ	અર્મેનિયા
ಅಂಗೋಲಾ	અંગોલા
ಅಂಟಾರ್ಟಿಕಾ	અંટાર્ટિકા
ಅರ್ಜೆಂಟಿನಾ	અર્જેંટિના
ಅಮೇರಿಕನ್ ಸಮೋವಾ	અમેરિકન્ સમોવા
ಆಸ್ಟ್ರಿಯಾ	આસ્ટ્રિયા
ಆಸ್ಟ್ರೇಲಿಯ	આસ્ટ્રેલિય
ಅರುಬಾ	અરુબા
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	આલ્યાંડ્ દ્વીપગળુ
ಅಜರ್ಬೈಜಾನ್	અજર્બૈજાન્
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	બોસ્નિયા મત્તુ હર્જેગોવિના
ಬಾರ್ಬಡೋಸ್	બાર્બડોસ્
ಬಾಂಗ್ಲಾದೇಶ್	બાંગ્લાદેશ્
ಬೆಲ್ಜಿಯಮ್	બેલ્જિયમ્
ಬುರ್ಕಿನಾ ಫಾಸೋ	બુર્કિના ફાસો
ಬಲ್ಗೇರಿಯಾ	બલ્ગેરિયા
ಬಹರೈನ್	બહરૈન્
ಬುರುಂಡಿ	બુરુંડિ
ಬೆನಿನ್	બેનિન્
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	સેંટ્ બાર્થેલેમિ
ಬರ್ಮುಡಾ	બર્મુડા
ಬ್ರೂನಿ	બ્રૂનિ
ಬೊಲಿವಿಯಾ	બોલિવિયા
ಕೆರೀಬಿಯನ್ ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	કેરીબિયન્ નેદર્‌લ્યાંડ્સ્
ಬ್ರೆಜಿಲ್	બ્રેજિલ્
ಬಹಾಮಾಸ್	બહામાસ્
ಭೂತಾನ್	ભૂતાન્
ಬೋವೆಟ್ ದ್ವೀಪ	બોવેટ્ દ્વીપ
ಬೋಟ್ಸ್‌ವಾನಾ	બોટ્સ્‌વાના
ಬೆಲಾರಸ್	બેલારસ્
ಬೆಲಿಜ್	બેલિજ્
ಕೆನಡಾ	કેનડા
ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು	કોકોસ્ (કીલિંગ્) દ્વીપગળુ
ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ	કાંગો - કિન્શાસા
ಕಾಂಗೋ (DRC)	કાંગો (DRC)
ಮಧ್ಯ ಆಫ್ರಿಕಾ ಗಣರಾಜ್ಯ	મધ્ય આફ્રિકા ગણરાજ્ય
ಕಾಂಗೋ - ಬ್ರಾಜಾವಿಲ್ಲೇ	કાંગો - બ્રાજાવિલ્લે
ಕಾಂಗೋ (ಗಣರಾಜ್ಯ)	કાંગો (ગણરાજ્ય)
ಸ್ವಿಟ್ಜರ್ಲ್ಯಾಂಡ್	સ્વિટ્જર્લ્યાંડ્
ಕೋತ್‌ ದಿವಾರ್‍	કોત્‌ દિવાર્‍
ಐವರಿ ಕೋಸ್ಟ್	ઐવરિ કોસ્ટ્
ಕುಕ್ ದ್ವೀಪಗಳು	કુક્ દ્વીપગળુ
ಚಿಲಿ	ચિલિ
ಕ್ಯಾಮರೋನ್	ક્યામરોન્
ಚೀನಾ	ચીના
ಕೊಲಂಬಿಯಾ	કોલંબિયા
ಕ್ಲಿಪ್ಪರ್‌ಟಾನ್ ದ್ವೀಪಗಳು	ક્લિપ્પર્‌ટાન્ દ્વીપગળુ
ಕೊಸ್ಟಾ ರಿಕಾ	કોસ્ટા રિકા
ಕ್ಯೂಬಾ	ક્યૂબા
ಕೇಪ್ ವರ್ಡೆ	કેપ્ વર્ડે
ಕುರಾಕಾವ್	કુરાકાવ્
ಕ್ರಿಸ್ಮಸ್ ದ್ವೀಪ	ક્રિસ્મસ્ દ્વીપ
ಸೈಪ್ರಸ್	સૈપ્રસ્
ಚೆಕ್ ರಿಪಬ್ಲಿಕ್	ચેક્ રિપબ્લિક્
ಜರ್ಮನಿ	જર્મનિ
ಡೈಗೋ ಗಾರ್ಸಿಯ	ડૈગો ગાર્સિય
ಜಿಬೋಟಿ	જિબોટિ
ಡೆನ್ಮಾರ್ಕ್	ડેન્માર્ક્
ಡೊಮಿನಿಕಾ	ડોમિનિકા
ಡೊಮೆನಿಕನ್ ರಿಪಬ್ಲಿಕ್	ડોમેનિકન્ રિપબ્લિક્
ಅಲ್ಗೇರಿಯಾ	અલ્ગેરિયા
ಸೆಯುಟಾ ಹಾಗೂ ಮೆಲಿಲ್ಲಾ	સેયુટા હાગૂ મેલિલ્લા
ಈಕ್ವೆಡಾರ್	ઈક્વેડાર્
ಎಸ್ಟೋನಿಯಾ	એસ્ટોનિયા
ಈಜಿಪ್ಟ್	ઈજિપ્ટ્
ಪಶ್ಚಿಮ ಸಹಾರಾ	પશ્ચિમ સહારા
ಏರಿಟ್ರಿಯಾ	એરિટ્રિયા
ಸ್ಪೇನ್	સ્પેન્
