# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	asainśana ṭāpū
ਅੰਡੋਰਾ	aḍōrā
ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	sayukata araba amīrāta
ਅਫ਼ਗਾਨਿਸਤਾਨ	afagānisatāna
ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ	aiṇṭīgu'ā atē bārabuḍā
ਅੰਗੁਇਲਾ	agu'ilā
ਅਲਬਾਨੀਆ	alabānī'ā
ਅਰਮੀਨੀਆ	aramīnī'ā
ਅੰਗੋਲਾ	agōlā
ਅੰਟਾਰਕਟਿਕਾ	aṭārakaṭikā
ਅਰਜਨਟੀਨਾ	arajanaṭīnā
ਅਮੈਰੀਕਨ ਸਮੋਆ	amairīkana samō'ā
ਆਸਟਰੀਆ	āsaṭarī'ā
ਆਸਟ੍ਰੇਲੀਆ	āsaṭrēlī'ā
ਅਰੂਬਾ	arūbā
ਅਲੈਂਡ ਟਾਪੂ	alaiṇḍa ṭāpū
ਅਜ਼ਰਬਾਈਜਾਨ	azarabā'ījāna
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	bōsanī'ā atē harazēgōvīnā
ਬਾਰਬਾਡੋਸ	bārabāḍōsa
ਬੰਗਲਾਦੇਸ਼	bagalādēśa
ਬੈਲਜੀਅਮ	bailajī'ama
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	burakīnā fāsō
ਬੁਲਗਾਰੀਆ	bulagārī'ā
ਬਹਿਰੀਨ	bahirīna
ਬੁਰੁੰਡੀ	buruḍī
ਬੇਨਿਨ	bēnina
ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ	sēṇṭa bārathēlēmī
ਬਰਮੂਡਾ	baramūḍā
ਬਰੂਨੇਈ	barūnē'ī
ਬੋਲੀਵੀਆ	bōlīvī'ā
ਕੈਰੇਬੀਆਈ ਨੀਦਰਲੈਂਡ	kairēbī'ā'ī nīdaralaiṇḍa
ਬ੍ਰਾਜ਼ੀਲ	brāzīla
ਬਹਾਮਾਸ	bahāmāsa
ਭੂਟਾਨ	bhūṭāna
ਬੌਵੇਟ ਟਾਪੂ	bauvēṭa ṭāpū
ਬੋਟਸਵਾਨਾ	bōṭasavānā
ਬੇਲਾਰੂਸ	bēlārūsa
ਬੇਲੀਜ਼	bēlīza
ਕੈਨੇਡਾ	kainēḍā
ਕੋਕੋਸ (ਕੀਲਿੰਗ) ਟਾਪੂ	kōkōsa (kīliga) ṭāpū
ਕਾਂਗੋ - ਕਿੰਸ਼ਾਸਾ	kāṅgō - kiśāsā
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	kāṅgō lōkatatarī gaṇarāja
ਕੇਂਦਰੀ ਅਫ਼ਰੀਕੀ ਗਣਰਾਜ	kēndarī afarīkī gaṇarāja
ਕਾਂਗੋ - ਬ੍ਰਾਜ਼ਾਵਿਲੇ	kāṅgō - brāzāvilē
ਕਾਂਗੋ ਗਣਰਾਜ	kāṅgō gaṇarāja
ਸਵਿਟਜ਼ਰਲੈਂਡ	saviṭazaralaiṇḍa
ਕੋਟ ਡੀਵੋਆਰ	kōṭa ḍīvō'āra
ਆਇਵਰੀ ਕੋਸਟ	ā'ivarī kōsaṭa
ਕੁੱਕ ਟਾਪੂ	kuka ṭāpū
ਚਿਲੀ	cilī
ਕੈਮਰੂਨ	kaimarūna
ਚੀਨ	cīna
ਕੋਲੰਬੀਆ	kōlabī'ā
ਕਲਿੱਪਰਟਨ ਟਾਪੂ	kaliparaṭana ṭāpū
ਕੋਸਟਾ ਰੀਕਾ	kōsaṭā rīkā
ਕਿਊਬਾ	ki'ūbā
ਕੇਪ ਵਰਡੇ	kēpa varaḍē
ਕੁਰਾਕਾਓ	kurākā'ō
ਕ੍ਰਿਸਮਿਸ ਟਾਪੂ	krisamisa ṭāpū
ਸਾਇਪ੍ਰਸ	sā'iprasa
ਚੈਕ ਗਣਰਾਜ	caika gaṇarāja
ਜਰਮਨੀ	jaramanī
ਡੀਇਗੋ ਗਾਰਸੀਆ	ḍī'igō gārasī'ā
ਜ਼ੀਬੂਤੀ	zībūtī
ਡੈਨਮਾਰਕ	ḍainamāraka
ਡੋਮੀਨਿਕਾ	ḍōmīnikā
ਡੋਮੀਨਿਕਾਈ ਗਣਰਾਜ	ḍōmīnikā'ī gaṇarāja
ਅਲਜੀਰੀਆ	alajīrī'ā
ਸਿਓਟਾ ਅਤੇ ਮੇਲਿੱਲਾ	si'ōṭā atē mēlilā
ਇਕਵੇਡੋਰ	ikavēḍōra
ਇਸਟੋਨੀਆ	isaṭōnī'ā
ਮਿਸਰ	misara
ਪੱਛਮੀ ਸਹਾਰਾ	pachamī sahārā
ਇਰੀਟ੍ਰਿਆ	irīṭri'ā
ਸਪੇਨ	sapēna
ਇਥੋਪੀਆ	ithōpī'ā
ਯੂਰਪੀ ਯੂਨੀਅਨ	yūrapī yūnī'ana
ਫਿਨਲੈਂਡ	phinalaiṇḍa
ਫ਼ਿਜੀ	fijī
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ	fākalaiṇḍa ṭāpū
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ (ਆਈਲਾਸ ਮਾਲਵਿਨਾਸ)	fākalaiṇḍa ṭāpū (ā'īlāsa mālavināsa)
ਮਾਇਕ੍ਰੋਨੇਸ਼ੀਆ	mā'ikrōnēśī'ā
ਫੈਰੋ ਟਾਪੂ	phairō ṭāpū
ਫ਼ਰਾਂਸ	farānsa
ਗਬੋਨ	gabōna
ਯੂਨਾਈਟਡ ਕਿੰਗਡਮ	yūnā'īṭaḍa kigaḍama
ਗ੍ਰੇਨਾਡਾ	grēnāḍā
ਜਾਰਜੀਆ	jārajī'ā
ਫ਼ਰੈਂਚ ਗੁਆਨਾ	farain̄ca gu'ānā
ਗਰਨਜੀ	garanajī
ਘਾਨਾ	ghānā
ਜਿਬਰਾਲਟਰ	jibarālaṭara
ਗ੍ਰੀਨਲੈਂਡ	grīnalaiṇḍa
ਗੈਂਬੀਆ	gaimbī'ā
ਗਿਨੀ	ginī
ਗੁਆਡੇਲੋਪ	gu'āḍēlōpa
ਭੂ-ਖੰਡੀ ਗਿਨੀ	bhū-khaḍī ginī
ਗ੍ਰੀਸ	grīsa
ਦੱਖਣੀ ਜਾਰਜੀਆ ਅਤੇ ਦੱਖਣੀ ਸੈਂਡਵਿਚ ਟਾਪੂ	dakhaṇī jārajī'ā atē dakhaṇī saiṇḍavica ṭāpū
ਗੁਆਟੇਮਾਲਾ	gu'āṭēmālā
ਗੁਆਮ	gu'āma
ਗਿਨੀ-ਬਿਸਾਉ	ginī-bisā'u
ਗੁਯਾਨਾ	guyānā
ਹਾਂਗ ਕਾਂਗ ਐਸਏਆਰ ਚੀਨ	hāṅga kāṅga aisa'ē'āra cīna
ਹਾਂਗ ਕਾਂਗ	hāṅga kāṅga
ਹਰਡ ਤੇ ਮੈਕਡੋਨਾਲਡ ਟਾਪੂ	haraḍa tē maikaḍōnālaḍa ṭāpū
ਹੋਂਡੁਰਸ	hōṇḍurasa
ਕਰੋਏਸ਼ੀਆ	karō'ēśī'ā
ਹੈਤੀ	haitī
ਹੰਗਰੀ	hagarī
ਕੇਨਾਰੀ ਟਾਪੂ	kēnārī ṭāpū
ਇੰਡੋਨੇਸ਼ੀਆ	iḍōnēśī'ā
ਆਇਰਲੈਂਡ	ā'iralaiṇḍa
ਇਜ਼ਰਾਈਲ	izarā'īla
ਆਇਲ ਆਫ ਮੈਨ	ā'ila āpha maina
ਭਾਰਤ	bhārata
ਬਰਤਾਨਵੀ ਹਿੰਦ ਮਹਾਂਸਾਗਰ ਪ੍ਰਦੇਸ਼	baratānavī hida mahānsāgara pradēśa
ਇਰਾਕ	irāka
ਈਰਾਨ	īrāna
ਆਈਸਲੈਂਡ	ā'īsalaiṇḍa
