# Territory names from CLDR
ఎసెషన్ దీవి	ਏਸੇਸ਼ਨ੍ ਦੀਵਿ
అండొర్రా	ਅਂਡੋਰ੍ਰਾ
యునైటెడ్ అరబ్ ఎమిరేట్స్	ਯੁਨੈਟੇਡ੍ ਅਰਬ੍ ਏਮਿਰੇਟ੍ਸ੍
ఆఫ్ఘనిస్తాన్	ਆਫ੍ਘਨਿਸ੍ਤਾਨ੍
ఆంటిగ్వా మరియు బార్బుడా	ਆਂਟਿਗ੍ਵਾ ਮਰਿਯੁ ਬਾਰ੍ਬੁਡਾ
ఆంగవిల్లా	ਆਂਗਵਿਲ੍ਲਾ
అల్బేనియా	ਅਲ੍ਬੇਨਿਯਾ
ఆర్మేనియా	ਆਰ੍ਮੇਨਿਯਾ
అంగోలా	ਅਂਗੋਲਾ
అంటార్కటికా	ਅਂਟਾਰ੍ਕਟਿਕਾ
అర్జెంటీనా	ਅਰ੍ਜੇਂਟੀਨਾ
అమెరికన్ సమోవా	ਅਮੇਰਿਕਨ੍ ਸਮੋਵਾ
ఆస్ట్రియా	ਆਸ੍ਟ੍ਰਿਯਾ
ఆస్ట్రేలియా	ਆਸ੍ਟ੍ਰੇਲਿਯਾ
అరుబా	ਅਰੁਬਾ
ఆలేండ్ దీవులు	ਆਲੇਂਡ੍ ਦੀਵੁਲੁ
అజర్బైజాన్	ਅਜਰ੍ਬੈਜਾਨ੍
బోస్నియా మరియు హెర్జెగొవీనా	ਬੋਸ੍ਨਿਯਾ ਮਰਿਯੁ ਹੇਰ੍ਜੇਗੋਵੀਨਾ
బార్బడోస్	ਬਾਰ੍ਬਡੋਸ੍
బంగ్లాదేశ్	ਬੰਗ੍ਲਾਦੇਸ਼੍
బెల్జియం	ਬੇਲ੍ਜਿਯੰ
బుర్కినా ఫాసో	ਬੁਰ੍ਕਿਨਾ ਫਾਸੋ
బల్గేరియా	ਬਲ੍ਗੇਰਿਯਾ
బహ్రెయిన్	ਬਹ੍ਰੇਯਿਨ੍
బురుండి	ਬੁਰੁਂਡਿ
బెనిన్	ਬੇਨਿਨ੍
సెంట్ బర్తేలెమీ	ਸੇਂਟ੍ ਬਰ੍ਤੇਲੇਮੀ
బెర్ముడా	ਬੇਰ੍ਮੁਡਾ
బ్రూనై	ਬ੍ਰੂਨੈ
బొలీవియా	ਬੋਲੀਵਿਯਾ
కరీబియన్ నెదర్లాండ్స్	ਕਰੀਬਿਯਨ੍ ਨੇਦਰ੍ਲਾਂਡ੍ਸ੍
బ్రెజిల్	ਬ੍ਰੇਜਿਲ੍
బహామాస్	ਬਹਾਮਾਸ੍
భూటాన్	ਭੂਟਾਨ੍
బొవెట్ దీవి	ਬੋਵੇਟ੍ ਦੀਵਿ
బోట్స్వానా	ਬੋਟ੍ਸ੍ਵਾਨਾ
బెలారస్	ਬੇਲਾਰਸ੍
బెలిజ్	ਬੇਲਿਜ੍
కెనడా	ਕੇਨਡਾ
కోకోస్ (కీలింగ్) దీవులు	ਕੋਕੋਸ੍ (ਕੀਲਿਂਗ੍) ਦੀਵੁਲੁ
కాంగో- కిన్షాసా	ਕਾਂਗੋ- ਕਿਨ੍ਸ਼ਾਸਾ
కాంగో (DRC)	ਕਾਂਗੋ (DRC)
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	ਸੇਂਟ੍ਰਲ੍ ਆਫ੍ਰਿਕਨ੍ ਰਿਪਬ੍ਲਿਕ੍
కాంగో- బ్రాజావిల్లి	ਕਾਂਗੋ- ਬ੍ਰਾਜਾਵਿਲ੍ਲਿ
కాంగో (రిపబ్లిక్)	ਕਾਂਗੋ (ਰਿਪਬ੍ਲਿਕ੍)
స్విట్జర్లాండ్	ਸ੍ਵਿਟ੍ਜਰ੍ਲਾਂਡ੍
ఐవరీ కోస్ట్	ਐਵਰੀ ਕੋਸ੍ਟ੍
కుక్ దీవులు	ਕੁਕ੍ ਦੀਵੁਲੁ
చిలీ	ਚਿਲੀ
కామెరూన్	ਕਾਮੇਰੂਨ੍
చైనా	ਚੈਨਾ
కొలంబియా	ਕੋਲੰਬਿਯਾ
క్లిప్పర్టన్ దీవి	ਕ੍ਲਿਪ੍ਪਰ੍ਟਨ੍ ਦੀਵਿ
కోస్టా రికా	ਕੋਸ੍ਟਾ ਰਿਕਾ
క్యూబా	ਕ੍ਯੂਬਾ
కేప్ వెర్డే	ਕੇਪ੍ ਵੇਰ੍ਡੇ
కురాకవో	ਕੁਰਾਕਵੋ
క్రిస్మస్ దీవి	ਕ੍ਰਿਸ੍ਮਸ੍ ਦੀਵਿ
సైప్రస్	ਸੈਪ੍ਰਸ੍
చెక్ రిపబ్లిక్	ਚੇਕ੍ ਰਿਪਬ੍ਲਿਕ੍
జర్మనీ	ਜਰ੍ਮਨੀ
డియాగో గార్సియా	ਡਿਯਾਗੋ ਗਾਰ੍ਸਿਯਾ
జిబౌటి	ਜਿਬੌਟਿ
డెన్మార్క్	ਡੇਨ੍ਮਾਰ੍ਕ੍
డోమెనిక	ਡੋਮੇਨਿਕ
డొమెనికన్ రిపబ్లిక్	ਡੋਮੇਨਿਕਨ੍ ਰਿਪਬ੍ਲਿਕ੍
అల్జీరియా	ਅਲ੍ਜੀਰਿਯਾ
స్యూటా మరియు మెలిల్లా	ਸ੍ਯੂਟਾ ਮਰਿਯੁ ਮੇਲਿਲ੍ਲਾ
ఈక్వడార్	ਈਕ੍ਵਡਾਰ੍
ఎస్టోనియా	ਏਸ੍ਟੋਨਿਯਾ
ఈజిప్ట్	ਈਜਿਪ੍ਟ੍
పడమటి సహారా	ਪਡਮਟਿ ਸਹਾਰਾ
ఎరిట్రియా	ਏਰਿਟ੍ਰਿਯਾ
స్పెయిన్	ਸ੍ਪੇਯਿਨ੍
ఇథియోపియా	ਇਥਿਯੋਪਿਯਾ
యురోపియన్ యునియన్	ਯੁਰੋਪਿਯਨ੍ ਯੁਨਿਯਨ੍
ఫిన్లాండ్	ਫਿਨ੍ਲਾਂਡ੍
ఫిజీ	ਫਿਜੀ
ఫాక్‌ల్యాండ్ దీవులు	ਫਾਕ੍‌ਲ੍ਯਾਂਡ੍ ਦੀਵੁਲੁ
