abagqatswa	أباكشاتسوا
alikho	أليكو
amacebo	أماتشابو
asiphumelelanga	أسيبومالالانغا
basetyhini	باساتشيني
emhlabeni	أمشلاباني
ezengqondo	أزانغتشوندو
ezinjani	أزيندجاني
iintlawulo	إِنتشلاوولو
ikroti	إِكخوتي
iphakamisa	إِباكاميسا
iposi	إِبوسي
isetyenziswa	إِساتشانزيسوا
isinhanha	إِسينانا
kolunye	كولونا
kukugqiba	كوكوكشيبا
kunobhala	كونوبالا
kuxwebhu	كوتشوابو
kwakufanele	كواكوفانالا
kwesiqhelo	كواسيتشالو
lomvuzo	لومفوزو
lorhwebo	لوروابو
lwenkqubela	لوانتشوبالا
mgcini	مكشيني
mnyhadala	منادالا
nangesandla	نانغاسانجلا
nejografi	نادجوغافي
ngentsimi	نغانتسيمي
ngesibane	نغاسيبانا
ngokwalaa	نغوكوالا
ngummi	نغومي
nkcukacha	نتشوكاتشا
nohlahlo	نوشلاشلو
noshishino	نوشيشينو
okufundisela	أكوفونديسالا
oomatshini	أماتشيني
shedyuli	شادجولي
sokutshintsha	سوكوتشينتشا
ukunyaniseka	أكونانيساكا
umhambi	أمامبي
umqeshi	أمتشاشي
weengingqi	أانغينغتشي
wehlabathi	أاشلاباتي
yingxelo	ينغتشالو
yokubambela	يوكوبامبالا
yokuxhobisa	يوكوتشوبيسا
zedemokhrasi	زاداموكراسي
