Азов	Azov
Тамбов	Tambov
Барнаул	Barnaul
Кубань	Kubanʹ
Владимир	Vladimir
Ульяновск	Ulʹyanovsk
Грозный	Groznyy
Волгодонск	Volgodonsk
Дзержинский	Dzerzhinskiy
Нелидово	Nelidovo
Елизово	Yelizovo
Чапаевск	Chapayevsk
Майер	Mayyer
Юрьев	Yurʹyev
Съезд	Sʺyezd
Белкин	Belkin
Ёлкин	Yëlkin
Остриё	Ostriyë
Йёнчёпинг	Yyënchëping
Громадьё	Gromadʹyë
Подъёмный	Podʺyëmnyy
Жуков	Zhukov
Лужники	Luzhniki
Звенигород	Zvenigorod
Вязьма	Vyazʹma
Иркутск	Irkutsk
Апатиты	Apatity
## Кайафа	Kay·afa
Кайафа	Kayafa
Йошкар-Ола	Yoshkar-Ola
Бийск	Biysk
Киров	Kirov
Енисейск	Yeniseysk
Ломоносов	Lomonosov
Нелидово	Nelidovo
Менделеев	Mendeleyev
Каменка	Kamenka
Новосибирск	Novosibirsk
Кандалакша	Kandalaksha
Омск	Omsk
Красноярск	Krasnoyarsk
Петрозаводск	Petrozavodsk
Серпухов	Serpukhov
Ростов	Rostov
Северобайкальск	Severobaykalʹsk
Сковородино	Skovorodino
Чайковский	Chaykovskiy
Тамбов	Tambov
Мытищи	Mytishchi
Углич	Uglich
Дудинка	Dudinka
Фурманов	Furmanov
Уфа	Ufa
Хабаровск	Khabarovsk
Прохладный	Prokhladnyy
Цимлянск	Tsimlyansk
Ельцин	Yelʹtsin
Чебоксары	Cheboksary
Печора	Pechora
Шахтёрск	Shakhtërsk
Мышкин	Myshkin
Щёлково	Shchëlkovo
Ртищево	Rtishchevo
Подъездной	Podʺyezdnoy
## Выудить	Vy·uditʹ
Выудить	Vyuditʹ
## Суык-Су	Su·yk-Su
Суык-Су	Suyk-Su
Ыттык-Кёль	Yttyk-Këlʹ
Тында	Tynda
Тюмень	Tyumenʹ
## Двухэлементный	Dvukh·elementnyy
Двухэлементный	Dvukhelementnyy
Электрогорск	Elektrogorsk
Радиоэлектроника	Radioelektronika
Юбилейный	Yubileynyy
Ключевская	Klyuchevskaya
Якутск	Yakutsk
Брянск	Bryansk
## Соответствие	Sootvet·stviye
Соответствие	Sootvetstviye
## Веснушчатый	Vesnush·chatyy
Веснушчатый	Vesnushchatyy
