# Baby names
അകര്ശാനാ	اكرشانا
അക്ശൈനീഏ	اكشاینیي
അഗജാ	اججا
അചിംത	اتشینت
അചിത	اتشیت
അച്ചിന്ദ്ര	اتشتشیندر
അഡ്യാദവൈതാ	ادیادوایتا
അദഭുതഃ	ادبهوتها
അദേന്യ	ادینی
അദേല	ادیل
അദ്രിതീ	ادریتی
അദ്രീഥീ	ادریتهی
അദ്രീമാം	ادریمان
അദ്വൈയാ	ادواییا
അധര്ഷ	ادهرش
അധിപാ	ادهیبا
അധീരതാ	ادهیرتا
അധ്യുത	ادهیوت
അനംതാമായാ	اننتامایا
അബരനാ	ابرنا
അബിനയ	ابینی
അബിനാ	ابینا
അബീനംദാ	ابینندا
അബീശാ	ابیشا
അഭയ	ابهی
അഭയന	ابهین
അഭിഗ്ന്യാ	ابهیجنیا
അഭിജീതാ	ابهیجیتا
അഭിനിവേശ	ابهینیویش
അഭിമ	ابهیم
അഭിമാനീ	ابهیمانی
അഭിമോദാ	ابهیمیادا
അഭിരാ	ابهیرا
അഭിരാത	ابهیرات
അഭീരല	ابهیرل
അഭീശ്രേയ	ابهیشریی
അഭീസുമത	ابهیسومت
അഭ്യപ്സീത	ابهیبسیت
അഭ്യുദയാ	ابهیودیا
അമൃതാ	امرتا
അലകനംദാ	الكنندا
അലക്ഷാ	الكشا
അല്കാ	الكا
അശവ	اشو
അശ്നേഇല	اشنیيل
ആകാശലീനാ	آكاشلینا
ആകൃഥീ	آكرتهی
ആക്ഷ്യാ	آكشیا
ആചാര്യ	آتشاری
ആത്മയ	آتمی
ആദി	آدی
ആദിമ	آدیم
ആദീവ	آدیو
ആധീരേന	آدهیرین
ആധ്യാ	آدهیا
ആനംദീനീ	آنندینی
ആനീകാ	آنیكا
ആന്തീകാ	آنتیكا
ആന്വീ	آنوی
ആപ്ത	آبت
ആപ്തി	آبتی
ആമാംനീ	آماننی
ആമിഷ	آمیش
ആമുക്ഥാ	آموكتها
ആയുസ	آیوس
ആയോദ	آییاد
ആരംഭീ	آرنبهی
ആരതീ	آرتی
ആരസീ	آرسی
ആര്യ	آری
ആര്യക	آریك
ആര്യനാ	آرینا
ആര്യമാനീ	آریمانی
ആലേഃയാ	آلیهایا
ആവംശ	آونش
ആവേശ	آویش
ആശകാ	آشكا
ആശിയാനാ	آشییانا
ആശുതോഷ	آشوتیاش
ആശ്മീന	آشمین
ആശ്വിത	آشویت
ആസവ	آسو
ആസ്തിക	آستیك
ഇക്ശാനാ	إكشانا
ഇജയാ	إجیا
ഇനീയന	إنیین
ഇനോദയ	إنیادی
ഇന്ദരകാന്ത	إندركانت
ഇന്ദിവാരസ	إندیوارس
ഇന്ദുശിതാലാ	إندوشیتالا
ഇന്ദ്രജാ	إندرجا
ഇന്ദ്രതന	إندرتن
ഇന്ദ്രദയുമ്ന	إندردیومن
ഇന്ദ്രവദന	إندرودن
ഇന്ദ്രാണീ	إندرانی
ഇബ്ബാനീ	إببانی
ഇയുരേശ	إیوریش
ഇയേനഗര	إیینجر
ഇരാജ	إراج
ഇരിത	إریت
ഇരേശ	إریش
ഇലിസാ	إلیسا
ഇശിതാ	إشیتا
ഇശ്വാര്യ	إشواری
ഇഷ്ടാ	إشطا
ഇഷ്ടി	إشطی
ഇസാര	إسار
ഇസ്ശും	إسشون
ഈതന	إتن
ഈതികാ	إتیكا
ഈരേന്പ്രിത	إرینبریت
ഈര്ശീതാ	إرشیتا
ഈലാക്കീയാ	إلاككییا
ഈലികാ	إلیكا
ഈലേശാ	إلیشا
ഈശാര	إشار
ഈശിക	إشیك
ഈശ്വരദത്ത	إشوردتت
ഈഹാ	إها
ഉഗ്രസ്രവാസ	وجرسرواس
ഉജവണീ	وجونی
ഉജേശാ	وجیشا
ഉജ്ജന	وججن
ഉജ്ജവല	وججول
ഉജ്ജവാലാ	وججوالا
ഉജ്ജ്വലാ /ഉജ്വലാ	وججولا /وجولا
ഉജ്ജ്വാലാ	وججوالا
ഉത്കര്ഷ	وتكرش
ഉത്കലാ	وتكلا
ഉത്തര	وتتر
ഉത്പര	وتبر
ഉത്സര്ഗ	وتسرج
ഉദയ കുമാര	ودی كومار
ഉദരഥീ	ودرتهی
ഉദാന്തികാ	ودانتیكا
ഉദേയ	ودیی
ഉദ്ധാര	وددهار
ഉദ്യത	ودیت
ഉദ്യമീ	ودیمی
ഉദ്യോത	ودییات
ഉധവ	ودهو
ഉപംഗ	وبنج
ഉപദാ	وبدا
ഉപാധ്രീതീ	وبادهریتی
ഉപ്പാസ	وبباس
ഉമാ	وما
ഉമേശ്വര	ومیشور
ഉരിശിതാ	وریشیتا
ഉര്ജാ	ورجا
ഉര്ജീകാ	ورجیكا
ഉര്ജീതാ	ورجیتا
ഉര്ദാഹാവ	ورداهاو
ഉര്മികാ	ورمیكا
ഉര്മിമാലാ	ورمیمالا
ഉര്വീനാഥ	ورویناته
ഉല്പേശ	ولبیش
ഉശേന്യ	وشینی
ഉഷാശി	وشاشی
ഉഷ്മാ	وشما
ഉസരീ	وسری
ഊതരാ	وترا
ഊര്വേശ	ورویش
ഏകംശീ	یكنشی
ഏകക്ഷരപരാ	یككشربرا
ഏകതന	یكتن
ഏകതാ	یكتا
ഏകാംശ	یكانش
ഏകാകാന്യ	یكاكانی
ഏകാനീ	یكانی
ഏകാപര്നികാ	یكابرنیكا
ഏകേസ്വാര	یكیسوار
ഏത്തന	یتتن
ഏധിത	یدهیت
ഏമാ	یما
ഏലനാ	یلنا
ഏലാ	یلا
ഏലീലവേംദന	یلیلویندن
ഏലീലീ	یلیلی
ഓഈസീന	اويسین
ഓജസ്വീ	اوجسوی
ഓജാ	اوجا
ഓജീസ	اوجیس
ഓനിശ	اونیش
ഓമപ്രകാശ	اومبركاش
ഓവീന	اووین
ഓവൈസ	اووایس
കംജ	كنج
കംജന	كنجن
കംഠന	كنطهن
കംദര്പ	كندرب
കംപനാ	كنبنا
കകോന	ككیان
കതകീ	كتكی
കതേല്യ്ന	كتیلین
കനക	كنك
കനദ	كند
കനാകംഗീ	كناكنجی
കനീജാ	كنیجا
കനീരാ	كنیرا
കനീസാ	كنیسا
കനുഷ	كنوش
കന്വക	كنوك
കന്ശീകാ	كنشیكا
കപാലീന	كبالین
കപിലാശ്വര	كبیلاشور
കമലാപതി	كملابتی
കമലിനീ	كملینی
കമലേക്ഷണ	كملیكشن
കമ്നാ	كمنا
കരാലാ	كرالا
കരീസമാം	كریسمان
കരുനാസ്രീ	كروناسری
കരുപ്പസമ്യ	كروببسمی
കര്ണ	كرن
കര്തീഗാ	كرتیجا
കര്മദീപ	كرمدیب
കര്മാശ	كرماش
കലരനീ	كلرنی
കലശ	كلش
കലാധര	كلادهر
കലാനിധി	كلانیدهی
കലാപരണ	كلابرن
കലാപീന	كلابین
കലാപ്രിയാ	كلابرییا
കലൈസേലവീ	كلایسیلوی
കവന	كون
കവിപ  പ്രിയ	كویب  بریی
കവീനാഥ	كویناته
കശ്തീ	كشتی
കാജല	كاجل
കാജീശ	كاجیش
കാദമ്ബരീ	كادمبری
കാധിരോലീ	كادهیریالی
കാനീ	كانی
കാന്ജീരാ	كانجیرا
കാന്തീ	كانتی
കാമത	كامت
കാമിഷാ	كامیشا
കാമേശ	كامیش
കാരുണ്യ പ്രകാശ	كارونی بركاش
കാരൂകാ	كاروكا
കാര്നിക	كارنیك
കാലിക	كالیك
കാലിപദാ	كالیبدا
കാലിയാ	كالییا
കാലീതാ	كالیتا
കാവ്യ ശ്രീ	كاوی شری
കിന്നേരാ	كیننیرا
കീഅനാ	كیانا
കീജല	كیجل
കീനാരീ	كیناری
കീന്ചനാ	كینتشنا
കേകലാ	كیكلا
കേതന	كیتن
കേനിഷാ	كینیشا
കേളവ്യ	كیروی
കൈരവീ	كایروی
കൈലാശ	كایلاش
കോശേല	كیاشیل
കൌശികാ	كیشیكا
ഖഗേശ	كهجیش
ഖമീശ	كهمیش
ഖാതീരാവണ	كهاتیراون
ഖാത്വന്ഗീന	كهاتونجین
ഖീലതീ	كهیلتی
ഖുസീ	كهوسی
ഗംഗാ	جنجا
ഗംദേശാ	جندیشا
ഗംധാര	جندهار
ഗംധാരാ	جندهارا
ഗംധാലീ	جندهالی
ഗഗന	ججن
ഗജവദന	ججودن
ഗജേന്ദ്ര	ججیندر
ഗണക	جنك
ഗണനാ പംഡിതന	جننا بندیتن
ഗണനാഥ	جنناته
ഗണ്യാ	جنیا
ഗതി	جتی
ഗനേസന	جنیسن
ഗന്ഗസീരുവന	جنجسیروون
ഗയാലികാ	جیالیكا
ഗരിമാ	جریما
ഗരിഷ്ട	جریشط
ഗരുല	جرول
ഗാഇശ	جايش
ഗാന്ഗമൈന്ദന	جانجمایندن
ഗാമിനീ	جامینی
ഗായത്രീ	جایتری
ഗായലേ	جایلي
ഗിഅന	جیان
ഗിയാ	جییا
ഗിരിവര	جیریور
ഗീതി	جیتی
ഗീതീശാ	جیتیشا
ഗുംജാ	جونجا
ഗുനാജാ	جوناجا
ഗുനാരത്നാ	جونارتنا
ഗുനാശേകാര	جوناشیكار
ഗുനീന	جونین
ഗുന്ജീതാ	جونجیتا
ഗുപ്തക	جوبتك
ഗുരദയാല	جوردیال
ഗുരദേവ	جوردیو
ഗുരബാനീ	جوربانی
ഗുരമാന	جورمان
ഗുരുത്തമ	جوروتتم
ഗുര്നാന്ഡീശ	جورناندیش
ഗുലമോഹര	جولمیاهر
ഗുവീദ	جووید
ഗൂംജീതാ	جونجیتا
ഗൂഹാരീ	جوهاری
ഗേനേലിയാ	جینیلییا
ഗേശനാ	جیشنا
ഗോപാല	جیابال
ഗോപീ നാഥ	جیابی ناته
ഗോഭില	جیابهیل
ഗോരഖ-നാഥ	جیاركه-ناته
ഗൌരവീ	جیروی
ഗൌരീകാംത	جیریكانت
ഗൌരീശ	جیریش
ഗൌര്പ്രിയാ	جیربرییا
ഗ്രീതേശ	جریتیش
ഗ്രീവാ	جریوا
ഗ്രീശ്മീതാ	جریشمیتا
ഗ്രീഷ്മ	جریشم
ഘടോതകത്ചാ	جهطیاتكتتشا
ചംചലാ	تشنتشلا
ചംദേര്ഭാന	تشندیربهان
ചംദ്രകാംത	تشندركانت
ചംദ്രകാംതാ	تشندركانتا
ചംദ്രചുര	تشندرتشور
ചംദ്രപുശ്പാ	تشندربوشبا
ചംദ്രപ്രകാശ	تشندربركاش
ചംദ്രമതി	تشندرمتی
ചംദ്രലേഖാ	تشندرلیكها
ചംദ്രഹാസ	تشندرهاس
ചംദ്രാനന	تشندرانن
ചംദ്രാഭാ	تشندرابها
ചംദ്രേശ	تشندریش
