# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	അ്യാസസേനശന ആഇല്യാന്ഡ
এ্যান্ডোরা	ഏ്യാന്ഡോരാ
সংযুক্ত আরব আমিরাত	സംയുക്ത ആരബ ആമിരാത
আফগানিস্তান	ആഫഗാനിസ്താന
এন্টিগুয়া ও বারবুডা	ഏന്ടിഗുയാ ഓ ബാരബുഡാ
এ্যাঙ্গুইলা	ഏ്യാങ്ഗുഇലാ
আলব্যানিয়া	ആലബ്യാനിയാ
আর্মেনিয়া	ആര്മേനിയാ
অ্যাঙ্গোলা	അ്യാങ്ഗോലാ
অ্যান্টার্কটিকা	അ്യാന്ടാര്കടികാ
আর্জেন্টিনা	ആര്ജേന്ടിനാ
আমেরিকান সামোয়া	ആമേരികാന സാമോയാ
অস্ট্রিয়া	അസ്ട്രിയാ
অস্ট্রেলিয়া	അസ്ട്രേലിയാ
আরুবা	ആരുബാ
আলান্ড দ্বীপপুঞ্জ	ആലാന്ഡ ദ്ബീപപുഞ്ജ
আজারবাইজান	ആജാരബാഇജാന
বসনিয়া ও হার্জেগোভিনা	ബസനിയാ ഓ ഹാര്ജേഗോഭിനാ
বারবাদোস	ബാരബാദോസ
বাংলাদেশ	ബാംലാദേശ
বেলজিয়াম	ബേലജിയാമ
বুরকিনা ফাসো	ബുരകിനാ ഫാസോ
বুলগেরিয়া	ബുലഗേരിയാ
বাহরাইন	ബാഹരാഇന
বুরুন্ডি	ബുരുന്ഡി
বেনিন	ബേനിന
সেন্ট বারথেলিমি	സേന്ട ബാരഥേലിമി
বারমুডা	ബാരമുഡാ
ব্রুনেই	ബ്രുനേഇ
বোলিভিয়া	ബോലിഭിയാ
ক্যারিবিয়ান নেদারল্যান্ডস	ക്യാരിബിയാന നേദാരല്യാന്ഡസ
ব্রাজিল	ബ്രാജില
বাহামা দ্বীপপুঞ্জ	ബാഹാമാ ദ്ബീപപുഞ്ജ
ভুটান	ഭുടാന
বোভেট দ্বীপ	ബോഭേട ദ്ബീപ
বতসোয়ানা	ബതസോയാനാ
বেলোরুশিয়া	ബേലോരുശിയാ
বেলিজ	ബേലിജ
কানাডা	കാനാഡാ
কোকোস (কিলিং)দ্বীপপুঞ্জ	കോകോസ (കിലിം)ദ്ബീപപുഞ്ജ
কঙ্গো-কিনশাসা	കങ്ഗോ-കിനശാസാ
কঙ্গো(DRC)	കങ്ഗോ(DRC)
মধ্য আফ্রিকার প্রজাতন্ত্র	മധ്യ ആഫ്രികാര പ്രജാതന്ത്ര
কঙ্গো - ব্রাজাভিল	കങ്ഗോ - ബ്രാജാഭില
কঙ্গো (প্রজাতন্ত্র)	കങ്ഗോ (പ്രജാതന്ത്ര)
সুইজারল্যান্ড	സുഇജാരല്യാന്ഡ
আইভরি কোস্ট	ആഇഭരി കോസ്ട
কুক দ্বীপপুঞ্জ	കുക ദ്ബീപപുഞ്ജ
চিলি	ചിലി
ক্যামেরুন	ക്യാമേരുന
চীন	ചീന
কোলোম্বিয়া	കോലോമ്ബിയാ
ক্লিপারটন আইল্যান্ড	ക്ലിപാരടന ആഇല്യാന്ഡ
কোস্টারিকা	കോസ്ടാരികാ
কিউবা	കിഉബാ
কেপভার্দে	കേപഭാര്ദേ
কিউরাসাও	കിഉരാസാഓ
ক্রিসমাস দ্বীপ	ക്രിസമാസ ദ്ബീപ
সাইপ্রাস	സാഇപ്രാസ
চেক প্রজাতন্ত্র	ചേക പ്രജാതന്ത്ര
জার্মানি	ജാര്മാനി
দিয়েগো গার্সিয়া	ദിയേഗോ ഗാര്സിയാ
জিবুতি	ജിബുതി
ডেনমার্ক	ഡേനമാര്ക
ডোমিনিকা	ഡോമിനികാ
ডোমেনিকান প্রজাতন্ত্র	ഡോമേനികാന പ്രജാതന്ത്ര
আলজেরিয়া	ആലജേരിയാ
কুউটা এবং মেলিলা	കുഉടാ ഏബം മേലിലാ
ইকুয়েডর	ഇകുയേഡര
এস্তোনিয়া	ഏസ്തോനിയാ
মিশর	മിശര
পশ্চিম সাহারা	പശ്ചിമ സാഹാരാ
ইরিত্রিয়া	ഇരിത്രിയാ
স্পেন	സ്പേന
ইফিওপিয়া	ഇഫിഓപിയാ
ইউরোপীয় ইউনিয়ন	ഇഉരോപീയ ഇഉനിയന
ফিনল্যান্ড	ഫിനല്യാന്ഡ
ফিজি	ഫിജി
ফকল্যান্ড দ্বীপপুঞ্জ	ഫകല്യാന്ഡ ദ്ബീപപുഞ്ജ
ফকল্যান্ড আইল্যান্ড ( ইসল্যাস মাসভেনিস)	ഫകല്യാന്ഡ ആഇല്യാന്ഡ ( ഇസല്യാസ മാസഭേനിസ)
মাইক্রোনেশিয়া	മാഇക്രോനേശിയാ
ফ্যারও দ্বীপপুঞ্জ	ഫ്യാരഓ ദ്ബീപപുഞ്ജ
ফ্রান্স	ഫ്രാന്സ
গ্যাবন	ഗ്യാബന
যুক্তরাজ্য	യുക്തരാജ്യ
গ্রেনেডা	ഗ്രേനേഡാ
জর্জিয়া	ജര്ജിയാ
ফরাসী গায়ানা	ഫരാസീ ഗായാനാ
গ্রাঞ্জি	ഗ്രാഞ്ജി
ঘানা	ഘാനാ
