# Territory names from CLDR
ఎసెషన్ దీవి	ಎಸೆಷನ್ ದೀವಿ
అండొర్రా	ಅಂಡೊರ್ರಾ
యునైటెడ్ అరబ్ ఎమిరేట్స్	ಯುನೈಟೆಡ್ ಅರಬ್ ಎಮಿರೇಟ್ಸ್
ఆఫ్ఘనిస్తాన్	ಆಫ್ಘನಿಸ್ತಾನ್
ఆంటిగ్వా మరియు బార్బుడా	ಆಂಟಿಗ್ವಾ ಮರಿಯು ಬಾರ್ಬುಡಾ
ఆంగవిల్లా	ಆಂಗವಿಲ್ಲಾ
అల్బేనియా	ಅಲ್ಬೇನಿಯಾ
ఆర్మేనియా	ಆರ್ಮೇನಿಯಾ
అంగోలా	ಅಂಗೋಲಾ
అంటార్కటికా	ಅಂಟಾರ್ಕಟಿಕಾ
అర్జెంటీనా	ಅರ್ಜೆಂಟೀನಾ
అమెరికన్ సమోవా	ಅಮೆರಿಕನ್ ಸಮೋವಾ
ఆస్ట్రియా	ಆಸ್ಟ್ರಿಯಾ
ఆస్ట్రేలియా	ಆಸ್ಟ್ರೇಲಿಯಾ
అరుబా	ಅರುಬಾ
ఆలేండ్ దీవులు	ಆಲೇಂಡ್ ದೀವುಲು
అజర్బైజాన్	ಅಜರ್ಬೈಜಾನ್
బోస్నియా మరియు హెర్జెగొవీనా	ಬೋಸ್ನಿಯಾ ಮರಿಯು ಹೆರ್ಜೆಗೊವೀನಾ
బార్బడోస్	ಬಾರ್ಬಡೋಸ್
బంగ్లాదేశ్	ಬಂಗ್ಲಾದೇಶ್
బెల్జియం	ಬೆಲ್ಜಿಯಂ
బుర్కినా ఫాసో	ಬುರ್ಕಿನಾ ಫಾಸೋ
బల్గేరియా	ಬಲ್ಗೇರಿಯಾ
బహ్రెయిన్	ಬಹ್ರೆಯಿನ್
బురుండి	ಬುರುಂಡಿ
బెనిన్	ಬೆನಿನ್
సెంట్ బర్తేలెమీ	ಸೆಂಟ್ ಬರ್ತೇಲೆಮೀ
బెర్ముడా	ಬೆರ್ಮುಡಾ
బ్రూనై	ಬ್ರೂನೈ
బొలీవియా	ಬೊಲೀವಿಯಾ
కరీబియన్ నెదర్లాండ్స్	ಕರೀಬಿಯನ್ ನೆದರ್ಲಾಂಡ್ಸ್
బ్రెజిల్	ಬ್ರೆಜಿಲ್
బహామాస్	ಬಹಾಮಾಸ್
భూటాన్	ಭೂಟಾನ್
బొవెట్ దీవి	ಬೊವೆಟ್ ದೀವಿ
బోట్స్వానా	ಬೋಟ್ಸ್ವಾನಾ
బెలారస్	ಬೆಲಾರಸ್
బెలిజ్	ಬೆಲಿಜ್
కెనడా	ಕೆನಡಾ
కోకోస్ (కీలింగ్) దీవులు	ಕೋಕೋಸ್ (ಕೀಲಿಂಗ್) ದೀವುಲು
కాంగో- కిన్షాసా	ಕಾಂಗೋ- ಕಿನ್ಷಾಸಾ
కాంగో (DRC)	ಕಾಂಗೋ (DRC)
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	ಸೆಂಟ್ರಲ್ ಆಫ್ರಿಕನ್ ರಿಪಬ್ಲಿಕ್
కాంగో- బ్రాజావిల్లి	ಕಾಂಗೋ- ಬ್ರಾಜಾವಿಲ್ಲಿ
కాంగో (రిపబ్లిక్)	ಕಾಂಗೋ (ರಿಪಬ್ಲಿಕ್)
స్విట్జర్లాండ్	ಸ್ವಿಟ್ಜರ್ಲಾಂಡ್
ఐవరీ కోస్ట్	ಐವರೀ ಕೋಸ್ಟ್
కుక్ దీవులు	ಕುಕ್ ದೀವುಲು
చిలీ	ಚಿಲೀ
కామెరూన్	ಕಾಮೆರೂನ್
చైనా	ಚೈನಾ
కొలంబియా	ಕೊಲಂಬಿಯಾ
క్లిప్పర్టన్ దీవి	ಕ್ಲಿಪ್ಪರ್ಟನ್ ದೀವಿ
కోస్టా రికా	ಕೋಸ್ಟಾ ರಿಕಾ
క్యూబా	ಕ್ಯೂಬಾ
