# Territory names from CLDR
असेंशन द्वीप	અસેંશન દ્વીપ
एंडोरा	એંડોરા
संयुक्त अरब अमीरात	સંયુક્ત અરબ અમીરાત
अफ़गानिस्तान	અફ઼ગાનિસ્તાન
एंटिगुआ और बरबुडा	એંટિગુઆ ઔર બરબુડા
एंग्विला	એંગ્વિલા
अल्बानिया	અલ્બાનિયા
आर्मेनिया	આર્મેનિયા
अंगोला	અંગોલા
अंटार्कटिका	અંટાર્કટિકા
अर्जेंटीना	અર્જેંટીના
अमेरिकी समोआ	અમેરિકી સમોઆ
ऑस्ट्रिया	ઑસ્ટ્રિયા
ऑस्ट्रेलिया	ઑસ્ટ્રેલિયા
अरूबा	અરૂબા
एलैंड द्वीपसमूह	એલૈંડ દ્વીપસમૂહ
अज़रबैजान	અજ઼રબૈજાન
बोस्निया और हर्ज़ेगोविना	બોસ્નિયા ઔર હર્જ઼ેગોવિના
बारबाडोस	બારબાડોસ
बांग्लादेश	બાંગ્લાદેશ
बेल्जियम	બેલ્જિયમ
बुर्किना फ़ासो	બુર્કિના ફ઼ાસો
बुल्गारिया	બુલ્ગારિયા
बहरीन	બહરીન
बुरुंडी	બુરુંડી
बेनिन	બેનિન
सेंट बार्थेलेमी	સેંટ બાર્થેલેમી
बरमूडा	બરમૂડા
ब्रूनेई	બ્રૂનેઈ
बोलीविया	બોલીવિયા
कैरिबियन नीदरलैंड	કૈરિબિયન નીદરલૈંડ
ब्राज़ील	બ્રાજ઼ીલ
बहामास	બહામાસ
भूटान	ભૂટાન
बोवेत द्वीप	બોવેત દ્વીપ
बोत्स्वाना	બોત્સ્વાના
बेलारूस	બેલારૂસ
बेलीज़	બેલીજ઼
कनाडा	કનાડા
कोकोस (कीलिंग) द्वीपसमूह	કોકોસ (કીલિંગ) દ્વીપસમૂહ
कांगो - किंशासा	કાંગો - કિંશાસા
कांगो (डीआरसी)	કાંગો (ડીઆરસી)
मध्य अफ़्रीकी गणराज्य	મધ્ય અફ઼્રીકી ગણરાજ્ય
कांगो – ब्राज़ाविल	કાંગો – બ્રાજ઼ાવિલ
कांगो (गणराज्य)	કાંગો (ગણરાજ્ય)
स्विट्ज़रलैंड	સ્વિટ્જ઼રલૈંડ
कोट डी आइवर	કોટ ડી આઇવર
आइवरी कोस्ट	આઇવરી કોસ્ટ
कुक द्वीपसमूह	કુક દ્વીપસમૂહ
चिली	ચિલી
कैमरून	કૈમરૂન
चीन	ચીન
कोलंबिया	કોલંબિયા
क्लिपर्टन द्वीप	ક્લિપર્ટન દ્વીપ
कोस्टारिका	કોસ્ટારિકા
क्यूबा	ક્યૂબા
केप वर्ड	કેપ વર્ડ
क्यूरासाओ	ક્યૂરાસાઓ
क्रिसमस द्वीप	ક્રિસમસ દ્વીપ
साइप्रस	સાઇપ્રસ
चेक गणराज्य	ચેક ગણરાજ્ય
जर्मनी	જર્મની
डिएगो गार्सिया	ડિએગો ગાર્સિયા
जिबूती	જિબૂતી
डेनमार्क	ડેનમાર્ક
डोमिनिका	ડોમિનિકા
डोमिनिकन गणराज्य	ડોમિનિકન ગણરાજ્ય
अल्जीरिया	અલ્જીરિયા
सेउटा और मेलिला	સેઉટા ઔર મેલિલા
इक्वाडोर	ઇક્વાડોર
एस्टोनिया	એસ્ટોનિયા
मिस्र	મિસ્ર
पश्चिमी सहारा	પશ્ચિમી સહારા
इरिट्रिया	ઇરિટ્રિયા
स्पेन	સ્પેન
इथियोपिया	ઇથિયોપિયા
यूरोपीय संघ	યૂરોપીય સંઘ
फ़िनलैंड	ફ઼િનલૈંડ
फ़िजी	ફ઼િજી
फ़ॉकलैंड द्वीपसमूह	ફ઼ૉકલૈંડ દ્વીપસમૂહ
फ़ॉकलैंड द्वीपसमूह (इज़्लास माल्विनास)	ફ઼ૉકલૈંડ દ્વીપસમૂહ (ઇજ઼્લાસ માલ્વિનાસ)
माइक्रोनेशिया	માઇક્રોનેશિયા
फ़ेरो द्वीपसमूह	ફ઼ેરો દ્વીપસમૂહ
फ़्रांस	ફ઼્રાંસ
गैबॉन	ગૈબૉન
यूनाइटेड किंगडम	યૂનાઇટેડ કિંગડમ
ग्रेनाडा	ગ્રેનાડા
जॉर्जिया	જૉર્જિયા
फ़्रेंच गयाना	ફ઼્રેંચ ગયાના
गर्नसी	ગર્નસી
घाना	ઘાના
जिब्राल्टर	જિબ્રાલ્ટર
ग्रीनलैंड	ગ્રીનલૈંડ
गाम्बिया	ગામ્બિયા
गिनी	ગિની
ग्वाडेलूप	ગ્વાડેલૂપ
इक्वेटोरियल गिनी	ઇક્વેટોરિયલ ગિની
यूनान	યૂનાન
दक्षिण जॉर्जिया और दक्षिण सैंडविच द्वीपसमूह	દક્ષિણ જૉર્જિયા ઔર દક્ષિણ સૈંડવિચ દ્વીપસમૂહ
ग्वाटेमाला	ગ્વાટેમાલા
गुआम	ગુઆમ
गिनी-बिसाउ	ગિની-બિસાઉ
गयाना	ગયાના
हाँग काँग (चीन विशेष प्रशासनिक क्षेत्र)	હાઁગ કાઁગ (ચીન વિશેષ પ્રશાસનિક ક્ષેત્ર)
हाँग काँग	હાઁગ કાઁગ
हर्ड द्वीप और मैकडोनॉल्ड द्वीपसमूह	હર્ડ દ્વીપ ઔર મૈકડોનૉલ્ડ દ્વીપસમૂહ
होंडूरास	હોંડૂરાસ
क्रोएशिया	ક્રોએશિયા
हैती	હૈતી
हंगरी	હંગરી
कैनेरी द्वीपसमूह	કૈનેરી દ્વીપસમૂહ
इंडोनेशिया	ઇંડોનેશિયા
आयरलैंड	આયરલૈંડ
