# Territory names from CLDR
ఎసెషన్ దీవి	எஸெஷந் தீவி
అండొర్రా	அஂடொர்ரா
యునైటెడ్ అరబ్ ఎమిరేట్స్	யுநைடெட் அரப் எமிரேட்ஸ்
ఆఫ్ఘనిస్తాన్	ஆப்கநிஸ்தாந்
ఆంటిగ్వా మరియు బార్బుడా	ஆஂடிக்வா மரியு பார்புடா
ఆంగవిల్లా	ஆஂகவில்லா
అల్బేనియా	அல்பேநியா
ఆర్మేనియా	ஆர்மேநியா
అంగోలా	அஂகோலா
అంటార్కటికా	அஂடார்கடிகா
అర్జెంటీనా	அர்ஜெஂடீநா
అమెరికన్ సమోవా	அமெரிகந் ஸமோவா
ఆస్ట్రియా	ஆஸ்ட்ரியா
ఆస్ట్రేలియా	ஆஸ்ட்ரேலியா
అరుబా	அருபா
ఆలేండ్ దీవులు	ஆலேஂட் தீவுலு
అజర్బైజాన్	அஜர்பைஜாந்
బోస్నియా మరియు హెర్జెగొవీనా	போஸ்நியா மரியு ஹெர்ஜெகொவீநா
బార్బడోస్	பார்படோஸ்
బంగ్లాదేశ్	பஂக்லாதேஶ்
బెల్జియం	பெல்ஜியஂ
బుర్కినా ఫాసో	புர்கிநா பாஸோ
బల్గేరియా	பல்கேரியா
బహ్రెయిన్	பஹ்ரெயிந்
బురుండి	புருஂடி
బెనిన్	பெநிந்
సెంట్ బర్తేలెమీ	ஸெஂட் பர்தேலெமீ
బెర్ముడా	பெர்முடா
బ్రూనై	ப்ரூநை
బొలీవియా	பொலீவியா
కరీబియన్ నెదర్లాండ్స్	கரீபியந் நெதர்லாஂட்ஸ்
బ్రెజిల్	ப்ரெஜில்
బహామాస్	பஹாமாஸ்
భూటాన్	பூடாந்
బొవెట్ దీవి	பொவெட் தீவி
బోట్స్వానా	போட்ஸ்வாநா
బెలారస్	பெலாரஸ்
బెలిజ్	பெலிஜ்
కెనడా	கெநடா
కోకోస్ (కీలింగ్) దీవులు	கோகோஸ் (கீலிஂக்) தீவுலு
కాంగో- కిన్షాసా	காஂகோ- கிந்ஷாஸா
కాంగో (DRC)	காஂகோ (DRC)
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	ஸெஂட்ரல் ஆப்ரிகந் ரிபப்லிக்
కాంగో- బ్రాజావిల్లి	காஂகோ- ப்ராஜாவில்லி
కాంగో (రిపబ్లిక్)	காஂகோ (ரிபப்லிக்)
స్విట్జర్లాండ్	ஸ்விட்ஜர்லாஂட்
ఐవరీ కోస్ట్	ஐவரீ கோஸ்ட்
కుక్ దీవులు	குக் தீவுலு
చిలీ	சிலீ
కామెరూన్	காமெரூந்
చైనా	சைநா
కొలంబియా	கொலஂபியா
క్లిప్పర్టన్ దీవి	க்லிப்பர்டந் தீவி
కోస్టా రికా	கோஸ்டா ரிகா
క్యూబా	க்யூபா
కేప్ వెర్డే	கேப் வெர்டே
కురాకవో	குராகவோ
క్రిస్మస్ దీవి	க்ரிஸ்மஸ் தீவி
సైప్రస్	ஸைப்ரஸ்
చెక్ రిపబ్లిక్	செக் ரிபப்லிக்
జర్మనీ	ஜர்மநீ
డియాగో గార్సియా	டியாகோ கார்ஸியா
జిబౌటి	ஜிபௌடி
డెన్మార్క్	டெந்மார்க்
డోమెనిక	டோமெநிக
డొమెనికన్ రిపబ్లిక్	டொமெநிகந் ரிபப்லிக்
అల్జీరియా	அல்ஜீரியா
స్యూటా మరియు మెలిల్లా	ஸ்யூடா மரியு மெலில்லா
ఈక్వడార్	ஈக்வடார்
ఎస్టోనియా	எஸ்டோநியா
ఈజిప్ట్	ஈஜிப்ட்
పడమటి సహారా	படமடி ஸஹாரா
ఎరిట్రియా	எரிட்ரியா
స్పెయిన్	ஸ்பெயிந்
ఇథియోపియా	இதியோபியா
యురోపియన్ యునియన్	யுரோபியந் யுநியந்
ఫిన్లాండ్	பிந்லாஂட்
ఫిజీ	பிஜீ
ఫాక్‌ల్యాండ్ దీవులు	பாக்‌ல்யாஂட் தீவுலு
ఫాక్‌ల్యాండ్ దీవులు (ఇస్లాస్ మాల్వినాస్)	பாக்‌ல்யாஂட் தீவுலு (இஸ்லாஸ் மால்விநாஸ்)
మైక్రోనేశియ	மைக்ரோநேஶிய
ఫారో దీవులు	பாரோ தீவுலு
ఫ్రాన్స్‌	ப்ராந்ஸ்‌
గాబన్	காபந்
యునైటెడ్ కింగ్‌డమ్	யுநைடெட் கிஂக்‌டம்
గ్రెనెడా	க்ரெநெடா
జార్జియా	ஜார்ஜியா
ఫ్రెంచ్ గియానా	ப்ரெஂச் கியாநா
గ్వేర్నసే	க்வேர்நஸே
ఘనా	கநா
జిబ్రాల్టార్	ஜிப்ரால்டார்
గ్రీన్‌లాండ్	க்ரீந்‌லாஂட்
గాంబియా	காஂபியா
గినియా	கிநியா
గ్వాడేలోప్	க்வாடேலோப்
ఈక్వటోరియల్ గినియా	ஈக்வடோரியல் கிநியா
గ్రీస్	க்ரீஸ்
దక్షిణ జార్జియా &amp; దక్షిణ శాండ్విచ్ దీవులు	தக்ஷிண ஜார்ஜியா &amp; தக்ஷிண ஶாஂட்விச் தீவுலு
గ్వాటిమాల	க்வாடிமால
గ్వామ్	க்வாம்
గినియా-బిస్సావ్	கிநியா-பிஸ்ஸாவ்
గయానా	கயாநா
హాంకాంగ్ ఎస్ఏఆర్ చైనా	ஹாஂகாஂக் எஸ்ஏஆர் சைநா
హాంకాంగ్	ஹாஂகாஂக்
హెర్డ్ &amp; మెక్ డొనాల్డ్ దీవులు	ஹெர்ட் &amp; மெக் டொநால்ட் தீவுலு
హోండురాస్	ஹோஂடுராஸ்
క్రోయేషియా	க்ரோயேஷியா
హైటి	ஹைடி
హంగేరీ	ஹஂகேரீ
కేనరీ దీవులు	கேநரீ தீவுலு
ఇండోనేషియా	இஂடோநேஷியா
ఐర్లాండ్	ஐர்லாஂட்
ఇజ్రాయిల్	இஜ்ராயில்
ఐల్ ఆఫ్ మాన్	ஐல் ஆப் மாந்
భారత దేశం	பாரத தேஶஂ
బ్రిటీష్ భారతీయ సముద్రపు ప్రాంతం	ப்ரிடீஷ் பாரதீய ஸமுத்ரபு ப்ராஂதஂ
ఇరాక్	இராக்
ఇరాన్	இராந்
ఐస్లాండ్	ஐஸ்லாஂட்
ఇటలీ	இடலீ
జెర్సీ	ஜெர்ஸீ
జమైకా	ஜமைகா
జోర్డాన్	ஜோர்டாந்
జపాన్	ஜபாந்
కెన్యా	கெந்யா
కిర్గిజిస్తాన్	கிர்கிஜிஸ்தாந்
కంబోడియా	கஂபோடியா
కిరిబాటి	கிரிபாடி
కొమొరోస్	கொமொரோஸ்
