# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	ଅସେନ୍ଶନ୍ ଦ୍ଵୀପ
ಅಂಡೋರಾ	ଅଂଡୋରା
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	ସଂଯୁକ୍ତ ଅରବ୍ ଏମିରେଟସ୍
ಅಫಘಾನಿಸ್ಥಾನ್	ଅଫଘାନିସ୍ଥାନ୍
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	ଆଂଟିଗୁଵା ମତ୍ତୁ ବର୍ବୁଡା
ಆಂಗುಯಿಲ್ಲಾ	ଆଂଗୁଯିଲ୍ଲା
ಅಲ್ಬೇನಿಯಾ	ଅଲ୍ବେନିଯା
ಅರ್ಮೇನಿಯಾ	ଅର୍ମେନିଯା
ಅಂಗೋಲಾ	ଅଂଗୋଲା
ಅಂಟಾರ್ಟಿಕಾ	ଅଂଟାର୍ଟିକା
ಅರ್ಜೆಂಟಿನಾ	ଅର୍ଜେଂଟିନା
ಅಮೇರಿಕನ್ ಸಮೋವಾ	ଅମେରିକନ୍ ସମୋଵା
ಆಸ್ಟ್ರಿಯಾ	ଆସ୍ଟ୍ରିଯା
ಆಸ್ಟ್ರೇಲಿಯ	ଆସ୍ଟ୍ରେଲିଯ
ಅರುಬಾ	ଅରୁବା
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ଆଲ୍ଯାଂଡ୍ ଦ୍ଵୀପଗଳୁ
ಅಜರ್ಬೈಜಾನ್	ଅଜର୍ବୈଜାନ୍
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	ବୋସ୍ନିଯା ମତ୍ତୁ ହର୍ଜେଗୋଵିନା
ಬಾರ್ಬಡೋಸ್	ବାର୍ବଡୋସ୍
ಬಾಂಗ್ಲಾದೇಶ್	ବାଂଗ୍ଲାଦେଶ୍
ಬೆಲ್ಜಿಯಮ್	ବେଲ୍ଜିଯମ୍
ಬುರ್ಕಿನಾ ಫಾಸೋ	ବୁର୍କିନା ଫାସୋ
ಬಲ್ಗೇರಿಯಾ	ବଲ୍ଗେରିଯା
ಬಹರೈನ್	ବହରୈନ୍
ಬುರುಂಡಿ	ବୁରୁଂଡି
ಬೆನಿನ್	ବେନିନ୍
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	ସେଂଟ୍ ବାର୍ଥେଲେମି
ಬರ್ಮುಡಾ	ବର୍ମୁଡା
ಬ್ರೂನಿ	ବ୍ରୂନି
ಬೊಲಿವಿಯಾ	ବୋଲିଵିଯା
ಕೆರೀಬಿಯನ್ ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	କେରୀବିଯନ୍ ନେଦର୍‌ଲ୍ଯାଂଡ୍ସ୍
ಬ್ರೆಜಿಲ್	ବ୍ରେଜିଲ୍
ಬಹಾಮಾಸ್	ବହାମାସ୍
ಭೂತಾನ್	ଭୂତାନ୍
ಬೋವೆಟ್ ದ್ವೀಪ	ବୋଵେଟ୍ ଦ୍ଵୀପ
ಬೋಟ್ಸ್‌ವಾನಾ	ବୋଟ୍ସ୍‌ଵାନା
ಬೆಲಾರಸ್	ବେଲାରସ୍
ಬೆಲಿಜ್	ବେଲିଜ୍
ಕೆನಡಾ	କେନଡା
ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು	କୋକୋସ୍ (କୀଲିଂଗ୍) ଦ୍ଵୀପଗଳୁ
ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ	କାଂଗୋ - କିନ୍ଶାସା
ಕಾಂಗೋ (DRC)	କାଂଗୋ (DRC)
ಮಧ್ಯ ಆಫ್ರಿಕಾ ಗಣರಾಜ್ಯ	ମଧ୍ଯ ଆଫ୍ରିକା ଗଣରାଜ୍ଯ
ಕಾಂಗೋ - ಬ್ರಾಜಾವಿಲ್ಲೇ	କାଂଗୋ - ବ୍ରାଜାଵିଲ୍ଲେ
ಕಾಂಗೋ (ಗಣರಾಜ್ಯ)	କାଂଗୋ (ଗଣରାଜ୍ଯ)
ಸ್ವಿಟ್ಜರ್ಲ್ಯಾಂಡ್	ସ୍ଵିଟ୍ଜର୍ଲ୍ଯାଂଡ୍
ಕೋತ್‌ ದಿವಾರ್‍	କୋତ୍‌ ଦିଵାର୍‍
ಐವರಿ ಕೋಸ್ಟ್	ଐଵରି କୋସ୍ଟ୍
ಕುಕ್ ದ್ವೀಪಗಳು	କୁକ୍ ଦ୍ଵୀପଗଳୁ
ಚಿಲಿ	ଚିଲି
ಕ್ಯಾಮರೋನ್	କ୍ଯାମରୋନ୍
ಚೀನಾ	ଚୀନା
ಕೊಲಂಬಿಯಾ	କୋଲଂବିଯା
ಕ್ಲಿಪ್ಪರ್‌ಟಾನ್ ದ್ವೀಪಗಳು	କ୍ଲିପ୍ପର୍‌ଟାନ୍ ଦ୍ଵୀପଗଳୁ
ಕೊಸ್ಟಾ ರಿಕಾ	କୋସ୍ଟା ରିକା
ಕ್ಯೂಬಾ	କ୍ଯୂବା
ಕೇಪ್ ವರ್ಡೆ	କେପ୍ ଵର୍ଡେ
ಕುರಾಕಾವ್	କୁରାକାଵ୍
ಕ್ರಿಸ್ಮಸ್ ದ್ವೀಪ	କ୍ରିସ୍ମସ୍ ଦ୍ଵୀପ
ಸೈಪ್ರಸ್	ସୈପ୍ରସ୍
ಚೆಕ್ ರಿಪಬ್ಲಿಕ್	ଚେକ୍ ରିପବ୍ଲିକ୍
ಜರ್ಮನಿ	ଜର୍ମନି
ಡೈಗೋ ಗಾರ್ಸಿಯ	ଡୈଗୋ ଗାର୍ସିଯ
ಜಿಬೋಟಿ	ଜିବୋଟି
ಡೆನ್ಮಾರ್ಕ್	ଡେନ୍ମାର୍କ୍
ಡೊಮಿನಿಕಾ	ଡୋମିନିକା
ಡೊಮೆನಿಕನ್ ರಿಪಬ್ಲಿಕ್	ଡୋମେନିକନ୍ ରିପବ୍ଲିକ୍
ಅಲ್ಗೇರಿಯಾ	ଅଲ୍ଗେରିଯା
ಸೆಯುಟಾ ಹಾಗೂ ಮೆಲಿಲ್ಲಾ	ସେଯୁଟା ହାଗୂ ମେଲିଲ୍ଲା
ಈಕ್ವೆಡಾರ್	ଈକ୍ଵେଡାର୍
ಎಸ್ಟೋನಿಯಾ	ଏସ୍ଟୋନିଯା
ಈಜಿಪ್ಟ್	ଈଜିପ୍ଟ୍
ಪಶ್ಚಿಮ ಸಹಾರಾ	ପଶ୍ଚିମ ସହାରା
ಏರಿಟ್ರಿಯಾ	ଏରିଟ୍ରିଯା
ಸ್ಪೇನ್	ସ୍ପେନ୍
ಇಥಿಯೋಪಿಯಾ	ଇଥିଯୋପିଯା
ಯುರೋಪಿಯನ್ ಯೂನಿಯನ್	ଯୁରୋପିଯନ୍ ଯୂନିଯନ୍
ಫಿನ್‌ಲ್ಯಾಂಡ್	ଫିନ୍‌ଲ୍ଯାଂଡ୍
ಫಿಜಿ	ଫିଜି
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ଫାଲ୍କ୍‌ଲ୍ଯାଂଡ୍ ଦ୍ଵୀପଗଳୁ
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು (ಇಸ್ಲಾಸ್ ಮಾಲ್ವಿನಸ್)	ଫାଲ୍କ୍‌ଲ୍ଯାଂଡ୍ ଦ୍ଵୀପଗଳୁ (ଇସ୍ଲାସ୍ ମାଲ୍ଵିନସ୍)
ಮೈಕ್ರೋನೇಶಿಯಾ	ମୈକ୍ରୋନେଶିଯା
ಫರೋ ದ್ವೀಪಗಳು	ଫରୋ ଦ୍ଵୀପଗଳୁ
ಫ್ರಾನ್ಸ್	ଫ୍ରାନ୍ସ୍
ಗೆಬೊನ್	ଗେବୋନ୍
ಬ್ರಿಟನ್/ಇಂಗ್ಲೆಂಡ್	ବ୍ରିଟନ୍/ଇଂଗ୍ଲେଂଡ୍
ಗ್ರೆನೆಡಾ	ଗ୍ରେନେଡା
ಜಾರ್ಜಿಯಾ	ଜାର୍ଜିଯା
ಫ್ರೆಂಚ್ ಗಯಾನಾ	ଫ୍ରେଂଚ୍ ଗଯାନା
ಗುರ್ನ್‌ಸೆ	ଗୁର୍ନ୍‌ସେ
ಘಾನಾ	ଘାନା
ಗಿಬ್ರಾಲ್ಟರ್	ଗିବ୍ରାଲ୍ଟର୍
ಗ್ರೀನ್‌ಲ್ಯಾಂಡ್	ଗ୍ରୀନ୍‌ଲ୍ଯାଂଡ୍
