# Territory names from CLDR
ଆଣ୍ଡୋରା	આણ્ડોરા
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	સંયુક્ત આરબ એમિરેટસ્
ଆଫାଗାନିସ୍ତାନ୍	આફાગાનિસ્તાન્
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	આણ્ટિગુઆ એબં બારબુદા
ଆଙ୍ଗୁଇଲ୍ଲା	આઙ્ગુઇલ્લા
ଆଲବାନିଆ	આલબાનિઆ
ଆର୍ମେନିଆ	આર્મેનિઆ
ଆଙ୍ଗୋଲା	આઙ્ગોલા
ଆର୍ଣ୍ଟକଟିକା	આર્ણ્ટકટિકા
ଆର୍ଜେଣ୍ଟିନା	આર્જેણ્ટિના
ଆମେରିକାନ୍ ସାମୋଆ	આમેરિકાન્ સામોઆ
ଅଷ୍ଟ୍ରିଆ	અષ્ટ્રિઆ
ଅଷ୍ଟ୍ରେଲିଆ	અષ્ટ્રેલિઆ
ଆରୁବା	આરુબા
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	આલાણ્ડ આઇસલ્ય઼ાણ્ડ
ଆଜେରବାଇଜାନ୍	આજેરબાઇજાન્
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	બોસનિઆ એબં હર્જગોભિના
ବାରବାଡୋସ୍	બારબાડોસ્
ବାଙ୍ଗଲାଦେଶ୍	બાઙ્ગલાદેશ્
ବେଲଜିୟମ୍	બેલજિય઼મ્
ବୁର୍କିନୋ ଫାସୋ	બુર્કિનો ફાસો
ବୁଲଗେରିଆ	બુલગેરિઆ
ବାହାରିନ୍	બાહારિન્
ବୁରୁନ୍ଦି	બુરુન્દિ
ବେନିନ୍	બેનિન્
ସେଣ୍ଟ ବାର୍ଥେଲେମି	સેણ્ટ બાર્થેલેમિ
ବରମୁଡା	બરમુડા
ବ୍ରୁନେଇ	બ્રુનેઇ
ବୋଲଭିଆ	બોલભિઆ
ବ୍ରାଜିଲ୍	બ્રાજિલ્
ବାହାମାସ୍	બાહામાસ્
ଭୁଟାନ୍	ભુટાન્
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	બૌભેટ્ આઇસલ્ય઼ાણ્ડ
ବୋଟସ୍ବାନ୍	બોટસ્બાન્
ବେଲାରୁଷ୍	બેલારુષ્
ବେଲିଜ୍	બેલિજ્
କାନାଡା	કાનાડા
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	કોકોસ્ આઇસલ્ય઼ાણ્ડ
କଙ୍ଗୋ-କିନସାସା	કઙ્ગો-કિનસાસા
ମଧ୍ୟ ଆଫ୍ରିକୀୟ ଗଣତନ୍ତ୍ର	મધ્ય઼ આફ્રિકીય઼ ગણતન્ત્ર
କଙ୍ଗୋ-ବ୍ରାଜିଭିଲ୍ଲେ	કઙ્ગો-બ્રાજિભિલ્લે
ସ୍ବିଜରଲ୍ୟାଣ୍ଡ	સ્બિજરલ્ય઼ાણ્ડ
ଆଇବରୀ କୋଷ୍ଟ	આઇબરી કોષ્ટ
କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ	કુક્ આઇસલ્ય઼ાણ્ડ
ଚିଲ୍ଲୀ	ચિલ્લી
କାମେରୁନ୍	કામેરુન્
ଚିନ୍	ચિન્
କୋଲମ୍ବିଆ	કોલમ્બિઆ
କୋଷ୍ଟା ରିକା	કોષ્ટા રિકા
କ୍ୱିବା	ક્વિબા
କେପ୍ ଭର୍ଦେ	કેપ્ ભર્દે
ଖ୍ରୀଷ୍ଟମାସ ଆଇଲ୍ୟାଣ୍ଡ	ખ્રીષ્ટમાસ આઇલ્ય઼ાણ્ડ
ସାଇପ୍ରସ୍	સાઇપ્રસ્
ଚେକ୍ ସାଧାରଣତନ୍ତ୍ର	ચેક્ સાધારણતન્ત્ર
ଜର୍ମାନୀ	જર્માની
ଡିବୌଟି	ડિબૌટિ
ଡେନମାର୍କ	ડેનમાર્ક
ଡୋମିନାକା	ડોમિનાકા
ଡୋମିନକାନ୍ ପ୍ରଜାତନ୍ତ୍ର	ડોમિનકાન્ પ્રજાતન્ત્ર
ଆଲଜେରିଆ	આલજેરિઆ
ଇକ୍ୱାଡୋର୍	ઇક્વાડોર્
ଏସ୍ତୋନିଆ	એસ્તોનિઆ
ଇଜିପ୍ଟ	ઇજિપ્ટ
ପଶ୍ଚିମ ସାହାରା	પશ્ચિમ સાહારા
ଇରିଟ୍ରିୟା	ઇરિટ્રિય઼ા
ସ୍ପେନ୍	સ્પેન્
ଇଥିଓପିଆ	ઇથિઓપિઆ
ୟୁରୋପିଆନ୍ ୟୁନିଅନ୍	ય઼ુરોપિઆન્ ય઼ુનિઅન્
ଫିନଲ୍ୟାଣ୍ଡ	ફિનલ્ય઼ાણ્ડ
ଫିଜି	ફિજિ
