# Baby names
ಅಕಾರ್ಯಸುತಾ	اكاریسوتا
ಅಕ್ಶಿತೀ	اكشیتی
ಅಕ್ಷಥಾ	اكشتها
ಅಕ್ಷೀ	اكشی
ಅಗ್ನಿಜ್ವಾಳಾ	اجنیجوارا
ಅಗ್ರತಾ	اجرتا
ಅಘನ್ಯ	اجهنی
ಅಚ್ಯುತಾನ	اتشیوتان
ಅಜಸ್ಥಾ	اجستها
ಅದವೈಕಾ	ادوایكا
ಅದಾಮ	ادام
ಅದಿಥಾ	ادیتها
ಅದೀಕ್ಯಾ	ادیكیا
ಅದೀತೀಯ	ادیتیی
ಅದ್ರಿತಾ	ادریتا
ಅದ್ರಿಯನ	ادریین
ಅದ್ರೀಶ	ادریش
ಅದ್ಶಯಾ	ادشیا
ಅಧರ್ಷ	ادهرش
ಅಧಾವನ	ادهاون
ಅಧಿನೀ	ادهینی
ಅಧ್ಯುತ	ادهیوت
ಅಧ್ರೀತಾ	ادهریتا
ಅನಿಯಾ	انییا
ಅಬೀನಂದಾ	ابینندا
ಅಬೀರಾಮ	ابیرام
ಅಬೀಶ	ابیش
ಅಬೀಸೇಶನ	ابیسیشن
ಅಬ್ಜಾಯೋನೀ	ابجایونی
ಅಬ್ಬೀರ	اببیر
ಅಭರಾಮ	ابهرام
ಅಭಿಜನ	ابهیجن
ಅಭಿಜ್ಞಾ	ابهیجنا
ಅಭಿಜ್ಞಾನ	ابهیجنان
ಅಭಿನಾ	ابهینا
ಅಭಿನಿವೇಶ	ابهینیویش
ಅಭಿನುಂ	ابهینون
ಅಭಿಮ	ابهیم
ಅಭಿರಾತ	ابهیرات
ಅಭಿರುಚಿ	ابهیروتشی
ಅಭಿರುಪಾ	ابهیروبا
ಅಭಿಷೇಕ	ابهیشیك
ಅಭಿಹೀತಾ	ابهیهیتا
ಅಭೀಕರ್ಷ	ابهیكرش
ಅಭೀಜೀಥ	ابهیجیته
ಅಭೀದೀ	ابهیدی
ಅಭೀಧಾ	ابهیدها
ಅಭೀಪುಜ	ابهیبوج
ಅಭೀಶ್ರೇಯ	ابهیشریی
ಅಭೀಸಿರಾತ	ابهیسیرات
ಅಭ್ಯುದಯ	ابهیودی
ಅಭ್ರಕಾಸಿನ	ابهركاسین
ಅಸಿರಾ	اسیرا
ಅಹಂಕಾರಾ	اهنكارا
ಅಹ್ರ್ಮ್ಶುಲ್ಲಾ	اهرمشوللا
ಅಹ್ಲಾದಾಜನನೀ	اهلاداجننی
ಆಕರ್ಷಕ	آكرشك
ಆತಿಶ	آتیش
ಆದರ್ಶಾ	آدرشا
ಆದಿನಾಥ	آدیناته
ಆದಿಪುರುಷ	آدیبوروش
ಆದ್ಯಾ	آدیا
ಆಧಿರಾ	آدهیرا
ಆಧಿರಾಇ	آدهیراي
ಆಧೀರೇನ	آدهیرین
ಆನಂದತಾ	آنندتا
ಆನಂದಿತ	آنندیت
ಆನೀಕ	آنیك
ಆನೀಕಾ	آنیكا
ಆಪೇಕ್ಷಾ	آبیكشا
ಆಭಾತ	آبهات
ಆಯಾಂಶ	آیانش
ಆಯುಷ	آیوش
ಆಯುಸ	آیوس
ಆರಾತ್ರಿಕಾ	آراتریكا
ಆರಾಥನಾ	آراتهنا
ಆರಾಧಕ	آرادهك
ಆರೀವ	آریو
ಆರುನ್ಯ	آرونی
ಆರೋಹೀ	آروهی
ಆರ್ಜವ	آرجو
ಆರ್ನವ	آرنو
ಆರ್ಪಿತ	آربیت
ಆರ್ಯಮನ	آریمن
ಆರ್ಯವೀರ	آریویر
ಆಲೋಕಾ	آلوكا
ಆವೀಶ	آویش
ಆಸರಾ	آسرا
ಆಸ್ಯಾ	آسیا
ಆಹಾನ	آهان
ಆಹ್ನೀಕ	آهنیك
ಇಂದುಕಲಾ	إندوكلا
ಇಂದುಲಾಲಾ	إندولالا
ಇತಿಶ್ರೀ	إتیشری
ಇನೀಯನ	إنیین
ಇನ್ದೀವರ	إندیور
