amatoho	آماتوهو
angagcina	آنگاکچينا
bangempela	بانگامپالا
dekle	داکشلا
enecala	انانچالا
engqondo	انگنچوندو
esibheka	اسيباکا
eyehlukene	اياشلوکانا
ezikhula	ازيکولا
ezinsha	ازينتسا
imantshi	ايمانتشي
imingcele	ايمينگنچالا
isiqalo	ايسينچالو
isithole	ايسيتولا
izinkomba	ايزينکومبا
kanye	کانا
kuqhubekela	کونچوباکالا
kusonto	کوسونتو
kwezinsiza	کوازينتسيزا
lomgwaqo	لومگوانچو
nabangama	نابانگاما
nanxa	نانچا
ngencazelo	نگانچازالو
njengokusebenza	ندژانگوکوساباندزا
nohlelo	نوشلالو
sengifuna	سانگيفونا
uchaze	اونچازا
udweshu	اودواشو
uju	اودژو
ukukhuphula	اوکوکوپولا
wehhovisi	اواهوويسي
wokudla	اووکوژلا
yingxenye	ينگنچانا
yokuxhumana	يوکونچومانا
