අක්කරපත්තුව	آککرپاتتووه
අකුරැස්ස	آکوراسسه
අගලගම	آگلگمه
අනුරාධපුර	آنورادپوره
අනුරාධපුර නව නගරය	آنورادپوره ناوه ناگريه
අනුරාධපුර පෞරාණික නගරය	آنورادپوره پاورانيکه ناگريه
අම්පාර නගරය	آمپاره ناگريه
අම්බලන්ගොඩ	آمبلانگوضه
අඹන්පොල	آمبانپوله
අඹේපුස්ස	آمبيپوسسه
අරියාලේ	آريالي
අලුත්කඩේ	آلوتکضي
අලුත්ගම	آلوتگمه
අවිස්සාවේල්ල	آويسساويلله
අහංගම	آهانگمه
ආණමඩුව	آنمضووه
ඇඹිලිපිටිය	امبيليپيطيه
ඇරැව්වල	اراووله
ඇල්පිටිය	الپيطيه
ඉංගිරිය	اينگيريه
උකුවෙල	اوکوويله
උණවටුන	اونوطونه
එරාවුර්	ايراور
ඓතිහාසික මිගමුව	آيتيهاسيکه ميگمووه
ඕකන්දයාය	اوکانديايه
කටුගස්තොට	کاطوگاستوطه
කටුපොත	کاطوپوته
කඩදාසි නගරය	کاضداسي ناگريه
කඩුගන්නාව	کاضوگانناوه
කතරගම	کاترگمه
කදුරුවෙල	کادوروويله
කන්කසන්තුරේ	کانکسانتوري
කන්තලේ	کانتلي
කප්පාගොඩ	کاپپاگوضه
කරණ්දෙනිය	کراندينيه
කරවිට	کرويطه
කල්මුනේ	کالموني
කළුතර	کالوتره
කාත්තන්කුඩි	کاتتانکوضي
කැකිරාව	کاکيراوه
කැලණිය	کالنيه
කැස්බෑව	کاسباوه
කෑගල්ල	کاگالله
කිතුල්ගල	کيتولگله
කින්නියා	کيننيا
කිරිදිවැල	کيريديواله
කිරුළපන	کيرولپنه
කිලිනොච්චිය	کيلينوچچيه
කුච්චවේලි	کوچچويلي
කුරුණෑගල නගරය	کوروناگله ناگريه
කුලියාපිටිය	کولياپيطيه
කොග්ගල	کوگگله
කොටහේන	کوطهينه
කොටිකාවත්ත	کوطيکاواتته
කොලොන්නාව	کولونناوه
කොස්ගම	کوسگمه
කොළඹ වරාය නගරය	کولمبه اوارايه ناگريه
ගණේමුල්ල	گانيمولله
ගම්පහ	گامپها
ගම්පොල	گامپوله
ගලේවෙල	گاليويله
ගාමිණී හෝල්	گاميني هول
ගාල්ල	گالله
ගාල්ල අවට පිහිටි විශේෂ ස්ථාන	گالله آوطه پيهيطي اويشيشه ستانه
ගිනිගත්හේන	گينيگاتهينه
ගොඩාමුණ	گوضامونه
ගෝඩුන්න	گوضوننه
චාවකච්චේරි	چاوکاچچيري
චෙන්කලඩි	چينکلضي
ජා ඇළ	دجا اله
තංගල්ල	تانگالله
තන්තිරිමලේ	تانتيريملي
තලවාකැලේ	تالواکالي
තිස්සමහාරාමය	تيسسمهاراميه
තිහගොඩ	تيهگوضه
තිහාරිය	تيهاريه
තෙල්ලඹුර	تيللمبوره
දඹුල්ල	دامبولله
දර්ගා නගරය	دارگا ناگريه
දළුගම	دالوگمه
දැදිගම කොටවෙහෙර	داديگمه کوطويهيره
දෙණියාය	دينيايه
දෙමටගොඩ	ديمطگوضه
දෙහිඅත්තකණ්ඩිය	ديهياتتکانضيه
දේදුගල	ديدوگله
නාඋල	ناوله
නාරම්මල	ناراممله
නාරාහේන්පිට	ناراهينپيطه
නිකවැරටිය	نيکوارطيه
නිට්ටඹුව	نيططمبووه
නිරිපොල	نيريپوله
නුගේගොඩ	نوگيگوضه
නුවරඑළිය	نووريليه
නුවරගල	نوورگله
නෙළුව	نيلووه
පන්නිපිටිය	پاننيپيطيه
පරන්තන්	پارانتان
පල්ලේපොල	پالليپوله
පාදුක්ක	پادوککه
පාදෙණිය	پادينيه
පානදුර	پاندوره
පාමංකඩ	پامانکضه
පැල්මඩුල්ල	پالمضولله
පෑලියගොඩ	پاليگوضه
පිටකොටුව	پيطکوطووه
පිළියන්දල	پيلياندله
පුස්සැල්ලාව	پوسساللاوه
පූඬලුඔය	پونضلوويا
පේදුරු තුඩුව	پيدورو توضووه
පොතුවිල්	پوتوويل
පොල්ගස්ඕවිට	پولگسوويطه
බටගොඩ	باطگوضه
බතලේගල	باتليگله
බදුල්ල	بادولله
බම්බලපිටිය	بامبلپيطيه
බලංගොඩ	بالانگوضه
බ්ලූමැන්ඩල්	بلومانضال
බිබිලේ	بيبيلي
බුත්තල	بوتتله
බෙන්තොට	بينتوطه
බෙරගල	بيرگله
බේරුවල	بيرووله
බොරලන්ද	بورلانده
බොරලැස්ගමුව	بورلاسگمووه
මට්ටක්කුලිය	ماططاککوليه
මඩකලපුව නගරය	ماضکلپووه ناگريه
මඩහපොල	ماضهاپوله
මතුගම	ماتوگمه
මරදාන	ماردانه
මස්කෙළිය	ماسکيليه
මහනුවර	ماهانووره
මහර	ماهاره
මහරගම	ماهارگمه
මාතලේ	ماتلي
මාදම්පිටිය	مادامپيطيه
මාදම්පේ	مادامپي
මාන්කුලම්	مانکولام
මාරවිල	مارويله
මාරුද්දන	ماروددنه
මාලබේ	مالبي
මාවනැල්ල	ماونالله
මාවීදළුපොත	ماويدلوپوته
මැදිරිගිරිය	ماديريگيريه
මිංහෙට්ටිය	مينگهيططيه
මිද්දෙනිය	ميددينيه
මිනුවන්ගොඩ	مينووانگوضه
මීගමුව	ميگمووه
මීතොටමුල්ල	ميتوطمولله
මීරිගම	ميريگمه
මුස්නව	موسنوه
මොනරාගල	مونراگله
මොරටුව	مورطووه
මොරවක	موروکه
මෝදර	مودره
යක්කල	ياککله
යක්කලමුල්ල	ياککلمولله
යටවත්ත	ياطواتته
යටියන්තොට	ياطيانتوطه
යාපහුව	ياپهووه
යාපහුව බලකොටුව	ياپهووه بالکوطووه
රජගලතැන්න	رادجگلتاننه
රත්ගම	راتگمه
රත්තොට	راتتوطه
රත්නපුර	راتنپوره
රත්මලාන	راتملانه
රතුපස්වල	راتوپاسوله
රම්බොඩ	رامبوضه
ලබුදූව	لابودووه
ලුණුගල	لونوگله
ලුනාව	لوناوه
ලූල්බද්දුව	لولباددووه
වඩකච්චි	اواضکاچچي
වඩකන්ඩල්	اواضکانضال
වඩුක්කොඩෙයි	اواضوککوضي
වඩුක්කොඩෙයි නැගෙනහිර	اواضوککوضي ناگينهيره
වඩුවාකල්ලු	اواضوواکاللو
වඳුරාදෙනිය	اواندورادينيه
වාද්දුව	اواددووه
වාරියපොල	اواريپوله
වාරියපොල නගරය	اواريپوله ناگريه
වැල්ලවත්ත	اواللواتته
වැල්ලවාය	اواللوايه
වැල්වැටිතුරෙයි	اوالواطيتوري
වැලිකඩ	اواليکضه
වැලිමඩ	اواليمضه
වැලිවේරිය	اواليويريه
වීරකැටිය	اويرکاطيه
ශ්‍රී ජයවර්ධනපුර කෝට්ටේ	شري دجايواردنپوره کوططي
ශ්‍රී ලංකාවේ පුරවර	شري لانکاوي پوروره
සමන්තුරේ	سامانتوري
හංවැල්ල	هانگوالله
හක්මන	هاکمنه
හඳගිරිය	هاندگيريه
හපුතලේ	هاپوتلي
හබරණ	هابرنه
හම්බන්තොට	هامبانتوطه
