# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	అసెన్శన్ ద్వీప
ಅಂಡೋರಾ	అండోరా
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	సంయుక్త అరబ్ ఎమిరేటస్
ಅಫಘಾನಿಸ್ಥಾನ್	అఫఘానిస్థాన్
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	ఆంటిగువా మత్తు బర్బుడా
ಆಂಗುಯಿಲ್ಲಾ	ఆంగుయిల్లా
ಅಲ್ಬೇನಿಯಾ	అల్బేనియా
ಅರ್ಮೇನಿಯಾ	అర్మేనియా
ಅಂಗೋಲಾ	అంగోలా
ಅಂಟಾರ್ಟಿಕಾ	అంటార్టికా
ಅರ್ಜೆಂಟಿನಾ	అర్జెంటినా
ಅಮೇರಿಕನ್ ಸಮೋವಾ	అమేరికన్ సమోవా
ಆಸ್ಟ್ರಿಯಾ	ఆస్ట్రియా
ಆಸ್ಟ್ರೇಲಿಯ	ఆస్ట్రేలియ
ಅರುಬಾ	అరుబా
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ఆల్యాండ్ ద్వీపగళు
ಅಜರ್ಬೈಜಾನ್	అజర్బైజాన్
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	బోస్నియా మత్తు హర్జెగోవినా
ಬಾರ್ಬಡೋಸ್	బార్బడోస్
ಬಾಂಗ್ಲಾದೇಶ್	బాంగ్లాదేశ్
ಬೆಲ್ಜಿಯಮ್	బెల్జియమ్
ಬುರ್ಕಿನಾ ಫಾಸೋ	బుర్కినా ఫాసో
ಬಲ್ಗೇರಿಯಾ	బల్గేరియా
ಬಹರೈನ್	బహరైన్
ಬುರುಂಡಿ	బురుండి
ಬೆನಿನ್	బెనిన్
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	సేంట్ బార్థెలెమి
