# Territory names from CLDR
அஷன்ஷியன் தீவு	অষন়্ষিযন়্ তীবু
அன்டோரா	অন়্টোরা
ஐக்கிய அரபு எமிரேட்ஸ்	ঐক্কিয অরপু এমিরেট্স্
ஆப்கானிஸ்தான்	আপ্কান়িস্তান়্
ஆண்டிகுவா மற்றும் பார்புடா	আণ্টিকুবা মর়্র়ুম্ পার্পুটা
அங்குய்லா	অঙ্কুয্লা
அல்பேனியா	অল্পেন়িযা
அர்மேனியா	অর্মেন়িযা
அங்கோலா	অঙ্কোলা
அண்டார்டிகா	অণ্টার্টিকা
அர்ஜென்டினா	অর্জেন়্টিন়া
அமெரிக்க சமோவா	অমেরিক্ক চমোবা
ஆஸ்திரியா	আস্তিরিযা
ஆஸ்திரேலியா	আস্তিরেলিযা
அரூபா	অরূপা
ஆலந்து தீவுகள்	আলন্তু তীবুকল্
அசர்பைஜான்	অচর্পৈজান়্
போஸ்னியா &amp; ஹெர்ஸகோவினா	পোস্ন়িযা &amp; হের্সকোবিন়া
பார்படோஸ்	পার্পটোস্
பங்களாதேஷ்	পঙ্কলাতেষ্
பெல்ஜியம்	পেল্জিযম্
புர்கினா ஃபாஸோ	পুর্কিন়া ঃপাসো
பல்கேரியா	পল্কেরিযা
பஹ்ரைன்	পহ্রৈন়্
புருண்டி	পুরুণ্টি
பெனின்	পেন়িন়্
செயின்ட் பார்தேலெமி	চেযিন়্ট্ পার্তেলেমি
பெர்முடா	পের্মুটা
புரூனேய்	পুরূন়েয্
பொலிவியா	পোলিবিযা
கரீபியன் நெதர்லாந்து	করীপিযন়্ নেতর্লান্তু
பிரேசில்	পিরেচিল্
பஹாமாஸ்	পহামাস্
பூடான்	পূটান়্
பொவேட் தீவுகள்	পোবেট্ তীবুকল্
போட்ஸ்வானா	পোট্স্বান়া
பெலாரூஸ்	পেলারূস্
பெலிஸ்	পেলিস্
கனடா	কন়টা
கோகோஸ் (கீலிங்) தீவுகள்	কোকোস্ (কীলিঙ্) তীবুকল্
காங்கோ - கின்ஷாசா	কাঙ্কো - কিন়্ষাচা
காங்கோ (டிஆர்சி)	কাঙ্কো (টিআর্চি)
மத்திய ஆப்ரிக்கக் குடியரசு	মত্তিয আপ্রিক্কক্ কুটিযরচু
காங்கோ - ப்ராஸாவில்லே	কাঙ্কো - প্রাসাবিল্লে
காங்கோ (குடியரசு)	কাঙ্কো (কুটিযরচু)
ஸ்விட்சர்லாந்து	স্বিট্চর্লান্তু
கோட் தி’வாயர்	কোট্ তি’বাযর্
ஐவரி கோஸ்ட்	ঐবরি কোস্ট্
குக் தீவுகள்	কুক্ তীবুকল্
சிலி	চিলি
கேமரூன்	কেমরূন়্
சீனா	চীন়া
கொலம்பியா	কোলম্পিযা
கிலிப்பர்டன் தீவு	কিলিপ্পর্টন়্ তীবু
கோஸ்டாரிகா	কোস্টারিকা
கியூபா	কিযূপা
கேப் வெர்டே	কেপ্ বের্টে
குராகவ்	কুরাকব্
கிறிஸ்துமஸ் தீவு	কির়িস্তুমস্ তীবু
சைப்ரஸ்	চৈপ্রস্
செக் குடியரசு	চেক্ কুটিযরচু
ஜெர்மனி	জের্মন়ি
டியகோ கார்ஷியா	টিযকো কার্ষিযা
ஜிபௌட்டி	জিপৌট্টি
டென்மார்க்	টেন়্মার্ক্
டொமினிகா	টোমিন়িকা
டொமினிகன் குடியரசு	টোমিন়িকন়্ কুটিযরচু
அல்ஜீரியா	অল্জীরিযা
சியூடா &amp; மெலில்லா	চিযূটা &amp; মেলিল্লা
ஈக்வடார்	ঈক্বটার্
எஸ்டோனியா	এস্টোন়িযা
எகிப்து	একিপ্তু
மேற்கு சஹாரா	মের়্কু চহারা
எரிட்ரியா	এরিট্রিযা
ஸ்பெயின்	স্পেযিন়্
எதியோப்பியா	এতিযোপ্পিযা
ஐரோப்பிய யூனியன்	ঐরোপ্পিয যূন়িযন়্
பின்லாந்து	পিন়্লান্তু
ஃபிஜி	ঃপিজি
ஃபாக்லாந்து தீவுகள்	ঃপাক্লান্তু তীবুকল্
ஃபாக்லாந்து தீவுகள் (இஸ்லாஸ் மால்வினஸ்)	ঃপাক্লান্তু তীবুকল্ (ইস্লাস্ মাল্বিন়স্)
மைக்ரோனேஷியா	মৈক্রোন়েষিযা
ஃபாரோ தீவுகள்	ঃপারো তীবুকল্
பிரான்ஸ்	পিরান়্স্
கேபான்	কেপান়্
ஐக்கிய பேரரசு	ঐক্কিয পেররচু
யூகே	যূকে
கிரனெடா	কিরন়েটা
ஜார்ஜியா	জার্জিযা
பிரெஞ்சு கயானா	পিরেঞ্চু কযান়া
கெர்ன்சி	কের্ন়্চি
கானா	কান়া
ஜிப்ரால்டர்	জিপ্রাল্টর্
கிரீன்லாந்து	কিরীন়্লান্তু
காம்பியா	কাম্পিযা
கினியா	কিন়িযা
க்வாதேலோப்	ক্বাতেলোপ্
ஈக்வடோரியல் கினியா	ঈক্বটোরিযল্ কিন়িযা
கிரீஸ்	কিরীস্
தென் ஜியார்ஜியா மற்றும் தென் சான்ட்விச் தீவுகள்	তেন়্ জিযার্জিযা মর়্র়ুম্ তেন়্ চান়্ট্বিচ্ তীবুকল্
கவுதமாலா	কবুতমালা
குவாம்	কুবাম্
கினியா-பிஸ்ஸாவ்	কিন়িযা-পিস্সাব্
கயானா	কযান়া
ஹாங்காங் எஸ்ஏஆர் சீனா	হাঙ্কাঙ্ এস্এআর্ চীন়া
ஹாங்காங்	হাঙ্কাঙ্
ஹேர்ட் மற்றும் மெக்டொனால்டு தீவுகள்	হের্ট্ মর়্র়ুম্ মেক্টোন়াল্টু তীবুকল্
ஹோண்டூராஸ்	হোণ্টূরাস্
குரேஷியா	কুরেষিযা
ஹைட்டி	হৈট্টি
ஹங்கேரி	হঙ্কেরি
கேனரி தீவுகள்	কেন়রি তীবুকল্
இந்தோனேசியா	ইন্তোন়েচিযা
