Աբովյան	آبوويان
Ագարակ	آگاراک
Ալավերդի	آلاواردي
Ախթալա	آختالا
Աշտարակ	آشتاراک
Ապարան	آپاران
Արարատ	آرارات
Արթիկ	آرتيک
Արմավիր	آرماوير
Արտաշատ	آرتاشات
Բերդ	بارد
Բյուրեղավան	بيوراغاوان
Գավառ	گاوار
Գյումրի	گيومري
Գորիս	گوريس
Դաստակերտ	داستاکارت
Դիլիջան	ديليدژان
Եղեգնաձոր	ياغاگنادزور
Եղվարդ	ياغوارد
Թալին	تالين
Թումանյան	تومانيان
Իջևան	ايدژاوان
Ծաղկաձոր	تساغکادزور
Կապան	کاپان
Հրազդան	هرازدان
Ճամբարակ	تشامباراک
Մասիս	ماسيس
Մարալիկ	ماراليک
Մարտունի	مارتوني
Մեծամոր	ماتسامور
Մեղրի	ماغري
Նոյեմբերյան	نويامباريان
Նոր Հաճն	نور هاتشن
Շամլուղ	شاملوغ
Չարենցավան	تشارانتساوان
Ջերմուկ	دژارموک
Սիսիան	سيسيان
Սպիտակ	سپيتاک
Ստեփանավան	ستاپاناوان
Սևան	ساوان
Վաղարշապատ	واغارشاپات
Վայք	وايک
Վանաձոր	وانادزور
Վարդենիս	واردانيس
Վեդի	وادي
Տաշիր	تاشير
Քաջարան	کادژاران
