Өзгөн	اوزگون
Шопоков	شوپوقوو
Шамалды-Сай	شامالدو ساي
Чолпоната	تشولپوناتا
Чаувай	تشاوواي
Токтогул	توقتوغول
Терек-Сай	تيريک ساي
Ташкөмүр	تاشکومور
Сүлүктү	سولوکتو
Сумсар	سومسار
Советский	سوويتسکي
Сарыташ	ساروتاش
Пристань-Пржевальск	پريستان پردژيوالسق
Орто-Токой	اورتو توقوي
Ноокат	نوقات
Нарын	نارون
Найман	نايمان
Миң-куш	مينگ قوش
Маймак	مايماق
Майлуусуу	مايلوسو
Көкжаңгак	کوکدژانگغاق
Көк-Таш	کوک تاش
Кызылкыя	قوزولقويا
Кызыл-Жар	قوزول دژار
Кочкората	قوتشقوراتا
Кетмен-Төбө	گيتمين توبو
Кербен	گيربين
Кемин	گيمين
Карасуу	قاراسو
Каракөл	قاراقول
Каракол	قاراقول
Карабалта	قارابالتا
Кант	قانت
Кайынды	قايوندو
Кажисай	قادژيساي
Кадамжай	قادامدژاي
Исфана	ايسفانا
Жыргалаң	دژورغالانگ
Жалалабат	دژالالابات
Достук	دوستوق
Гүлчө	گولتشو
Восточный	ووستوتشنوي
Борду	بوردو
Бишкек	بيشکيک
Баткен	باتکين
Балыкчы	بالوقتشو
Ак-Түз	آق توز
Ак-Булак	آق بولاق
Айдаркен	آيدارکين
Tокмок	توقموق
Tалас	تالاس
Oш	اوش
