# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	असൻषൻ द्वीप्
അന്റോറ	अन्ऱेाऱ
യുണൈറ്റഡ് അറബ് എമിറൈറ്റ്‌സ്	युणैऱ्ऱड् अऱब् ऎमिऱैऱ्ऱ्‌स्
അഫ്‌ഗാനിസ്ഥാൻ	अफ्‌गानिस्थाൻ
ആൻറിഗ്വയും ബർബുഡയും	आൻऱिग्वयुं बർबुडयुं
ആൻഗ്വില്ല	आൻग्विल्ल
അൽബേനിയ	अൽबेनिय
അർമേനിയ	अർमेनिय
അംഗോള	अंगेाळ
അൻറാർട്ടിക്ക	अൻऱाർट्टिक्क
അർജൻറീന	अർजൻऱीन
അമേരിക്കൻ സമോവ	अमेरिक्कൻ समेाव
ഓസ്ട്രിയ	ओस्ट्रिय
ഓസ്‌ട്രേലിയ	ओस्‌ट्रेलिय
അറൂബ	अऱूब
അലൻഡ് ദ്വീപുകൾ	अलൻड् द्वीपुकൾ
അസർബൈജാൻ	असർबैजाൻ
ബോസ്നിയയും ഹെർസഗോവിനയും	बेास्निययुं हॆർसगेाविनयुं
ബാർബഡോസ്	बाർबडेास्
ബംഗ്ലാദേശ്	बंग्लादेश्
ബെൽജിയം	बॆൽजियं
ബുർക്കിനാ ഫാസോ	बुർक्किना फासेा
ബൾഗേറിയ	बൾगेऱिय
ബഹ്റിൻ	बह्ऱिൻ
ബറുണ്ടി	बऱुण्टि
ബെനിൻ	बॆनिൻ
സെന്റ് ബാർത്തലമി	सॆन्ऱ् बाർत्तलमि
ബർമുഡ	बർमुड
ബ്രൂണൈ	ब्रूणै
ബൊളീവിയ	बॆाळीविय
ബൊണെയ്ർ, സിന്റ് യുസ്റ്റേഷ്യസ്, സാബ എന്നിവ	बॆाणॆय्ർ, सिन्ऱ् युस्ऱ्ऱेष्यस्, साब ऎन्निव
ബ്രസീൽ	ब्रसीൽ
ബഹാമാസ്	बहामास्
ഭൂട്ടാൻ	भूट्टाൻ
ബൗവെട്ട് ദ്വീപ്	बवॆट्ट् द्वीप्
ബോട്സ്വാന	बेाट्स्वान
ബെലറൂസ്	बॆलऱूस्
ബെലീസ്	बॆलीस्
കാനഡ	कानड
കോക്കസ് (കീലിംഗ്) ദ്വീപുകൾ	केाक्कस् (कीलिंग्) द्वीपुकൾ
കോംഗോ - കിൻഷാസ	केांगेा - किൻषास
കോംഗോ (DRC)	केांगेा (DRC)
സെൻട്രൽ ആഫ്രിക്കൻ റിപ്പബ്ലിക്	सॆൻट्रൽ आफ्रिक्कൻ ऱिप्पब्लिक्
കോംഗോ - ബ്രാസവില്ലി	केांगेा - ब्रासविल्लि
കോംഗോ (റിപ്പബ്ലിക്ക്)	केांगेा (ऱिप्पब्लिक्क्)
സ്വിറ്റ്സർലാൻഡ്	स्विऱ्ऱ्सർलाൻड्
കോട്ട് ഡി വാർ	केाट्ट् डि वाർ
ഐവറി കോസ്റ്റ്	ऐवऱि केास्ऱ्ऱ्
കുക്ക് ദ്വീപുകൾ	कुक्क् द्वीपुकൾ
ചിലി	चिलि
കാമറൂൺ	कामऱूൺ
ചൈന	चैन
കൊളംബിയ	कॆाळंबिय
ക്ലിപ്പെർട്ടൻ ദ്വീപ്	क्लिप्पॆർट्टൻ द्वीप्
കോസ്റ്ററിക്ക	केास्ऱ्ऱऱिक्क
ക്യൂബ	क्यूब
കേപ്പ് വെർദെ	केप्प् वॆർदॆ
കുറാകാവോ	कुऱाकावेा
ക്രിസ്മസ് ദ്വീപ്	क्रिस्मस् द्वीप्
സൈപ്രസ്	सैप्रस्
ചെക്ക് റിപ്പബ്ലിക്	चॆक्क् ऱिप्पब्लिक्
ജർമനി	जർमनि
ഡീഗോ ഗ്രാഷ്യ	डीगेा ग्राष्य
ദിജിബൗട്ടി	दिजिबट्टि
ഡെൻമാർക്ക്	डॆൻमाർक्क्
ഡൊമിനിക്ക	डॆामिनिक्क
