# Territory names from CLDR
असेंशन द्वीप	asēnśana dvīpa
एंडोरा	ēṇḍōrā
संयुक्त अरब अमीरात	sanyukta araba amīrāta
अफ़गानिस्तान	afagānistāna
एंटिगुआ और बरबुडा	ēṇṭigu'ā aura barabuḍā
एंग्विला	ēṅgvilā
अल्बानिया	albāniyā
आर्मेनिया	ārmēniyā
अंगोला	aṅgōlā
अंटार्कटिका	aṇṭārkaṭikā
अर्जेंटीना	arjēṇṭīnā
अमेरिकी समोआ	amērikī samō'ā
ऑस्ट्रिया	ŏsṭriyā
ऑस्ट्रेलिया	ŏsṭrēliyā
अरूबा	arūbā
एलैंड द्वीपसमूह	ēlaiṇḍa dvīpasamūha
अज़रबैजान	azarabaijāna
बोस्निया और हर्ज़ेगोविना	bōsniyā aura harzēgōvinā
बारबाडोस	bārabāḍōsa
बांग्लादेश	bāṅglādēśa
बेल्जियम	bēljiyama
बुर्किना फ़ासो	burkinā fāsō
बुल्गारिया	bulgāriyā
बहरीन	baharīna
बुरुंडी	buruṇḍī
बेनिन	bēnina
सेंट बार्थेलेमी	sēṇṭa bārthēlēmī
बरमूडा	baramūḍā
ब्रूनेई	brūnē'ī
बोलीविया	bōlīviyā
कैरिबियन नीदरलैंड	kairibiyana nīdaralaiṇḍa
ब्राज़ील	brāzīla
बहामास	bahāmāsa
भूटान	bhūṭāna
बोवेत द्वीप	bōvēta dvīpa
बोत्स्वाना	bōtsvānā
बेलारूस	bēlārūsa
बेलीज़	bēlīza
कनाडा	kanāḍā
कोकोस (कीलिंग) द्वीपसमूह	kōkōsa (kīliṅga) dvīpasamūha
कांगो - किंशासा	kāṅgō - kinśāsā
कांगो (डीआरसी)	kāṅgō (ḍī'ārasī)
मध्य अफ़्रीकी गणराज्य	madhya afrīkī gaṇarājya
कांगो – ब्राज़ाविल	kāṅgō – brāzāvila
कांगो (गणराज्य)	kāṅgō (gaṇarājya)
स्विट्ज़रलैंड	sviṭzaralaiṇḍa
कोट डी आइवर	kōṭa ḍī ā'ivara
आइवरी कोस्ट	ā'ivarī kōsṭa
कुक द्वीपसमूह	kuka dvīpasamūha
चिली	cilī
कैमरून	kaimarūna
चीन	cīna
कोलंबिया	kōlambiyā
क्लिपर्टन द्वीप	kliparṭana dvīpa
कोस्टारिका	kōsṭārikā
क्यूबा	kyūbā
केप वर्ड	kēpa varḍa
क्यूरासाओ	kyūrāsā'ō
क्रिसमस द्वीप	krisamasa dvīpa
साइप्रस	sā'iprasa
चेक गणराज्य	cēka gaṇarājya
जर्मनी	jarmanī
डिएगो गार्सिया	ḍi'ēgō gārsiyā
जिबूती	jibūtī
डेनमार्क	ḍēnamārka
डोमिनिका	ḍōminikā
डोमिनिकन गणराज्य	ḍōminikana gaṇarājya
अल्जीरिया	aljīriyā
सेउटा और मेलिला	sē'uṭā aura mēlilā
इक्वाडोर	ikvāḍōra
एस्टोनिया	ēsṭōniyā
मिस्र	misra
पश्चिमी सहारा	paścimī sahārā
इरिट्रिया	iriṭriyā
स्पेन	spēna
इथियोपिया	ithiyōpiyā
यूरोपीय संघ	yūrōpīya saṅgha
फ़िनलैंड	finalaiṇḍa
फ़िजी	fijī
फ़ॉकलैंड द्वीपसमूह	fŏkalaiṇḍa dvīpasamūha
फ़ॉकलैंड द्वीपसमूह (इज़्लास माल्विनास)	fŏkalaiṇḍa dvīpasamūha (izlāsa mālvināsa)
माइक्रोनेशिया	mā'ikrōnēśiyā
फ़ेरो द्वीपसमूह	fērō dvīpasamūha
फ़्रांस	frānsa
गैबॉन	gaibŏna
यूनाइटेड किंगडम	yūnā'iṭēḍa kiṅgaḍama
ग्रेनाडा	grēnāḍā
जॉर्जिया	jŏrjiyā
फ़्रेंच गयाना	frēn̄ca gayānā
गर्नसी	garnasī
घाना	ghānā
जिब्राल्टर	jibrālṭara
ग्रीनलैंड	grīnalaiṇḍa
गाम्बिया	gāmbiyā
गिनी	ginī
ग्वाडेलूप	gvāḍēlūpa
इक्वेटोरियल गिनी	ikvēṭōriyala ginī
यूनान	yūnāna
दक्षिण जॉर्जिया और दक्षिण सैंडविच द्वीपसमूह	dakṣiṇa jŏrjiyā aura dakṣiṇa saiṇḍavica dvīpasamūha
ग्वाटेमाला	gvāṭēmālā
गुआम	gu'āma
गिनी-बिसाउ	ginī-bisā'u
गयाना	gayānā
हाँग काँग (चीन विशेष प्रशासनिक क्षेत्र)	hām̐ga kām̐ga (cīna viśēṣa praśāsanika kṣētra)
हाँग काँग	hām̐ga kām̐ga
हर्ड द्वीप और मैकडोनॉल्ड द्वीपसमूह	harḍa dvīpa aura maikaḍōnŏlḍa dvīpasamūha
होंडूरास	hōṇḍūrāsa
क्रोएशिया	krō'ēśiyā
हैती	haitī
हंगरी	haṅgarī
कैनेरी द्वीपसमूह	kainērī dvīpasamūha
इंडोनेशिया	iṇḍōnēśiyā
आयरलैंड	āyaralaiṇḍa
इसराइल	isarā'ila
आइल ऑफ़ मैन	ā'ila ŏfa maina
भारत	bhārata
ब्रिटिश हिंद महासागरीय क्षेत्र	briṭiśa hinda mahāsāgarīya kṣētra
इराक	irāka
ईरान	īrāna
आइसलैंड	ā'isalaiṇḍa
इटली	iṭalī
जर्सी	jarsī
जमैका	jamaikā
जॉर्डन	jŏrḍana
जापान	jāpāna
केन्या	kēn'yā
